
[00:00:00.000 --> 00:00:06.800]  有一次呢就一個剛上任嘅陸軍上校呢就喺佢嘅新嘅辦公室嗰度做嘢
[00:00:06.800 --> 00:00:12.980]  咁呢個軍團裏面嘅士兵呢拷到門咁呢一個嘅新上任嘅
[00:00:12.980 --> 00:00:21.860]  上校呢為咗要顯示自己嗰個地位呢馬上拎起個電話呢就同個電話對方亦都係佢傾計
[00:00:21.860 --> 00:00:22.860]  順便呢就
[00:00:22.860 --> 00:00:25.980]  叫嗰個嘅士兵入嚟啦
[00:00:25.980 --> 00:00:28.940]  咁我上校呢就講啦話總統先生
[00:00:29.700 --> 00:00:38.940]  我馬上做多謝你仲記得喺我呀我馬上做你要我做嘅工作順便幫我問下呢個總統夫人呀咁咪跟住呢就收咗線啦
[00:00:38.940 --> 00:00:43.660]  收咗線之後呢就轉頭另一網嗰個士兵就話有啲咩事呀
[00:00:43.660 --> 00:00:47.620]  個士兵冇乜嘢我哋幫你搏返條電話線啫
[00:00:47.620 --> 00:00:50.500]  人呢
[00:00:50.500 --> 00:00:52.060]  人呢
[00:00:52.060 --> 00:00:56.340]  總係願意將佢最好嗰面畀人睇到係咪
[00:00:57.260 --> 00:01:04.260]  甚至可能要誇大甚至可能要作假都要將自己最好最巴閉最威水嘅嘢顯現喺人前
[00:01:04.260 --> 00:01:08.140]  特別喺呢一個競爭性嘅世界裏面呀
[00:01:08.140 --> 00:01:11.740]  如果我哋唔顯示我哋嘅地位畀人其他人
[00:01:11.740 --> 00:01:18.140]  巴閉犀利嘅時候呢好多時候我哋身邊嘅機會呢就會留咗畀其他嘅人呀係咪
[00:01:18.140 --> 00:01:25.980]  好多時候唔知大家有冇見過工呢或者係請個人呢好多時候見工呢都會問一個好常問嘅問題呀係咪
[00:01:26.460 --> 00:01:28.620]  喂出面有十幾二十個人爭緊呢個位
[00:01:28.620 --> 00:01:31.100]  我點解畀呢份工呢
[00:01:31.100 --> 00:01:34.420]  大家有冇畀人咁樣問過呀
[00:01:34.420 --> 00:01:36.900]  無論個答案如何
[00:01:36.900 --> 00:01:38.580]  我相信
[00:01:38.580 --> 00:01:39.700]  一定
[00:01:39.700 --> 00:01:41.100]  喺呢個時刻
[00:01:41.100 --> 00:01:42.020]  唔會有人
[00:01:42.020 --> 00:01:45.660]  將佢自己謙卑嘅表達出嚟㗎嘛
[00:01:45.660 --> 00:01:50.020]  謙卑喺呢個時候絕對派不上用場呀嘛
[00:01:50.580 --> 00:01:59.140]  喺呢個嘅菲律賓書我哋剛才所讀嘅經文裏面一開始嘅時候呢就話行事為人要與基督嘅福音相稱
[00:01:59.140 --> 00:02:01.220]  我哋嘅
[00:02:01.220 --> 00:02:08.260]  行事為人與我哋蒙照嘅因嚟到相稱嘅喺呢張嘅經文裏面呢保羅話畀我哋聽
[00:02:08.260 --> 00:02:10.060]  要點呀以
[00:02:10.060 --> 00:02:18.700]  效法我哋耶穌基督係以佢為我哋一個榜樣特別喺謙卑嘅功課上面你都係學習佢嘅榜樣喇
[00:02:18.980 --> 00:02:27.300]  嗱呢個經文開始嘅時候呢保羅喺第一二節嗰度呢就咁點講呀佢話喺基督裏若有乜嘢勸勉愛心有乜嘢安慰
[00:02:27.300 --> 00:02:37.260]  聖靈有乜嘢交通心中有乜嘢慈悲憐憫你哋就要有相同嘅意念相同嘅愛心有一樣嘅心思有一樣嘅意念
[00:02:37.260 --> 00:02:39.700]  呢段經文
[00:02:39.700 --> 00:02:40.940]  點樣解釋呀
[00:02:40.940 --> 00:02:48.940]  我終於一個詳細嘅解釋留返畀呀洛傳道下個星期幫我哋查經嘅時候呢同大家詳細講解下
[00:02:49.140 --> 00:02:50.420]  不過總意嚟講
[00:02:50.420 --> 00:02:51.540]  簡單嚟講
[00:02:51.540 --> 00:02:54.820]  頭先我所講嘅嗰段嘅經文裏面呢大衣裳
[00:02:54.820 --> 00:02:56.300]  就要我哋合一囉
[00:02:56.300 --> 00:02:59.660]  係咪唔好搞紛爭囉唔好結黨囉係咪
[00:02:59.660 --> 00:03:00.980]  嗱保羅呢
[00:03:00.980 --> 00:03:06.660]  就講咗一個好重要嘅方法去達至教會嘅合一
[00:03:06.660 --> 00:03:07.620]  係咩呀
[00:03:07.620 --> 00:03:09.020]  不可結黨
[00:03:09.020 --> 00:03:10.140]  不可
[00:03:10.140 --> 00:03:10.980]  貪圖
[00:03:10.980 --> 00:03:12.500]  虛浮嘅榮耀
[00:03:12.500 --> 00:03:14.060]  只要全心
[00:03:14.060 --> 00:03:15.140]  謙卑
[00:03:15.820 --> 00:03:19.940]  你大家聽有冇聽過一個古代嘅中國學者一個思想家叫黃
[00:03:19.940 --> 00:03:21.980]  叫做黃洋明呀
[00:03:21.980 --> 00:03:25.060]  佢曾經一句說話我覺得好深刻嘅
[00:03:25.060 --> 00:03:26.740]  佢話謙者
[00:03:26.740 --> 00:03:28.420]  眾善之基
[00:03:28.420 --> 00:03:30.020]  傲者
[00:03:30.020 --> 00:03:32.580]  乃是罪惡之灰
