
[00:00:00.000 --> 00:00:02.800]  我請大家低頭 我們先做一個禱告
[00:00:02.800 --> 00:00:07.240]  親愛的主耶穌 多謝你的恩典
[00:00:07.240 --> 00:00:10.000]  一切在你的掌握當中
[00:00:10.000 --> 00:00:12.880]  又在你的掌管當中
[00:00:12.880 --> 00:00:15.880]  你聖經的預言給我們看得見
[00:00:15.880 --> 00:00:18.880]  這個世界發生每一件事
[00:00:18.880 --> 00:00:23.560]  原來都不會有偶然巧合的
[00:00:23.560 --> 00:00:26.200]  你一早已經預言了
[00:00:26.200 --> 00:00:28.480]  有任何這些事情發生
[00:00:28.480 --> 00:00:33.160]  其實一早已經有預先警告了我們
[00:00:33.160 --> 00:00:35.720]  求你幫助我們 因為這樣的緣故
[00:00:35.720 --> 00:00:39.600]  認定我們今天的信仰是看得見的信仰
[00:00:39.600 --> 00:00:42.040]  你的預言一定要應驗
[00:00:42.040 --> 00:00:44.680]  你今天教導的事情
[00:00:44.680 --> 00:00:48.840]  一定是一針見血指出人的問題
[00:00:48.840 --> 00:00:52.880]  另一方面 我們對這個前路如何
[00:00:52.880 --> 00:00:55.240]  你一早都已經有啟迪
[00:00:55.240 --> 00:00:58.360]  讓我們知道我們應該怎樣去走
[00:00:58.360 --> 00:01:00.640]  主耶穌 我們多謝你
[00:01:00.640 --> 00:01:05.080]  求你今天讓你的話展開的時候
[00:01:05.080 --> 00:01:07.840]  讓我們每一個人得著智慧
[00:01:07.840 --> 00:01:11.280]  過一個對我們自己
[00:01:11.280 --> 00:01:13.320]  對我們身邊的人
[00:01:13.320 --> 00:01:17.840]  對所有我們在這個社會裡生存見到的人
[00:01:17.840 --> 00:01:20.960]  都有益處 幫助我們
[00:01:20.960 --> 00:01:24.160]  我們知道雖然這個世界很亂
[00:01:24.160 --> 00:01:28.480]  但原來你一早告訴我們 你有出路
[00:01:28.480 --> 00:01:31.040]  幫助我們 奉耶穌基督的名求
[00:01:31.040 --> 00:01:35.040]  阿妹
[00:01:35.040 --> 00:01:40.080]  各位頂智慧
[00:01:40.080 --> 00:01:46.160]  自從2023年10月7日下午6點多
[00:01:46.160 --> 00:01:51.120]  我的手提電話突然間彈了一句話
[00:01:51.120 --> 00:01:54.880]  我都未開機 一開了之後就彈了出來
[00:01:54.880 --> 00:01:58.320]  Israel at war
[00:01:58.320 --> 00:02:00.400]  我看到那句話的時候
[00:02:00.400 --> 00:02:03.840]  我心裡可能是大件事
[00:02:03.840 --> 00:02:07.120]  是因為這樣回到家
[00:02:07.120 --> 00:02:10.360]  晚上晚間新聞的時候我就開始看
[00:02:10.360 --> 00:02:12.240]  看完之後才知道
[00:02:12.240 --> 00:02:16.160]  哈馬斯人襲擊以色列
[00:02:16.160 --> 00:02:17.960]  兵分幾路
[00:02:17.960 --> 00:02:21.600]  導彈 那些飛彈
