
[00:00:00.000 --> 00:00:02.960]  虛空 勞碌益處
[00:00:02.960 --> 00:00:06.680]  智慧有善 逆光之下
[00:00:06.680 --> 00:00:11.040]  最後都是要指向傳道書的核心
[00:00:11.040 --> 00:00:13.680]  是講敬畏神
[00:00:13.680 --> 00:00:18.560]  敬畏神就好像我們基督徒做人的一個大原則
[00:00:18.560 --> 00:00:21.160]  幫我們在很快消散
[00:00:21.160 --> 00:00:23.840]  好像煙霧的人生裏面
[00:00:23.840 --> 00:00:28.560]  能夠選擇一條有智慧 有方向的道路
[00:00:28.560 --> 00:00:31.520]  記不記得上一次
[00:00:31.520 --> 00:00:33.480]  應該都差不多兩個月前
[00:00:33.480 --> 00:00:36.560]  在第三章裏面有一首詩
[00:00:36.560 --> 00:00:42.280]  那裏描述人生裏面一些既定時間會發生的一些狀況
[00:00:42.280 --> 00:00:45.680]  然後經文裏面亦都有提到
[00:00:45.680 --> 00:00:49.960]  神由開始去到終結所做的事
[00:00:49.960 --> 00:00:53.160]  我們人是沒有可能完全明白的
[00:00:53.160 --> 00:01:00.480]  神這樣做是要我們人在祂面前有那個敬畏的心
[00:01:00.480 --> 00:01:02.680]  今天來到下一個段落
[00:01:02.680 --> 00:01:06.600]  三章十六至四章三節
[00:01:06.600 --> 00:01:08.880]  一開始傳道者就說
[00:01:08.880 --> 00:01:15.240]  他留意到秉行公義和伸張正義的地方
[00:01:15.240 --> 00:01:17.840]  都有邪惡
[00:01:17.840 --> 00:01:22.840]  有沒有看過《Wicked》這套戲
[00:01:22.840 --> 00:01:27.800]  這套戲裏面的故事圍繞著兩個女巫
[00:01:27.800 --> 00:01:29.640]  一個叫Elphaba
[00:01:29.640 --> 00:01:32.280]  你見到尖頂帽子的那個
[00:01:32.280 --> 00:01:33.800]  她一出生的時候
[00:01:33.800 --> 00:01:36.520]  她全身的皮膚都是綠色的
[00:01:36.520 --> 00:01:38.480]  她是一個很聰明
[00:01:38.480 --> 00:01:41.800]  亦都很有正義感的一個人
[00:01:41.800 --> 00:01:45.800]  但因為她不願意同流合污的關係
[00:01:45.800 --> 00:01:48.320]  所以她得罪很多人
[00:01:48.320 --> 00:01:50.440]  不受歡迎
[00:01:50.440 --> 00:01:54.240]  另一個女巫就叫Galinda
[00:01:54.240 --> 00:01:55.800]  或者Glinda
[00:01:55.800 --> 00:01:56.920]  如果你看過這套戲
[00:01:56.920 --> 00:01:59.720]  你就知道我為何特意這樣說
[00:01:59.720 --> 00:02:01.480]  很美麗
[00:02:01.480 --> 00:02:04.000]  亦都是一個世界女
[00:02:04.000 --> 00:02:06.800]  她被人捧到上天花板
[00:02:06.800 --> 00:02:09.080]  在大家的心目當中
[00:02:09.080 --> 00:02:13.080]  她就是一個好的女巫的象徵
[00:02:13.080 --> 00:02:16.520]  故事圍繞著他們兩個之間的友情
[00:02:16.520 --> 00:02:19.680]  還有一些執政掌權的人
[00:02:19.680 --> 00:02:22.520]  如何去製造恐慌
[00:02:22.520 --> 00:02:27.560]  和利用權力去扭曲一些事實
[00:02:27.560 --> 00:02:30.880]  我們先來一起看看今天的經文
[00:02:30.880 --> 00:02:35.240]  傳道書三章十六四至三節
[00:02:35.240 --> 00:02:37.080]  我又見日光之下
[00:02:37.080 --> 00:02:39.800]  應有公平之處有奸惡
[00:02:39.800 --> 00:02:43.760]  應有公義之處也有奸惡
[00:02:43.760 --> 00:02:44.960]  我心裡說
[00:02:44.960 --> 00:02:47.640]  神必審判義人和惡人
[00:02:47.640 --> 00:02:50.360]  因為在哪裡各樣事務
[00:02:50.360 --> 00:02:53.080]  一切工作都有定時
[00:02:53.080 --> 00:02:54.400]  我心裡說
[00:02:54.400 --> 00:02:57.560]  為世人的緣故神考驗他們
[00:02:57.560 --> 00:03:01.760]  讓他們看見自己不過像走獸一樣
[00:03:01.760 --> 00:03:03.560]  因為世人遭遇的
[00:03:03.560 --> 00:03:05.200]  走獸也遭遇
[00:03:05.200 --> 00:03:07.400]  所遭遇的都一樣
[00:03:07.400 --> 00:03:08.760]  這個怎樣死
[00:03:08.760 --> 00:03:10.560]  那個也怎樣死
[00:03:10.560 --> 00:03:13.000]  他們都有一樣的氣息
[00:03:13.000 --> 00:03:15.240]  人不能強於走獸
[00:03:15.240 --> 00:03:17.520]  全是虛空
[00:03:17.520 --> 00:03:18.840]  到貴日處
[00:03:18.840 --> 00:03:20.640]  都是出於塵土
[00:03:20.640 --> 00:03:22.640]  也都歸於塵土
[00:03:22.640 --> 00:03:25.880]  誰知道人的氣息是往上升
[00:03:25.880 --> 00:03:29.360]  走獸的氣息是下入地
[00:03:29.360 --> 00:03:30.640]  總而言之
[00:03:30.640 --> 00:03:33.800]  人能夠在他經營的事上喜樂
[00:03:33.800 --> 00:03:35.600]  是最好不過了
[00:03:35.600 --> 00:03:38.440]  因為這是他應得的報償
[00:03:38.440 --> 00:03:40.000]  他身後的事
[00:03:40.000 --> 00:03:42.560]  誰能領他回來看呢
[00:03:42.560 --> 00:03:44.760]  我轉而觀看日光之下
[00:03:44.760 --> 00:03:47.480]  所發生的一切欺壓之事
[00:03:47.480 --> 00:03:48.200]  看哪
[00:03:48.200 --> 00:03:49.880]  受欺壓的流淚
[00:03:49.880 --> 00:03:51.160]  無人安慰
