
[00:00:00.000 --> 00:00:03.880]  今天已經來到這一季最後一個的主人
[00:00:03.880 --> 00:00:06.400]  在這個努力面前的分題
[00:00:06.400 --> 00:00:07.960]  大家已經是很努力的,是嗎?
[00:00:07.960 --> 00:00:09.960]  跟別人說,你也很努力的
[00:00:09.960 --> 00:00:13.280]  同工在不同的角度說如何努力化諸如此類
[00:00:13.280 --> 00:00:14.920]  但是我在結尾的時候
[00:00:14.920 --> 00:00:16.160]  反而我選擇了一個
[00:00:16.160 --> 00:00:20.080]  題目叫做「竭力邁向成熟」
[00:00:20.080 --> 00:00:24.600]  原因就是因為我們那個季題的金句
[00:00:24.600 --> 00:00:25.640]  都是在這裡的
[00:00:25.640 --> 00:00:28.760]  在希伯來書的第六章的第一節
[00:00:28.760 --> 00:00:30.120]  是這麼說的,他說:
[00:00:30.120 --> 00:00:32.920]  「所以我們應當離開基督道理的開端」
[00:00:32.920 --> 00:00:37.960]  「竭力進到完全的地步,不必再立根基」
[00:00:37.960 --> 00:00:40.800]  很多時候在營會都很喜歡
[00:00:40.800 --> 00:00:46.040]  用這一節來做一些營會的營訓那類的
[00:00:46.040 --> 00:00:48.840]  我自己小時候常常都會
[00:00:48.840 --> 00:00:50.240]  但是我不知道大家有沒有
[00:00:50.240 --> 00:00:51.760]  會金句會想什麼呢?
[00:00:51.760 --> 00:00:55.960]  這裡說我們要努力地去進入一個完全的地步
[00:00:55.960 --> 00:00:57.960]  究竟什麼叫做「完全」呢?
[00:00:58.960 --> 00:01:00.400]  大家有沒有想過?
[00:01:00.400 --> 00:01:04.400]  好像生命成長的人是用這一節的
[00:01:04.400 --> 00:01:06.360]  我們要努力去成長
[00:01:06.360 --> 00:01:08.240]  究竟什麼叫做「完全」的地步呢?
[00:01:08.240 --> 00:01:09.560]  小時候常常都會金句
[00:01:09.560 --> 00:01:11.040]  我記得有些金句是說
[00:01:11.040 --> 00:01:14.080]  我們要完全,好像天父完全一樣
[00:01:14.080 --> 00:01:16.160]  我心想,我們怎麼可能
[00:01:16.160 --> 00:01:18.360]  好像天父那樣完全呢?
[00:01:18.360 --> 00:01:21.240]  現在其實很多聖經的版本
[00:01:21.240 --> 00:01:22.880]  我們真的可以參考
[00:01:22.880 --> 00:01:25.320]  所以一些新的譯本裡面
[00:01:25.320 --> 00:01:27.480]  他們已經不用「完全」這個字了
[00:01:27.480 --> 00:01:30.760]  他們用什麼呢?他們用了一個叫做「成熟」
[00:01:30.760 --> 00:01:34.040]  就是竭力去邁向成熟
[00:01:34.040 --> 00:01:35.600]  這樣就好一點了,是不是?
[00:01:35.600 --> 00:01:36.800]  大家都心中有數
[00:01:36.800 --> 00:01:38.440]  我明白,就是要成熟一點
[00:01:38.440 --> 00:01:40.200]  就是長大一點
[00:01:40.200 --> 00:01:41.960]  對於成熟的定義
[00:01:41.960 --> 00:01:43.400]  我不知道大家怎麼看
[00:01:43.400 --> 00:01:45.800]  除了說外表的成熟之外
[00:01:45.800 --> 00:01:47.240]  我們通常形容一個人成熟
[00:01:47.240 --> 00:01:49.760]  都是說他講說話
[00:01:49.760 --> 00:01:51.560]  就是待人接物的態度
[00:01:51.560 --> 00:01:54.000]  很多時候我們會看到一些年輕的
[00:01:54.000 --> 00:01:56.160]  小時候的或者是小妹妹的
[00:01:56.160 --> 00:01:57.760]  她說話都很成熟
[00:01:57.760 --> 00:01:59.480]  就是說她雖然年紀很輕
[00:01:59.480 --> 00:02:02.040]  但是說話就好像一個大人一樣
[00:02:02.040 --> 00:02:05.000]  所以大人的感覺是讓人覺得是成熟一點的
[00:02:05.000 --> 00:02:06.840]  我就嘗試去找一些定義
[00:02:06.840 --> 00:02:08.760]  覺得什麼叫成熟呢?
[00:02:08.760 --> 00:02:11.000]  我一下子我選了一個
[00:02:11.000 --> 00:02:12.880]  是我其實完全不認識的
[00:02:12.880 --> 00:02:16.000]  這位是叫做余秋羽
[00:02:16.000 --> 00:02:20.560]  是一個中國當代著名的散文家
[00:02:20.560 --> 00:02:22.720]  我本身,不好意思,我不喜歡看散文
[00:02:22.720 --> 00:02:24.280]  我喜歡看小說的
