
[00:00:00.000 --> 00:00:04.680]  我們的讀經計劃現在是讀到《真言》第九章
[00:00:04.680 --> 00:00:06.880]  今天是第九章、第十章
[00:00:06.880 --> 00:00:09.920]  明天是繼續第十一、十二章
[00:00:09.920 --> 00:00:14.120]  你發覺這個月我們都會讀一些智慧的文獻
[00:00:14.120 --> 00:00:18.080]  就是《真言》、有《傳道書》、然後《雅歌》
[00:00:18.080 --> 00:00:22.520]  其實之前的詩篇
[00:00:22.520 --> 00:00:24.120]  其實還有《閱博記》
[00:00:24.120 --> 00:00:28.200]  都算是一個智慧的文獻
[00:00:28.200 --> 00:00:30.160]  當你去讀《真言》的時候
[00:00:30.160 --> 00:00:33.560]  其實是一個非常非常巨大的挑戰
[00:00:33.560 --> 00:00:35.200]  很多人很喜歡《真言》
[00:00:35.200 --> 00:00:39.760]  因爲它裏面有很多一些語句
[00:00:39.760 --> 00:00:43.280]  很短的語句、很應用化的
[00:00:43.280 --> 00:00:46.320]  教你怎麼樣過生活
[00:00:46.320 --> 00:00:50.720]  怎麼樣與人相交
[00:00:50.720 --> 00:00:54.560]  怎麼樣努力你可以得到怎麼樣的好處
[00:00:54.560 --> 00:01:00.320]  你怎麼樣去預備自己的經濟、家庭等等
[00:01:00.320 --> 00:01:01.480]  我們喜歡這些
[00:01:01.480 --> 00:01:03.480]  因爲這跟我們自己的
[00:01:03.480 --> 00:01:05.600]  可能中文的文化也很相近
[00:01:05.600 --> 00:01:07.680]  中文也會有一些《真言》
[00:01:07.680 --> 00:01:11.840]  但是我們回來聖經看聖經的《真言》的時候
[00:01:11.840 --> 00:01:15.120]  不可以好像是我們自己的
[00:01:15.120 --> 00:01:18.520]  這個華人的文化這樣去看
[00:01:18.520 --> 00:01:21.200]  如果你想你去看整個《真言》
[00:01:21.200 --> 00:01:23.080]  它的這個架構的時候
[00:01:23.080 --> 00:01:27.720]  你會發覺當中所說的彙集成的《真言》
[00:01:27.720 --> 00:01:29.440]  我們平時想的《真言》
[00:01:29.440 --> 00:01:34.760]  都是其實集中在第十章到第二十九章裏面
[00:01:34.760 --> 00:01:38.440]  但是這不是整本《真言》的中心
[00:01:38.440 --> 00:01:41.480]  你發覺整本《真言》是
[00:01:41.480 --> 00:01:44.760]  有開始的一個很長很長的引言
[00:01:44.760 --> 00:01:46.560]  在第一章到第九章
[00:01:46.560 --> 00:01:48.240]  然後最後有兩個故事
[00:01:48.240 --> 00:01:52.720]  一個阿姑爾的一個言語
[00:01:52.720 --> 00:01:57.280]  還有一個利穆依勒也有一個結束的原因
[00:01:57.280 --> 00:02:00.080]  如果你大概記得最後那一章
[00:02:00.080 --> 00:02:03.560]  是講那個賢德的婦女
[00:02:03.560 --> 00:02:06.200]  但是其實嚴格來說你會發覺
[00:02:06.200 --> 00:02:10.280]  比如最後兩章這個阿姑爾跟利穆依勒
[00:02:10.280 --> 00:02:11.720]  他們不一定是
[00:02:11.720 --> 00:02:14.320]  他們大概不是猶太人
[00:02:14.320 --> 00:02:16.160]  我們不知道他們是誰
[00:02:16.160 --> 00:02:19.000]  但是我們知道他們放進去的時候
[00:02:19.000 --> 00:02:22.320]  你就用一個猶太人的思想去讀
[00:02:22.320 --> 00:02:23.280]  這兩章
[00:02:23.280 --> 00:02:25.680]  但是他們自己本身不是
[00:02:25.680 --> 00:02:28.560]  很有可能不是猶太人
[00:02:28.560 --> 00:02:31.640]  《真言》中間的第十章到第二十九章
[00:02:31.640 --> 00:02:34.160]  其實很多的那個《真言》
[00:02:34.160 --> 00:02:38.040]  也不一定是猶太人自己裏面的一些《真言》
[00:02:38.040 --> 00:02:42.560]  可能是遠東禁古的一些其他的收集
[00:02:42.560 --> 00:02:43.800]  但是重要的是
[00:02:43.800 --> 00:02:46.320]  他把它收集在一本書裏面
[00:02:46.320 --> 00:02:49.640]  這本書有一個很長的引言
[00:02:49.640 --> 00:02:51.360]  在引言裏面很明顯
[00:02:51.360 --> 00:02:54.120]  他要強調的是耶和華
[00:02:54.120 --> 00:02:59.160]  這些智慧是耶和華的智慧
[00:02:59.160 --> 00:03:04.800]  這些智慧是要帶領耶和華的羣衆在當中
[00:03:04.800 --> 00:03:07.440]  如果你去看這個《真言》的時候
[00:03:07.440 --> 00:03:10.720]  你會發覺一開始的時候是講所羅門
