
[00:00:00.000 --> 00:00:02.560]  我們繼續跟大家來到思想
[00:00:02.560 --> 00:00:05.660]  保羅在哥倫多前書十三章
[00:00:05.660 --> 00:00:07.340]  講到關於愛
[00:00:07.340 --> 00:00:11.500]  因為末世是一個失去愛的時代
[00:00:11.500 --> 00:00:13.640]  末世最大的需要
[00:00:13.640 --> 00:00:15.440]  就是靠著主的恩典
[00:00:15.440 --> 00:00:19.260]  讓教會能夠成為真正的教會
[00:00:19.260 --> 00:00:22.220]  教會的記號就是愛
[00:00:22.220 --> 00:00:26.380]  耶穌說如果你能夠彼此相愛的時候
[00:00:26.380 --> 00:00:28.340]  人就能夠認得出
[00:00:28.340 --> 00:00:30.100]  你們是我的門徒
[00:00:30.100 --> 00:00:32.600]  人怎樣知道我們是教會呢?
[00:00:32.600 --> 00:00:35.000]  人怎樣知道我們在這個末世的時代
[00:00:35.000 --> 00:00:36.680]  我們是屬神的人呢?
[00:00:36.680 --> 00:00:38.880]  就是當我們能夠在生命裡面
[00:00:38.880 --> 00:00:40.340]  流露愛的時候
[00:00:40.340 --> 00:00:44.340]  當教會能夠彰顯神的大愛的時候
[00:00:44.340 --> 00:00:45.840]  教會在這個時代
[00:00:45.840 --> 00:00:48.040]  就能夠大大榮耀神的名
[00:00:48.040 --> 00:00:51.180]  所以保羅這段經文是非常重要
[00:00:51.180 --> 00:00:54.740]  教導在一個愛、失落的時代裡面
[00:00:55.580 --> 00:00:59.620]  我們怎樣從神而來的愛
[00:00:59.620 --> 00:01:01.800]  我們講到第七節
[00:01:01.800 --> 00:01:04.540]  這裡講到愛的幾方面的特點
[00:01:04.540 --> 00:01:05.820]  我們講了兩方面
[00:01:05.820 --> 00:01:07.100]  這裡有四方面
[00:01:07.100 --> 00:01:10.100]  第七節說凡事包容
[00:01:10.100 --> 00:01:12.260]  愛凡事包容
[00:01:12.260 --> 00:01:14.540]  愛凡事相信
[00:01:14.540 --> 00:01:17.060]  愛是凡事盼望
[00:01:17.060 --> 00:01:19.260]  愛凡事忍耐
[00:01:19.260 --> 00:01:21.740]  我們講兩方面今天
[00:01:21.740 --> 00:01:24.380]  就是愛凡事盼望
[00:01:24.380 --> 00:01:27.940]  愛凡事忍耐
[00:01:27.940 --> 00:01:31.260]  保羅這裡講一連串歸愛的特質
[00:01:31.260 --> 00:01:38.380]  都講到愛是屬於人與人之間的關係
[00:01:38.380 --> 00:01:40.620]  講到我們愛人
[00:01:40.620 --> 00:01:44.780]  因為愛的對象是事物
[00:01:44.780 --> 00:01:48.060]  聖經說不要貪愛世界
[00:01:48.060 --> 00:01:52.540]  不要只顧著賺錢
[00:01:52.540 --> 00:01:56.100]  不要只顧著我所愛的這個世界上
[00:01:56.100 --> 00:01:57.620]  就是漂亮的房子、漂亮的車
[00:01:57.620 --> 00:02:04.500]  我們可以愛世界上很多的事物
[00:02:04.500 --> 00:02:06.340]  但這裡提醒我們
[00:02:06.340 --> 00:02:08.380]  在末世我們所缺乏的
[00:02:08.380 --> 00:02:12.220]  就是人與人之間彼此那種愛心
[00:02:12.220 --> 00:02:15.420]  而愛這裡我們思想兩方面的特點
[00:02:15.420 --> 00:02:19.140]  就是愛是凡事盼望
[00:02:19.140 --> 00:02:21.260]  愛是凡事忍耐
[00:02:21.260 --> 00:02:24.820]  就是說如果我們對一個人有愛心的時候
[00:02:24.820 --> 00:02:26.580]  我們愛一個人的時候
[00:02:26.580 --> 00:02:28.500]  我們對一個人不會失望
[00:02:28.500 --> 00:02:32.500]  在他的一切事情上
[00:02:32.500 --> 00:02:34.540]  我們都能夠對他有盼望
[00:02:34.540 --> 00:02:36.860]  不會失望的
[00:02:36.860 --> 00:02:40.300]  愛是凡事忍耐
[00:02:40.300 --> 00:02:43.940]  因為我們對一個人有愛心、有盼望
[00:02:43.940 --> 00:02:47.140]  我們這種盼望不會失落的
[00:02:47.140 --> 00:02:49.700]  我們會堅持到底的
[00:02:51.300 --> 00:02:54.220]  來愛他、關心他
[00:02:54.220 --> 00:02:57.860]  愛是凡事盼望
[00:02:57.860 --> 00:03:01.500]  愛是凡事忍耐
[00:03:01.500 --> 00:03:04.860]  我們有沒有這種的愛呢?
[00:03:04.860 --> 00:03:11.300]  我記得大概六年前
[00:03:11.300 --> 00:03:14.060]  我孫女出生的時候
[00:03:14.060 --> 00:03:17.140]  我兒子對師母說
[00:03:18.220 --> 00:03:21.860]  "媽媽,為什麼我生的女兒這麼醜呢?"
[00:03:21.860 --> 00:03:25.420]  一坨東西她就覺得
[00:03:25.420 --> 00:03:28.300]  這個女兒以後不知道該怎麼辦
[00:03:28.300 --> 00:03:31.140]  還有一個女兒生得這麼醜
[00:03:31.140 --> 00:03:33.380]  我第一個反應就是
[00:03:33.380 --> 00:03:35.580]  "不用失望,不用失望"
[00:03:35.580 --> 00:03:37.740]  "孩子會變的"
[00:03:37.740 --> 00:03:40.580]  "以後可能會越變越漂亮呢"
[00:03:40.580 --> 00:03:42.300]  "我們不知道的"
[00:03:42.300 --> 00:03:45.580]  就算她的外貌是醜的
[00:03:46.260 --> 00:03:48.700]  但她可以有另外一種的美麗
[00:03:48.700 --> 00:03:50.820]  就是內心的美麗
[00:03:50.820 --> 00:03:52.540]  內在的美
[00:03:52.540 --> 00:03:55.700]  所以無論如何不應該失望
[00:03:55.700 --> 00:03:57.580]  她應該有盼望
[00:03:57.580 --> 00:03:59.260]  她這麼小,剛出生
