
[00:00:00.000 --> 00:00:06.720]  今天跟大家講的我們的題目
[00:00:06.720 --> 00:00:11.000]  就是《海中上來的獸》
[00:00:11.000 --> 00:00:16.800]  揭開滴滴刀的面紗
[00:00:16.800 --> 00:00:23.320]  今天我們講這一章都是非常之重要
[00:00:23.320 --> 00:00:30.720]  這兩個獸牠的影響很大
[00:00:30.720 --> 00:00:41.160]  牠的出現可以說是人類歷史的終局開始倒數
[00:00:41.160 --> 00:00:43.120]  這個獸是什麼獸呢?
[00:00:43.120 --> 00:00:45.440]  第一個就是海中上來的獸
[00:00:45.440 --> 00:00:49.440]  下個星期應該是地獸
[00:00:49.440 --> 00:00:54.160]  我們香港人很多時候罵人
[00:00:54.160 --> 00:00:56.880]  有沒有罵人是獸
[00:00:56.880 --> 00:00:59.840]  說人家禽獸都不如
[00:00:59.840 --> 00:01:01.840]  有些是過分的
[00:01:01.840 --> 00:01:04.040]  不過有些真的是
[00:01:04.040 --> 00:01:06.000]  有些人的造作
[00:01:06.000 --> 00:01:08.200]  有些人的行事為人
[00:01:08.200 --> 00:01:12.160]  你發覺真的是禽獸不如
[00:01:12.160 --> 00:01:14.160]  你看現在的新聞
[00:01:14.160 --> 00:01:17.840]  怎麼可能將人殺了
[00:01:17.840 --> 00:01:22.160]  將那個頭放在壓力鍋裡煲呢?
[00:01:22.160 --> 00:01:25.880]  怎麼可能將父母殺呢?
[00:01:25.880 --> 00:01:28.040]  殺父母
[00:01:28.040 --> 00:01:31.280]  看見這些新聞很恐怖
[00:01:31.280 --> 00:01:36.760]  上帝說這個獸其實是一個人
[00:01:36.760 --> 00:01:43.040]  人應該有上帝原初創造的樣式
[00:01:43.040 --> 00:01:45.840]  神是按照他的樣式來造我們
[00:01:45.840 --> 00:01:48.880]  有性的公義慈愛
[00:01:48.880 --> 00:01:52.400]  但是現在人不像人
[00:01:52.400 --> 00:01:53.720]  今天在這個世代
[00:01:53.720 --> 00:01:56.320]  其實現在都來到一個
[00:01:56.320 --> 00:01:58.960]  一個罪惡觀型的世代
[00:01:58.960 --> 00:02:00.320]  我在加拿大
[00:02:00.320 --> 00:02:02.400]  你們在香港
[00:02:02.400 --> 00:02:06.760]  加拿大首先就是同性婚姻合法化
[00:02:06.760 --> 00:02:11.600]  這些打針屋
[00:02:11.600 --> 00:02:14.560]  還有大麻合法化
[00:02:14.560 --> 00:02:18.760]  現在你看見這樣的政府
[00:02:18.760 --> 00:02:21.600]  去鼓勵人去變性
[00:02:21.600 --> 00:02:22.560]  你想生小孩
[00:02:22.560 --> 00:02:25.080]  它沒有資金給你
[00:02:25.080 --> 00:02:26.480]  但是你想變性
[00:02:26.480 --> 00:02:28.720]  它給你
[00:02:28.720 --> 00:02:32.320]  父母不可以干預你的子女
[00:02:32.320 --> 00:02:34.000]  說你應該做男孩子
[00:02:34.000 --> 00:02:35.440]  應該做女孩子
[00:02:35.440 --> 00:02:39.400]  如果你讓政府知道
[00:02:39.400 --> 00:02:44.640]  你要面對犯罪罪名刑事起訴
[00:02:44.640 --> 00:02:47.480]  真的荒謬
[00:02:47.480 --> 00:02:49.840]  這個世代荒謬
[00:02:49.840 --> 00:02:53.880]  以光為暗 以暗為光
[00:02:53.880 --> 00:02:55.920]  以苦為甜 以甜為苦
[00:02:55.920 --> 00:02:58.480]  這個世代有禍了
[00:02:58.480 --> 00:03:01.480]  其實今天我們看見這個獸
[00:03:01.480 --> 00:03:07.000]  其實神不只是誇張
[00:03:07.000 --> 00:03:10.560]  今天有些人 我們罵人是誇張了
[00:03:10.560 --> 00:03:12.160]  上帝一點都沒有誇張
[00:03:12.160 --> 00:03:13.440]  這個是大罪人
[00:03:13.440 --> 00:03:15.640]  這個是沒有靈性的
[00:03:15.640 --> 00:03:18.760]  聖經提到這個是不法之人
[00:03:18.760 --> 00:03:20.760]  他的出現
[00:03:20.760 --> 00:03:23.400]  將會給我們看見
[00:03:23.400 --> 00:03:25.040]  這個世代已經來到一個
[00:03:25.040 --> 00:03:28.400]  極度邪惡的一個景地
[00:03:28.400 --> 00:03:30.920]  凶殘
[00:03:30.920 --> 00:03:33.640]  他稱之為Enter Christ
[00:03:33.640 --> 00:03:35.600]  敵基督
[00:03:35.600 --> 00:03:39.200]  敵基督是敵對耶穌基督
[00:03:39.200 --> 00:03:40.800]  但是Enter也有另一個意思
[00:03:40.800 --> 00:03:42.400]  就是代替
[00:03:42.400 --> 00:03:44.040]  代替耶穌基督
[00:03:44.040 --> 00:03:46.200]  我才是救世主
[00:03:46.200 --> 00:03:47.960]  不是耶穌
[00:03:47.960 --> 00:03:49.360]  有人說敵基督是什麼
[00:03:49.360 --> 00:03:51.080]  是一個組織
[00:03:51.080 --> 00:03:52.600]  有可能的
