
[00:00:00.000 --> 00:00:07.060]  今日已經是整年度要講季題的最後一講
[00:00:07.060 --> 00:00:11.480]  記得今年全年的主題是甚麼嗎?
[00:00:11.480 --> 00:00:14.080]  是「將最好的獻給主」
[00:00:14.080 --> 00:00:15.560]  大家是否準備好了?
[00:00:15.560 --> 00:00:17.320]  應該正在包聖誕節禮物
[00:00:17.320 --> 00:00:21.720]  希望你也預備好能夠獻給主的禮物
[00:00:21.720 --> 00:00:25.640]  今天最後的講題是「蒸香重構」
[00:00:25.640 --> 00:00:27.520]  因為在10月份也欠大家
[00:00:27.520 --> 00:00:28.760]  上次太貪心了
[00:00:28.760 --> 00:00:31.240]  上兩天也講了,但還是不夠講
[00:00:31.240 --> 00:00:32.920]  今天也會講這一部分
[00:00:32.920 --> 00:00:34.520]  我們一起讀圖稿
[00:00:34.520 --> 00:00:36.880]  提撥懇求你親自帶去楊昇凌
[00:00:36.880 --> 00:00:40.280]  在我們心中幫助我們進入真理的裏面
[00:00:40.280 --> 00:00:41.800]  求你親自跟我們講說話
[00:00:41.800 --> 00:00:44.440]  讓我們更加認識自己
[00:00:44.440 --> 00:00:46.600]  更加能夠去投靠你
[00:00:46.600 --> 00:00:47.640]  聽我們圖稿奉靠
[00:00:47.640 --> 00:00:48.920]  主耶穌基督阿彌陀佛
[00:00:48.920 --> 00:00:50.320]  阿彌陀佛
[00:00:50.320 --> 00:00:55.120]  好,為甚麼會講這個題目呢?
[00:00:55.120 --> 00:01:02.320]  我想坊間很多時候都在講正向的心理學
[00:01:02.320 --> 00:01:04.640]  「蒸香重構」這個字眼
[00:01:04.640 --> 00:01:07.760]  通常在輔導或心理學的背景中
[00:01:07.760 --> 00:01:09.680]  應該是聽過的
[00:01:09.680 --> 00:01:11.880]  是否有一個那麼難理解的概念呢?
[00:01:11.880 --> 00:01:13.120]  其實也不是
[00:01:13.120 --> 00:01:15.440]  只是很學術地弄了這個名字
[00:01:15.440 --> 00:01:18.880]  我們老一輩的栽培班
[00:01:18.880 --> 00:01:21.760]  相信大家都應該見過這幅圖畫,對嗎?
[00:01:21.760 --> 00:01:23.160]  有甚麼印象?
[00:01:23.160 --> 00:01:24.720]  以前的栽培班是用櫥苗的
[00:01:24.720 --> 00:01:26.960]  好,有一堂課一定會見到的
[00:01:26.960 --> 00:01:28.520]  大家見到的是甚麼?
[00:01:28.520 --> 00:01:31.240]  有多少人見到少女的?舉手
[00:01:31.240 --> 00:01:33.480]  好,這堂課很青春
[00:01:33.480 --> 00:01:35.720]  有多少人見到婆婆的?
[00:01:35.720 --> 00:01:37.440]  即是一個巫婆的?
[00:01:37.440 --> 00:01:40.320]  立刻也不敢承認了,對嗎?
[00:01:40.320 --> 00:01:41.840]  其實沒有關係的
[00:01:41.840 --> 00:01:43.920]  很多這些心理學的圖也是的
[00:01:43.920 --> 00:01:45.200]  我問你看到甚麼
[00:01:45.200 --> 00:01:48.720]  又說是顯示你所謂的心態
[00:01:48.720 --> 00:01:51.240]  簡單來說,我真的想借用它
[00:01:51.240 --> 00:01:54.080]  其實同一件事發生
[00:01:54.080 --> 00:01:57.800]  其實我們也會有兩個很簡單的導向
[00:01:57.800 --> 00:02:00.360]  有些人是很正面、很積極的
[00:02:00.360 --> 00:02:03.120]  我們說他是正面思維的人
[00:02:03.120 --> 00:02:04.440]  但同一件事發生
[00:02:04.440 --> 00:02:06.280]  跟家庭長大也是的
[00:02:06.280 --> 00:02:08.080]  總有些兄弟姐妹想事情
[00:02:08.080 --> 00:02:11.360]  他們是很負能量、很負向思維的
[00:02:11.360 --> 00:02:13.920]  變成如果你有幸
[00:02:13.920 --> 00:02:18.520]  生活在一個很樂觀、很正向的家庭
[00:02:18.520 --> 00:02:21.160]  每一件事都是向好,沒甚麼所謂的
[00:02:21.160 --> 00:02:23.840]  你的人也會是樂觀和積極一點的
[00:02:23.840 --> 00:02:26.520]  但相反,如果你常常生活在一個環境裡
[00:02:26.520 --> 00:02:28.840]  每個人都有一個烏雲陀在頭上
[00:02:28.840 --> 00:02:31.040]  就算你有多活力也好
[00:02:31.040 --> 00:02:33.360]  聽著聽著你就會心慌慌
[00:02:33.360 --> 00:02:36.040]  然後你的人也會是負能量多一點
[00:02:36.040 --> 00:02:37.400]  在基督教界
[00:02:37.400 --> 00:02:40.400]  近十年都常常出現了一句這樣的說話
[00:02:40.400 --> 00:02:42.480]  我相信大家都應該說過的
[00:02:42.480 --> 00:02:43.680]  或者聽過的
[00:02:43.680 --> 00:02:45.160]  是說甚麼的?
[00:02:45.160 --> 00:02:49.520]  他說「苦難是化了妝的祝福」
[00:02:49.520 --> 00:02:53.760]  是劉慧娟姐妹的一句說話
[00:02:53.760 --> 00:02:55.720]  很多時候我們都會說,我們都會認同的
[00:02:55.720 --> 00:02:58.000]  我們會說「都不是的,這件事是這樣的」
