
[00:00:00.000 --> 00:00:03.980]  但第二次會 我真係諗
[00:00:03.980 --> 00:00:07.540]  今日香港發生既事
[00:00:07.540 --> 00:00:10.640]  我唔識去點樣救香港
[00:00:10.640 --> 00:00:15.440]  我都唔知點樣去講香港呢個光景
[00:00:15.440 --> 00:00:17.940]  但係另一方面
[00:00:17.940 --> 00:00:21.560]  當我地面對今日既港島既時候
[00:00:21.560 --> 00:00:25.240]  我都繼續講返楊大叔佢既第二章
[00:00:25.240 --> 00:00:27.640]  我只係希望透過楊大叔既第二章
[00:00:27.640 --> 00:00:30.440]  嚟到俾我地自己一啲嘅反思
[00:00:30.440 --> 00:00:33.240]  點樣喺今日呢個世代
[00:00:33.240 --> 00:00:35.440]  點樣今日呢個香港
[00:00:35.440 --> 00:00:37.740]  係一個咁既光景
[00:00:37.740 --> 00:00:39.780]  我地點樣繼續去為主
[00:00:39.780 --> 00:00:42.640]  去作光 為主去作業
[00:00:42.640 --> 00:00:43.940]  我地好深信
[00:00:43.940 --> 00:00:46.940]  無論出面既環境係點樣都好
[00:00:46.940 --> 00:00:51.040]  而今日上帝仍然存留我地既生命
[00:00:51.040 --> 00:00:55.240]  存留教會係依個地方仍然係被建立
[00:00:55.240 --> 00:00:59.140]  我仍然深信上帝一定有使命俾我地
[00:00:59.140 --> 00:01:02.840]  而個使命係乜野 我唔知
[00:01:02.840 --> 00:01:05.240]  我個秘書前幾日俾一封信我
[00:01:05.240 --> 00:01:08.240]  喂何牧師有人寫一封信俾你
[00:01:08.240 --> 00:01:09.640]  佢話佢叫你做特首
[00:01:09.640 --> 00:01:11.640]  我話唔係話 佢話做特首
[00:01:11.640 --> 00:01:15.740]  叫我好好地祈禱 叫我做特首
[00:01:15.740 --> 00:01:17.040]  我梗係唔做架啦
[00:01:17.040 --> 00:01:18.740]  有乜好做過做特首
[00:01:18.740 --> 00:01:21.040]  做牧師好啲
[00:01:21.040 --> 00:01:23.740]  唔使咁複雜 我做牧師
[00:01:23.740 --> 00:01:30.140]  但係 究竟上帝俾我個崗位係要做乜野
[00:01:30.140 --> 00:01:33.140]  上帝俾你個崗位係要做乜野
[00:01:33.140 --> 00:01:36.840]  我地點樣去堅守上帝俾我地既教會
[00:01:36.840 --> 00:01:39.540]  仍然係合而為一
[00:01:39.540 --> 00:01:40.640]  但係第一姐妹
[00:01:40.640 --> 00:01:44.240]  好多人話今日香港教會已經國熱左
[00:01:44.240 --> 00:01:48.340]  無論係而家依個政治問題
[00:01:48.340 --> 00:01:50.740]  甚至係個政治問題下面
[00:01:50.740 --> 00:01:52.540]  一個個隱藏問題
[00:01:52.540 --> 00:01:54.740]  就係性別歧視法
[00:01:54.740 --> 00:01:58.540]  而家係一個好大既一個道德問題
[00:01:58.540 --> 00:02:01.540]  令到香港教會有可能會國熱
