
[00:00:00.000 --> 00:00:03.220]  今日想用大約三十分鐘的時間
[00:00:03.220 --> 00:00:06.000]  跟大家看這段經文
[00:00:06.000 --> 00:00:10.500]  題目是為一個色眼的教會應該怎樣做
[00:00:10.500 --> 00:00:12.500]  應該向主耶穌負責
[00:00:12.500 --> 00:00:14.500]  做甚麼呢?
[00:00:14.500 --> 00:00:16.500]  堅持傳福音
[00:00:16.500 --> 00:00:20.000]  在這個時刻
[00:00:20.000 --> 00:00:25.000]  似乎很合適我們近來的情況
[00:00:25.000 --> 00:00:28.000]  尤其是你是做公務員的
[00:00:28.500 --> 00:00:30.000]  或者是準備入公務員的
[00:00:30.000 --> 00:00:32.500]  你要知道準備向誰效忠
[00:00:32.500 --> 00:00:36.000]  不過保羅就說要向誰效忠
[00:00:36.000 --> 00:00:37.000]  向誰負責
[00:00:37.000 --> 00:00:38.500]  做甚麼呢?
[00:00:38.500 --> 00:00:40.000]  是勇敢去做的
[00:00:40.000 --> 00:00:45.000]  不過是堅持地繼續做傳福音的工作
[00:00:45.000 --> 00:00:48.000]  或者我們先讀一讀經文
[00:00:48.000 --> 00:00:51.000]  然後我們就開始詳細地看這段經文
[00:00:51.000 --> 00:00:52.000]  你們教會很好
[00:00:52.000 --> 00:00:53.500]  弄了些經文給我
[00:00:53.500 --> 00:00:55.000]  就可以跟大家一起讀
[00:00:56.000 --> 00:01:02.000]  「這樣看來,我親愛的弟兄,你們既是常信服的,
[00:01:02.000 --> 00:01:07.000]  不但我在你們那裡,就是我如今不在你們那裡,
[00:01:07.000 --> 00:01:09.000]  更是信服的。
[00:01:09.000 --> 00:01:14.000]  就當恐懼戰驚造成你們得救的功夫,
[00:01:14.000 --> 00:01:20.000]  因為你們立志行事都是神在你們心裡運行,
[00:01:20.000 --> 00:01:23.000]  為要成就他的美意,
[00:01:23.000 --> 00:01:28.000]  凡所行的都不要發怨言,起爭論,
[00:01:28.000 --> 00:01:32.000]  使你們無可指責,誠實無畏,
[00:01:32.000 --> 00:01:38.000]  在這彎曲薄貌的世代,神無瑕疵的兒女。
[00:01:38.000 --> 00:01:43.000]  你們顯在這世代中,好像明光照耀,
[00:01:43.000 --> 00:01:46.000]  將生命的道表明出來,
[00:01:46.000 --> 00:01:51.000]  叫我在基督的日子,好誇我沒有空跑,
[00:01:51.000 --> 00:01:53.000]  也沒有徒勞。
[00:01:53.000 --> 00:01:57.000]  我以你們的信心為貢獻的祭物,
[00:01:57.000 --> 00:02:02.000]  我若被囂墊在旗上,也是喜樂。
[00:02:02.000 --> 00:02:05.000]  並且你們眾人一同喜樂,
[00:02:05.000 --> 00:02:11.000]  你們也要照樣喜樂,並且與我一同喜樂。」
[00:02:11.000 --> 00:02:14.000]  好,謝謝,讓我回到開頭的…
[00:02:14.000 --> 00:02:20.000]  稍微溫習一下,現在這裡是第二章十二節
[00:02:21.000 --> 00:02:24.000]  第一章第一召十一節裏,
[00:02:24.000 --> 00:02:28.000]  保羅的教導是這樣的,
[00:02:28.000 --> 00:02:30.000]  特別在第十節可以看到,
[00:02:30.000 --> 00:02:32.000]  他說:「我為他們教會祈禱,
[00:02:32.000 --> 00:02:37.000]  希望你們在愛心、知識和識見上是多,
[00:02:37.000 --> 00:02:40.000]  那你們可以分別是非。」
[00:02:40.000 --> 00:02:42.000]  這是和合本的寫法,
[00:02:42.000 --> 00:02:45.000]  我知道教會不擺聖經的,
[00:02:45.000 --> 00:02:47.000]  如果你有手機也可以看到,
[00:02:47.000 --> 00:02:50.000]  在和合本的寫法後面有個括弧,
[00:02:50.000 --> 00:02:56.000]  括住「分別是非或作喜愛那美好的事」,
[00:02:56.000 --> 00:03:00.000]  即是說不只是知道什麼是對和錯的問題,
[00:03:00.000 --> 00:03:03.000]  而是懂得選擇一些好一點的東西,
[00:03:03.000 --> 00:03:06.000]  同時新漢語,
[00:03:06.000 --> 00:03:09.000]  即是差不多同期的比較新的中文譯本,
[00:03:09.000 --> 00:03:10.000]  他是這樣譯的,
[00:03:10.000 --> 00:03:15.000]  「分別是非」他譯作「認定要緊的事」,
[00:03:15.000 --> 00:03:19.000]  我相信在保羅一章一召十一節裏,
[00:03:19.000 --> 00:03:22.000]  保羅告訴肥勒比教會,
[00:03:22.000 --> 00:03:25.000]  你們要選擇一些重要的東西,
[00:03:25.000 --> 00:03:27.000]  重要的是什麼呢?
[00:03:27.000 --> 00:03:29.000]  我相信保羅是說,
[00:03:29.000 --> 00:03:34.000]  是神一早已經擺在你們當中的善功,
[00:03:34.000 --> 00:03:36.000]  是傳福音的事功,
[00:03:36.000 --> 00:03:38.000]  祂必然會保守你們,
[00:03:38.000 --> 00:03:40.000]  直到耶穌基督的日子,
[00:03:40.000 --> 00:03:42.000]  你們現在可能遇到困難,
[00:03:42.000 --> 00:03:44.000]  你們看到我坐牢,
[00:03:44.000 --> 00:03:46.000]  可能你們心灰意冷,
[00:03:46.000 --> 00:03:47.000]  你們恐懼,
[00:03:47.000 --> 00:03:49.000]  或者官府打壓你們,
[00:03:49.000 --> 00:03:50.000]  你們會害怕,
[00:03:50.000 --> 00:03:52.000]  不過不用害怕,
[00:03:52.000 --> 00:03:55.000]  上帝擺在教會當中的思念,
[00:03:55.000 --> 00:03:58.000]  那個挑戰是傳福音的,
[00:03:58.000 --> 00:04:01.000]  祂必然會一直引導耶穌基督回來的日子,
[00:04:01.000 --> 00:04:03.000]  保守你們,
[00:04:03.000 --> 00:04:05.000]  說完這個觀念之後,
[00:04:05.000 --> 00:04:07.000]  保羅就用他自己做例子,
[00:04:07.000 --> 00:04:10.000]  第一章十二節三十節,
[00:04:10.000 --> 00:04:12.000]  保羅說自己,
[00:04:12.000 --> 00:04:14.000]  你也知道我現在坐牢,
[00:04:14.000 --> 00:04:15.000]  不過不要緊,
[00:04:15.000 --> 00:04:19.000]  我遭遇的更是福音興旺,
[00:04:19.000 --> 00:04:21.000]  甚至他講到,
[00:04:21.000 --> 00:04:23.000]  我選擇了這樣做,
[00:04:23.000 --> 00:04:25.000]  就算有人說我壞話,
[00:04:25.000 --> 00:04:27.000]  有人刻意要害我,
[00:04:27.000 --> 00:04:29.000]  無所謂,
[00:04:29.000 --> 00:04:32.000]  基督究竟被傳開了,
[00:04:32.000 --> 00:04:34.000]  最後他說不要緊,
[00:04:34.000 --> 00:04:37.000]  只要不怕敵人的驚嚇,
[00:04:37.000 --> 00:04:39.000]  繼續去做,
[00:04:39.000 --> 00:04:41.000]  這是他的選擇,
[00:04:41.000 --> 00:04:43.000]  然後到第二章,
[00:04:43.000 --> 00:04:45.000]  第二章一開始上半節,
[00:04:45.000 --> 00:04:47.000]  即是第一至十一節,
[00:04:47.000 --> 00:04:49.000]  裏面包含我們很熟悉的經文,
[00:04:49.000 --> 00:04:51.000]  就是講耶穌基督,
[00:04:51.000 --> 00:04:53.000]  他不義與上帝同等為強奪,
[00:04:53.000 --> 00:04:55.000]  反倒虛己,
[00:04:55.000 --> 00:04:57.000]  這段經文保羅的意思就是說,
[00:04:57.000 --> 00:04:59.000]  我就選擇了,
[00:04:59.000 --> 00:05:00.000]  現在我告訴你,
[00:05:00.000 --> 00:05:02.000]  我們的主也是這樣選擇的,
[00:05:02.000 --> 00:05:04.000]  他自己卑微自己,
[00:05:04.000 --> 00:05:08.000]  為了達成耶穌的天父給他的使命,
[00:05:08.000 --> 00:05:10.000]  所以他就信服了,
[00:05:10.000 --> 00:05:12.000]  繼續去做他的工作,
[00:05:12.000 --> 00:05:14.000]  大家留意信服這個字,
