
[00:00:00.000 --> 00:00:08.040]  我們心裏繼續帶著一種敬畏和歡呼的聲音
[00:00:08.040 --> 00:00:14.760]  可能這些歡呼的聲音不是可以很隨便、很大聲
[00:00:14.760 --> 00:00:20.000]  但是那種心裏歡呼的聲音是可以很奇妙的
[00:00:20.000 --> 00:00:25.000]  所以我們繼續敬拜和學習
[00:00:25.000 --> 00:00:27.400]  好好地去敬拜
[00:00:27.400 --> 00:00:29.000]  我們再次祈禱
[00:00:31.000 --> 00:00:32.600]  創造萬有的神
[00:00:32.600 --> 00:00:35.000]  我們再次感謝祢
[00:00:35.000 --> 00:00:38.000]  亦再次謙卑來到祢的面前
[00:00:38.000 --> 00:00:41.000]  按著聖經的教導
[00:00:41.000 --> 00:00:47.000]  按著祢自己給聖人以色列民和在現在的時代
[00:00:47.000 --> 00:00:50.000]  祢啟發我們、教導我們
[00:00:50.000 --> 00:00:52.000]  讓我們認識祢
[00:00:52.000 --> 00:00:54.000]  又讓我們敬拜祢
[00:00:54.000 --> 00:01:02.000]  我們今天帶著敬畏謙卑的心繼續來到祢的面前
[00:01:02.000 --> 00:01:05.000]  屈膝敬拜
[00:01:05.000 --> 00:01:07.000]  祈求禱告奉耶穌的名
[00:01:07.000 --> 00:01:08.000]  阿們
[00:01:24.000 --> 00:01:32.000]  你相信那個宗教究竟是以神為中心還是以人為中心呢?
[00:01:32.000 --> 00:01:38.000]  曾經有人提過基督教應該要是一個非宗教的信仰
[00:01:38.000 --> 00:01:45.000]  因為有時說到宗教的時候似乎是放了很多人為的東西進去
[00:01:45.000 --> 00:01:52.000]  所以在去年和今年我們開會友大會的時候
[00:01:52.000 --> 00:01:57.000]  我就提醒大家要想想教會究竟是什麼呢?
[00:01:57.000 --> 00:02:02.000]  教會不單止是一個有人的組織、人為的組織
[00:02:02.000 --> 00:02:07.000]  而且亦都是一個有機體的組織
[00:02:07.000 --> 00:02:12.000]  這個道理我們比較少去想
[00:02:12.000 --> 00:02:15.000]  今天我和大家想去思想就是
[00:02:15.000 --> 00:02:21.000]  我們都知道基督教這個信仰是一個以神為中心的信仰
[00:02:21.000 --> 00:02:26.000]  但是有時我們是跟從這個信仰跟從耶穌的時候
[00:02:26.000 --> 00:02:36.000]  我們又竟然會用一個以人為中心的方法來相信這位全能的神
[00:02:36.000 --> 00:02:43.000]  然後就這樣來跟從這個以神為中心的信仰
[00:02:43.000 --> 00:02:49.000]  因為人的自我中心實在是太過嚴重了
