
[00:00:00.000 --> 00:00:03.600]  各位弟兄姊妹 各位朋友 大家好
[00:00:03.600 --> 00:00:09.640]  很多謝陳牧師邀請我今天來這個分享會
[00:00:09.640 --> 00:00:16.380]  我起這個題就是人生最大的回報的投資
[00:00:16.380 --> 00:00:21.800]  很多朋友以為來到當然是我給些股票貼士給你們
[00:00:21.800 --> 00:00:25.900]  所以你們不會失望
[00:00:25.900 --> 00:00:33.000]  我給你們這個貼士的回報比任何股票投資多
[00:00:33.000 --> 00:00:38.560]  所以你們要好好聽我的分享
[00:00:38.560 --> 00:00:43.240]  第一 中國人有句說話
[00:00:43.240 --> 00:00:45.360]  開門七件事是甚麼
[00:00:45.360 --> 00:00:48.600]  柴米、牛腩、醬、粗茶
[00:00:48.600 --> 00:00:55.860]  大家有無問過自己人生最重要的七件事是甚麼
[00:00:55.860 --> 00:00:58.900]  你有沒有思考過這個問題呢
[00:00:58.900 --> 00:01:05.820]  有些朋友說有 有些朋友好像不太覺得
[00:01:05.820 --> 00:01:13.200]  有想過 我想分享一下我自己怎樣看人生的七件事
[00:01:13.200 --> 00:01:19.400]  我覺得人生最重要的是有健康
[00:01:19.400 --> 00:01:23.760]  健康又不是別人的
[00:01:23.760 --> 00:01:27.660]  健康有時自己要去努力
[00:01:27.660 --> 00:01:30.100]  為何健康重要呢
[00:01:30.100 --> 00:01:33.660]  因為大家可以想像到如果沒有健康
[00:01:33.660 --> 00:01:37.660]  你坐在這裏吃一餐飯都未必來得到
[00:01:37.660 --> 00:01:43.340]  很多朋友因為身體不舒服要在病床裏
[00:01:43.340 --> 00:01:47.940]  或者甚至來到吃飯都很多很多顧忌
[00:01:47.940 --> 00:01:51.160]  但是如果你有好的健康
[00:01:51.160 --> 00:01:54.560]  無論你自己都舒服些
[00:01:54.560 --> 00:01:58.160]  家人都舒服不用那麼多時間照顧你
[00:01:58.160 --> 00:02:00.860]  所以健康非常重要
[00:02:00.860 --> 00:02:04.060]  但是健康不是別人的
[00:02:04.060 --> 00:02:08.860]  為何呢 健康是要自己努力的
[00:02:08.860 --> 00:02:11.060]  我就領悟到這件事
[00:02:11.060 --> 00:02:16.560]  我在2008、2009年前我是離開政府
[00:02:16.560 --> 00:02:19.760]  當時是健康的理由離開
[00:02:19.760 --> 00:02:25.160]  有一位醫生告訴我 你要減肥 你血壓高
[00:02:25.160 --> 00:02:28.360]  在政府工作當然血壓高
[00:02:28.360 --> 00:02:30.860]  即是越來越高
[00:02:30.860 --> 00:02:37.360]  我離開政府後改變了很多我的生活習慣
[00:02:37.360 --> 00:02:40.860]  第一 我差不多不是每天
