
[00:00:00.000 --> 00:00:04.060]  如果今天大家有留意周刊
[00:00:04.060 --> 00:00:08.840]  羅牧師都跟我們清楚的簡介了章林期
[00:00:08.840 --> 00:00:13.840]  章林期其實是在聖誕節之前的四個星期
[00:00:13.840 --> 00:00:17.320]  即是周日的崇拜裏面
[00:00:17.320 --> 00:00:19.820]  或者是那個禮拜的崇拜裏面
[00:00:19.820 --> 00:00:24.600]  我們會去紀念主的即將來臨
[00:00:24.600 --> 00:00:27.540]  這個亦都有一些叫代誡節
[00:00:27.540 --> 00:00:31.180]  或者代誡期或者是章林期的不同的名字
[00:00:31.180 --> 00:00:34.960]  其實亦都是教會年曆的一年的開始
[00:00:34.960 --> 00:00:37.920]  即是教會年曆剛剛在上個禮拜結束了
[00:00:37.920 --> 00:00:41.480]  叫做基督作王的主日就結束了
[00:00:41.480 --> 00:00:44.400]  所以今天就是我們一個新的開始
[00:00:44.400 --> 00:00:49.320]  其實主的再來是好像一個銀幣的亮面
[00:00:49.320 --> 00:00:50.640]  為什麼呢?
[00:00:50.640 --> 00:00:53.100]  是紀念主的來臨
[00:00:53.100 --> 00:00:56.080]  或者這個叫代誡節或者是章林期
[00:00:56.080 --> 00:00:58.140]  是一個亮面的情況
[00:00:58.140 --> 00:01:01.520]  就是說一方面是紀念主的第一次來臨
[00:01:01.520 --> 00:01:04.260]  另一方面是紀念主的再來
[00:01:04.260 --> 00:01:07.960]  即是主將來會回來這個世界
[00:01:07.960 --> 00:01:13.540]  掌管整個世界去建立彌賽亞的國度
[00:01:13.540 --> 00:01:16.580]  所以是一個很奇特的時空
[00:01:16.580 --> 00:01:18.620]  即是一個亮面的時空
[00:01:18.620 --> 00:01:21.980]  是既已經是開始
[00:01:21.980 --> 00:01:25.240]  但是未完全實現的一件事
[00:01:25.240 --> 00:01:28.180]  透過耶穌基督第一次的來臨
[00:01:28.180 --> 00:01:29.560]  去施行救恩
[00:01:29.560 --> 00:01:33.580]  神的國度其實已經是栽植在人的心裏面
[00:01:33.580 --> 00:01:36.340]  並且信徒之間彼此的連結
[00:01:36.340 --> 00:01:39.900]  就好像葡萄樹和枝子一樣
[00:01:39.900 --> 00:01:45.040]  我們和主的關係都建立成一個很龐大的屬靈的網絡
[00:01:45.040 --> 00:01:49.680]  在這個世代的教會和歷世歷代的教會
[00:01:49.680 --> 00:01:52.180]  或者不同地域的教會
[00:01:52.180 --> 00:01:54.980]  我們都結合為一個群體
[00:01:54.980 --> 00:01:57.880]  而這個國度真正要對抗的
[00:01:57.880 --> 00:02:01.360]  不是人間的任何制度或者國度
[00:02:01.360 --> 00:02:05.080]  而是我們正在對抗黑暗的勢力
[00:02:05.080 --> 00:02:06.180]  是惡者
[00:02:06.180 --> 00:02:12.060]  但是昔日的猶太人他們以為
[00:02:12.060 --> 00:02:13.580]  他們的彌賽亞來到
[00:02:13.580 --> 00:02:16.760]  是要建立一個政治的國度
[00:02:16.760 --> 00:02:18.740]  去對抗羅馬人
[00:02:18.740 --> 00:02:21.100]  使他們成為一個
[00:02:21.100 --> 00:02:25.180]  崇德自由的民族可以自己建立自己的國家
[00:02:25.180 --> 00:02:27.080]  但是這個他們卻看錯了
[00:02:27.080 --> 00:02:29.700]  因為耶穌的來到
[00:02:29.700 --> 00:02:33.600]  祂首先要建立一個屬靈的國度
[00:02:33.600 --> 00:02:36.300]  是對抗黑暗和惡者的國度
[00:02:36.300 --> 00:02:39.120]  使人從罪裏面得到自由
[00:02:39.120 --> 00:02:43.580]  這個國度終會在耶穌基督第二次再來的時候
[00:02:43.580 --> 00:02:45.280]  完全的實現
[00:02:45.280 --> 00:02:47.000]  天下的萬國的政權
[00:02:47.000 --> 00:02:51.540]  亦都會完全歸回在耶穌基督的統治之下
[00:02:51.540 --> 00:02:55.760]  這個在聖經《彌賽亞書》65章
[00:02:55.760 --> 00:02:57.240]  如果大家曾經讀過
[00:02:57.240 --> 00:02:59.880]  你都知道那裏講到新天新地
[00:02:59.880 --> 00:03:04.200]  亦有些人說那是一個千禧年的國度
[00:03:04.200 --> 00:03:07.980]  舊約的人因為缺乏這種視野
[00:03:07.980 --> 00:03:13.300]  這種彌賽亞兩次來臨的視野
[00:03:13.300 --> 00:03:17.100]  他們會認為舊主只是一次的來到
[00:03:17.100 --> 00:03:21.540]  所以有時他們看的時間會將兩個時空混合了
[00:03:21.540 --> 00:03:24.120]  大家看看我試用一個比喻
[00:03:24.120 --> 00:03:26.280]  這裏你看到甚麼
[00:03:26.280 --> 00:03:27.820]  你看到兩隻手
[00:03:27.820 --> 00:03:30.960]  但其實我告訴你這裏是兩座山
[00:03:30.960 --> 00:03:32.460]  這裏是第一座山
[00:03:32.460 --> 00:03:35.520]  這裏是前面的一座山
[00:03:35.520 --> 00:03:38.120]  但如果在這個國度看來
[00:03:38.120 --> 00:03:42.280]  你會發現它好像不知哪個前哪個後
[00:03:42.280 --> 00:03:44.560]  所以同時間告訴你
[00:03:44.560 --> 00:03:45.960]  如果你橫看就知道
[00:03:45.960 --> 00:03:50.440]  原來兩座山中間有一個很遠的距離
[00:03:50.440 --> 00:03:52.900]  這正是耶穌基督第一次來
[00:03:52.900 --> 00:03:56.120]  和第二次再來的空間
[00:03:56.120 --> 00:03:58.440]  正是我們今天的日子
[00:03:58.440 --> 00:04:00.560]  就是聖經所說的末世的日子
[00:04:00.560 --> 00:04:03.240]  亦是教會的年代
[00:04:03.240 --> 00:04:05.320]  所以我們明白
[00:04:05.320 --> 00:04:10.220]  猶太人不信耶穌基督的恩由
[00:04:10.220 --> 00:04:11.820]  亦可能在這裏
[00:04:11.820 --> 00:04:14.480]  因為他們只看到尼塞亞
[00:04:14.480 --> 00:04:17.920]  好像君王大有威嚴的
[00:04:17.920 --> 00:04:20.260]  在大而可畏之日
[00:04:20.260 --> 00:04:24.520]  回來審判和掌權的日子
[00:04:24.520 --> 00:04:28.820]  卻看不見耶穌同時間也是受苦的僕人
[00:04:28.820 --> 00:04:30.980]  祂是謙謙柔柔的
[00:04:30.980 --> 00:04:33.920]  坐著驢驅進入耶路撒冷
[00:04:33.920 --> 00:04:36.720]  祂是代表了神的慈愛
[00:04:36.720 --> 00:04:40.180]  和死在羞辱的十字架上
[00:04:40.180 --> 00:04:42.180]  所以有一句說話說
[00:04:42.180 --> 00:04:44.460]  祂同時間是猶太的獅子
[00:04:44.460 --> 00:04:46.540]  亦是神的羔羊
[00:04:46.540 --> 00:04:48.020]  祂是一個人
