
[00:00:00.000 --> 00:00:02.000]  我們很歡喜快樂
[00:00:02.000 --> 00:00:06.000]  因為看見神在我們中間工作
[00:00:06.000 --> 00:00:08.500]  今天早上從三方面要來講
[00:00:08.500 --> 00:00:12.000]  當神工作的時候
[00:00:12.000 --> 00:00:13.000]  第一
[00:00:13.000 --> 00:00:15.000]  當神工作的時候
[00:00:15.000 --> 00:00:18.000]  速度是快到無法想像
[00:00:18.000 --> 00:00:23.000]  給你旁邊速度快到無法想像的跟他說
[00:00:23.000 --> 00:00:25.000]  你還記得兩個禮拜以前
[00:00:25.000 --> 00:00:28.000]  我們還是一籌莫展
[00:00:28.000 --> 00:00:33.000]  西方銀行寫給我們一封信
[00:00:33.000 --> 00:00:34.000]  告訴我們說
[00:00:34.000 --> 00:00:36.000]  因為我們無法滿足
[00:00:36.000 --> 00:00:39.000]  他們在停車上的要求
[00:00:39.000 --> 00:00:42.000]  所以他們沒有任何的責任
[00:00:42.000 --> 00:00:44.000]  要貸款給我們
[00:00:44.000 --> 00:00:49.000]  那真是一封非常令人洩氣的信
[00:00:49.000 --> 00:00:54.000]  我們真的卡在中間進退兩難
[00:00:54.000 --> 00:00:59.000]  好像摩西當年帶領以色列人要過紅海的時候一樣
[00:00:59.000 --> 00:01:03.000]  前面是紅海後面是埃及的追兵
[00:01:03.000 --> 00:01:06.000]  卡在中間進退兩難
[00:01:06.000 --> 00:01:09.000]  前面沒有路後面也沒有路
[00:01:09.000 --> 00:01:11.000]  怎麼辦
[00:01:11.000 --> 00:01:14.000]  在這樣的情況當中
[00:01:14.000 --> 00:01:17.000]  神能拯救嗎
[00:01:17.000 --> 00:01:21.000]  更重要的問題是來得及嗎
[00:01:21.000 --> 00:01:24.000]  但神能來得及嗎
[00:01:24.000 --> 00:01:30.000]  你要知道我們的神真的是一位準時的神
[00:01:30.000 --> 00:01:33.000]  就在以色列人最著急的時候
[00:01:33.000 --> 00:01:38.000]  神吩咐摩西用葬像水一子
[00:01:38.000 --> 00:01:41.000]  紅海就分為兩半
[00:01:41.000 --> 00:01:44.000]  以色列人就走過紅海
[00:01:44.000 --> 00:01:49.000]  但當然同時埃及的追兵也追到紅海裡面
[00:01:49.000 --> 00:01:53.000]  但神用雲柱火柱擋住了他們
[00:01:53.000 --> 00:01:54.000]  但你想想看
[00:01:54.000 --> 00:01:59.000]  如果你是以色列的行列當中走在最後一個的那一個人
[00:01:59.000 --> 00:02:02.000]  你不是急死了嗎
[00:02:02.000 --> 00:02:04.000]  前面的人快點快點
[00:02:04.000 --> 00:02:05.000]  拜託拜託拜託
[00:02:05.000 --> 00:02:06.000]  後面就要來了
[00:02:06.000 --> 00:02:08.000]  拜託一下吧
[00:02:08.000 --> 00:02:13.000]  但感謝神就在以色列人最後一個人腳踏上岸的時候
[00:02:13.000 --> 00:02:16.000]  神就吩咐海水復合
[00:02:16.000 --> 00:02:21.000]  所有的埃及的軍兵都淹死在紅海當中
[00:02:21.000 --> 00:02:24.000]  我們的神永遠是準時的神
[00:02:24.000 --> 00:02:27.000]  我們神的時候不早也不晚
[00:02:27.000 --> 00:02:29.000]  神的時候剛剛好
[00:02:29.000 --> 00:02:33.000]  跟你們說神的時候剛剛好跟他說
[00:02:33.000 --> 00:02:37.000]  我還記得五月二十四號那天晚上
[00:02:37.000 --> 00:02:40.000]  是禮拜三的晚上我們禱告會
[00:02:40.000 --> 00:02:44.000]  那時候我心中真的壓力很大
[00:02:44.000 --> 00:02:46.000]  因為不知道怎麼往前走
[00:02:46.000 --> 00:02:49.000]  我記得在禱告會當中我就分享到
[00:02:49.000 --> 00:02:54.000]  弟兄你要知道要我憂慮是不大容易的事情
[00:02:54.000 --> 00:02:58.000]  但我最近真的有一點憂慮了
[00:02:58.000 --> 00:03:04.000]  結果那天晚上有位弟兄聽見我說我有一點憂慮了
[00:03:04.000 --> 00:03:07.000]  他想的話真是恐怕蠻嚴重的
[00:03:07.000 --> 00:03:11.000]  他就在想那我能夠做些什麼呢
[00:03:11.000 --> 00:03:18.000]  他就想到剛好上海商業銀行在香港的主管來到美國
[00:03:18.000 --> 00:03:20.000]  而且他們早已經約好
[00:03:20.000 --> 00:03:22.000]  本來就約好要吃個飯
[00:03:22.000 --> 00:03:27.000]  他就在想說說不定可以順便把我們教會的情況
[00:03:27.000 --> 00:03:29.000]  帶給這個主管看看
[00:03:29.000 --> 00:03:33.000]  看看有什麼可以幫忙的地方
[00:03:33.000 --> 00:03:37.000]  所以他就向我們建堂委員會提出這個可能
[00:03:37.000 --> 00:03:43.000]  建堂委員會就答應把我們教會建堂的財務資料
[00:03:43.000 --> 00:03:46.000]  讓他帶去給這個主管看一下
[00:03:46.000 --> 00:03:49.000]  結果這個主管看了我們的情況
[00:03:49.000 --> 00:03:50.000]  他就講到兩件事情
[00:03:50.000 --> 00:03:52.000]  第一個我們沒有債務
[00:03:52.000 --> 00:03:57.000]  這對任何銀行貸款來講都是加分的項目
[00:03:57.000 --> 00:04:00.000]  但其實我們本來是有債務的你記得嗎
[00:04:00.000 --> 00:04:02.000]  你還記得當我們第一級工程
[00:04:02.000 --> 00:04:07.000]  我們還欠美國銀行250萬一直還沒有還清
[00:04:07.000 --> 00:04:10.000]  但後來是因為我們要換銀行
[00:04:10.000 --> 00:04:13.000]  換到Bank of the West
[00:04:13.000 --> 00:04:15.000]  從BOA到BOW
[00:04:15.000 --> 00:04:21.000]  所以我們就用建堂基金要先把那250萬還清了
[00:04:21.000 --> 00:04:24.000]  因為這是在整個Bank of the West
[00:04:24.000 --> 00:04:27.000]  給我們整個貸款裡面我們必須做的一件事情
[00:04:27.000 --> 00:04:30.000]  所以我們就先把它還清了
[00:04:30.000 --> 00:04:34.000]  我們看見結果等到上海商業銀行
[00:04:34.000 --> 00:04:36.000]  來看我們財務情況的時候
[00:04:36.000 --> 00:04:38.000]  我們剛剛好已經沒有債務了
[00:04:38.000 --> 00:04:43.000]  Hallelujah
[00:04:43.000 --> 00:04:47.000]  有時候我在想神的帶領真的很奇妙不是嗎
[00:04:47.000 --> 00:04:48.000]  從人的角度來想
