
[00:00:00.000 --> 00:00:03.400]  到出埃及的第13章會講兩節
[00:00:03.400 --> 00:00:05.800]  第14章會講全章
[00:00:05.800 --> 00:00:07.120]  大家都知道
[00:00:07.120 --> 00:00:09.160]  出埃及過紅海之前
[00:00:09.160 --> 00:00:13.320]  一班以色列民或者埃及人經歷了什麼?
[00:00:13.320 --> 00:00:14.680]  十災
[00:00:14.680 --> 00:00:17.280]  十災是殺長子之災
[00:00:17.280 --> 00:00:21.440]  所以埃及投生的無論人
[00:00:21.440 --> 00:00:24.480]  那些生畜都去死亡
[00:00:24.480 --> 00:00:26.200]  所以他們很傷心
[00:00:26.200 --> 00:00:28.960]  法老就容讓以色列民
[00:00:28.960 --> 00:00:32.480]  可以拉大隊離開埃及
[00:00:32.480 --> 00:00:35.760]  離開埃及要過紅海
[00:00:35.760 --> 00:00:39.160]  當中過紅海裏面其實有很多人
[00:00:39.160 --> 00:00:40.600]  不只是以色列民
[00:00:40.600 --> 00:00:42.160]  不只是摩西
[00:00:42.160 --> 00:00:44.400]  還有埃及人
[00:00:44.400 --> 00:00:45.960]  都不是叫埃及人
[00:00:45.960 --> 00:00:47.840]  是埃及的軍兵
[00:00:47.840 --> 00:00:49.720]  還有法老
[00:00:49.720 --> 00:00:51.200]  所以在這個背景之下
[00:00:51.200 --> 00:00:55.760]  我想和大家先讀第13章的十七、十八節
[00:00:55.760 --> 00:00:57.840]  我們一起讀吧
[00:00:57.840 --> 00:00:59.560]  預備起
[00:00:59.560 --> 00:01:02.560]  法老放百姓走的時候
[00:01:02.560 --> 00:01:05.720]  非利是人之地的路雖勤
[00:01:05.720 --> 00:01:09.160]  神卻不令他們從那裏走
[00:01:09.160 --> 00:01:10.600]  因為神說
[00:01:10.600 --> 00:01:14.640]  恐怕百姓遇見戰爭就後悔
[00:01:14.640 --> 00:01:16.720]  轉回埃及去
[00:01:16.720 --> 00:01:19.400]  神令百姓繞道而行
[00:01:19.400 --> 00:01:22.360]  走曠野的路到紅海
[00:01:22.360 --> 00:01:28.240]  以色列人出埃及地都帶著兵器上去
[00:01:28.240 --> 00:01:32.320]  摩西帶領二百萬的以色列民出去
[00:01:32.320 --> 00:01:33.840]  當然是去哪裏呢
[00:01:33.840 --> 00:01:35.200]  迦南地
[00:01:35.200 --> 00:01:37.120]  為何要去迦南地
[00:01:37.120 --> 00:01:39.040]  不去迦南地不行嗎
[00:01:39.040 --> 00:01:40.200]  經文說
[00:01:40.200 --> 00:01:41.840]  剛才大家讀也知道
[00:01:41.840 --> 00:01:45.760]  神不令他們直接去迦南地
[00:01:45.760 --> 00:01:46.840]  似乎要甚麼
[00:01:46.840 --> 00:01:48.360]  繞道
[00:01:48.360 --> 00:01:50.280]  走曠野之路
[00:01:50.280 --> 00:01:51.440]  我就會問
[00:01:51.440 --> 00:01:53.400]  即是要去迦南地
[00:01:53.400 --> 00:01:55.280]  在埃及不是好好的嗎
[00:01:55.280 --> 00:01:57.840]  為何要去迦南地呢
[00:01:57.840 --> 00:02:01.440]  為何耶和華又要帶我繞道行呢
[00:02:01.440 --> 00:02:03.760]  繞道行有些事嗎
[00:02:03.760 --> 00:02:05.360]  大家在這個背景
[00:02:05.360 --> 00:02:08.240]  因為大家知道後面發生甚麼事
[00:02:08.240 --> 00:02:10.440]  所以你可能有些事不同
[00:02:10.440 --> 00:02:13.960]  但如果你投入在以色列文章中的時候
[00:02:13.960 --> 00:02:15.120]  你就會想
[00:02:15.120 --> 00:02:16.200]  為何要繞道
[00:02:16.200 --> 00:02:17.160]  都不是很合理
[00:02:17.160 --> 00:02:20.120]  因為有條更快的路可以走
[00:02:20.120 --> 00:02:22.480]  我們再看,好嗎
[00:02:22.480 --> 00:02:27.160]  原來神是一位守約的神
[00:02:27.160 --> 00:02:29.560]  是一位信實的神
[00:02:29.560 --> 00:02:32.320]  因為耶和華應許了
[00:02:32.320 --> 00:02:35.480]  迦南地給了以色列文
[00:02:35.480 --> 00:02:40.120]  應許是說神承諾了
[00:02:40.120 --> 00:02:42.480]  神說不說謊的
[00:02:42.480 --> 00:02:43.680]  不說吧
[00:02:43.680 --> 00:02:45.280]  你說不說謊
[00:02:45.280 --> 00:02:47.720]  奸屎
[00:02:47.720 --> 00:02:49.160]  盡量不說
[00:02:49.160 --> 00:02:49.960]  是嗎
[00:02:49.960 --> 00:02:52.200]  或者不知不覺說了
[00:02:52.200 --> 00:02:55.040]  但神是不說謊
[00:02:55.040 --> 00:02:57.400]  神亦不會忘記
[00:02:57.400 --> 00:02:58.840]  神更不會改變
[00:02:58.840 --> 00:03:01.800]  祂應許裡面任何的一個細節
[00:03:01.800 --> 00:03:05.680]  因為祂是守約信實的神
[00:03:05.680 --> 00:03:10.040]  神是應許了阿巴拉罕這個地方給祂
[00:03:10.040 --> 00:03:11.960]  是否說了一次
[00:03:11.960 --> 00:03:15.200]  說一次阿巴拉罕會否記得呢
[00:03:15.200 --> 00:03:17.240]  重要的事要說多少次
[00:03:17.240 --> 00:03:18.160]  三次
[00:03:18.160 --> 00:03:19.880]  我昨天有個同工告訴我
[00:03:19.880 --> 00:03:21.480]  重要的事要說五次
[00:03:21.480 --> 00:03:23.320]  所以這篇道要說五次
[00:03:23.320 --> 00:03:24.640]  我說四次就夠了
[00:03:24.640 --> 00:03:25.880]  不要說五次
[00:03:25.880 --> 00:03:30.520]  因為昨天國語堂有阿師母說
[00:03:30.520 --> 00:03:33.440]  重要的事要說三次
[00:03:33.440 --> 00:03:34.560]  原來是真的
[00:03:34.560 --> 00:03:35.480]  在創世紀
[00:03:35.480 --> 00:03:42.160]  其實神四次再跟阿巴拉罕說應許的約
[00:03:42.160 --> 00:03:46.240]  是否阿巴拉罕得著應許的約就完結了
[00:03:46.240 --> 00:03:51.240]  不是的,這個約、應許還給了祂的子子孫孫
[00:03:51.240 --> 00:03:54.720]  我們現在都不知道現在發生了甚麼事
[00:03:54.720 --> 00:03:56.800]  在以色列地的時候
