
[00:00:00.000 --> 00:00:04.000]  各位好,首先跟大家拜年
[00:00:04.000 --> 00:00:06.000]  我身處在芝加哥
[00:00:06.000 --> 00:00:09.000]  我知道有很多大英姐妹在我附近
[00:00:09.000 --> 00:00:10.000]  在芝加哥附近
[00:00:10.000 --> 00:00:15.000]  也知道有不同的大英姐妹可能在不同的城市
[00:00:15.000 --> 00:00:18.000]  不如我們開始的時候先跟大家拜個年
[00:00:18.000 --> 00:00:20.000]  在你的live chat box那裡
[00:00:20.000 --> 00:00:21.000]  寫新年快樂
[00:00:21.000 --> 00:00:22.000]  還有一件事
[00:00:22.000 --> 00:00:26.000]  希望你告訴我你所身處的城市
[00:00:26.000 --> 00:00:28.000]  到底現在有多少度
[00:00:28.000 --> 00:00:31.000]  因為我們芝加哥是非常非常冷的
[00:00:31.000 --> 00:00:33.000]  我也不知道現在是多少度
[00:00:33.000 --> 00:00:37.000]  人家告訴我是負18度
[00:00:37.000 --> 00:00:41.000]  我們計算風速應該是負18度
[00:00:41.000 --> 00:00:47.000]  不知道你的城市和你自己的地方
[00:00:47.000 --> 00:00:49.000]  你的temperature是多少
[00:00:49.000 --> 00:00:52.000]  請你在live chat box打出來
[00:00:52.000 --> 00:00:54.000]  以致我們能夠看到
[00:00:54.000 --> 00:00:57.000]  能夠跟大家say hi
[00:00:57.000 --> 00:00:59.000]  大家新年幸福
[00:00:59.000 --> 00:01:04.000]  今天我們來分享一段聖經
[00:01:04.000 --> 00:01:06.000]  是一段很寶貴的聖經
[00:01:06.000 --> 00:01:11.000]  這段聖經是文素記第六章
[00:01:11.000 --> 00:01:16.000]  文素記第六章
[00:01:16.000 --> 00:01:19.000]  願耶和華賜福給你,保護你
[00:01:19.000 --> 00:01:23.000]  願耶和華使他的念光照你
[00:01:23.000 --> 00:01:27.000]  賜恩給你,願耶和華向你養念
[00:01:27.000 --> 00:01:29.000]  賜你平安
[00:01:29.000 --> 00:01:32.000]  這段聖經正如我所說
[00:01:32.000 --> 00:01:34.000]  是從文素記出來
[00:01:34.000 --> 00:01:40.000]  這段聖經是大家非常喜歡的一段聖經
[00:01:40.000 --> 00:01:44.000]  我相信如果你問一些人
[00:01:44.000 --> 00:01:46.000]  他們家裡的日曆
[00:01:46.000 --> 00:01:51.000]  或者他們家裡的揮春等等
[00:01:51.000 --> 00:01:55.000]  可能有一些經文的畫
[00:01:55.000 --> 00:02:00.000]  或者一些經文的紀念
[00:02:00.000 --> 00:02:04.000]  都會用文素記第六章這段聖經
[00:02:04.000 --> 00:02:06.000]  先看看
[00:02:06.000 --> 00:02:09.000]  有一些弟兄姊妹在Edmonton
[00:02:09.000 --> 00:02:10.000]  -24度
[00:02:10.000 --> 00:02:12.000]  所以我們都不差
[00:02:12.000 --> 00:02:14.000]  Calgary是-25度
[00:02:14.000 --> 00:02:16.000]  看看還有誰
[00:02:16.000 --> 00:02:19.000]  Halifax是0度
[00:02:19.000 --> 00:02:21.000]  我們芝加哥都不差
[00:02:21.000 --> 00:02:23.000]  -18或者20度
[00:02:23.000 --> 00:02:25.000]  溫哥華只有0度
[00:02:25.000 --> 00:02:28.000]  其實對我來說都算暖
[00:02:28.000 --> 00:02:32.000]  剛才我們看到這段聖經
[00:02:32.000 --> 00:02:35.000]  願耶和華賜福給你
[00:02:35.000 --> 00:02:45.000]  這段聖經是一段阿倫祭司對以色列民的祝福的句語
[00:02:45.000 --> 00:02:48.000]  很多時候在崇拜的最後
[00:02:48.000 --> 00:02:52.000]  不同的教會都會用這段來作結束
[00:02:52.000 --> 00:02:56.000]  會眾離開之前就得到上帝的祝福
[00:02:56.000 --> 00:03:00.000]  新年來我們當然要講這些祝福的說話
[00:03:00.000 --> 00:03:02.000]  這個無法避開
[00:03:02.000 --> 00:03:04.000]  在這一年裡面
[00:03:04.000 --> 00:03:07.000]  因為疫情的緣故
[00:03:07.000 --> 00:03:11.000]  這段聖經特別出名
[00:03:11.000 --> 00:03:15.000]  特別普遍被人使用
[00:03:15.000 --> 00:03:16.000]  為什麼呢
[00:03:16.000 --> 00:03:20.000]  因為這段聖經在網路上
[00:03:20.000 --> 00:03:23.000]  在過去的疫情當中
[00:03:23.000 --> 00:03:27.000]  有很多人將它重新演繹
[00:03:27.000 --> 00:03:31.000]  有一首歌是出自這段聖經
[00:03:31.000 --> 00:03:34.000]  叫做The Blessing
[00:03:34.000 --> 00:03:38.000]  不單止這首歌是一首很有意思的詩歌
[00:03:38.000 --> 00:03:40.000]  是基於這段聖經
[00:03:40.000 --> 00:03:44.000]  也翻譯了不同的語言
[00:03:44.000 --> 00:03:46.000]  譬如有希伯來文
[00:03:46.000 --> 00:03:49.000]  日文 韓文 阿拉伯文
[00:03:49.000 --> 00:03:52.000]  或者其他的演繹方法
[00:03:52.000 --> 00:03:56.000]  是一首很有意思的詩歌
[00:03:56.000 --> 00:04:01.000]  也將文數記第六章提到的
[00:04:01.000 --> 00:04:04.000]  我們的祈禱
