
[00:00:00.000 --> 00:00:10.000]  此錄音或錄影的版權,是屬基督教宣道會北角堂所有。
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一,是以真理教導為本。
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友。
[00:00:18.000 --> 00:00:24.000]  懇請注意未經授權,請勿轉錄,或剪輯本錄音或錄影。
[00:00:24.000 --> 00:00:30.000]  10月好似次度行轉20章32節中所講,這道能建立你們,
[00:00:30.000 --> 00:00:34.000]  叫你們和一切成聖的人同得基業。
[00:00:54.000 --> 00:01:00.000]  點擊連結,聯絡客戶服務查詢。
[00:01:00.000 --> 00:01:05.000]  一看這個信息時,想起真是很久沒有用過的積分。
[00:01:05.000 --> 00:01:10.000]  再想,等一下,點擊連結?這麼可疑?
[00:01:10.000 --> 00:01:18.000]  還是循正常途徑,找回網站,找回電訊公司的APP查清楚。
[00:01:18.000 --> 00:01:25.000]  一查之下,果然又是一個電訊詐騙,網絡釣魚的大話短訊。
[00:01:25.000 --> 00:01:29.000]  「辨明」在我們日常生活中十分重要。
[00:01:29.000 --> 00:01:36.000]  這也是今天我們看的十四章的選段,原文三次出現過「辨明」這個字詞。
[00:01:36.000 --> 00:01:39.000]  第六節、第八節、第十五節。
[00:01:39.000 --> 00:01:44.000]  在我們用的譯本中,第八節就譯了「辨明」這個字。
[00:01:44.000 --> 00:01:53.000]  其實六節的「聰明人」和十五節的「謹慎」,都是同一個字詞,「辨明」。
[00:01:53.000 --> 00:01:58.000]  有智慧不單止是去分辨眼前事物的本相,
[00:01:58.000 --> 00:02:02.000]  並且能夠去看清楚、分辨清楚自己在做什麼,
[00:02:02.000 --> 00:02:06.000]  也能分辨清楚在前面的路上要怎麼走。
[00:02:06.000 --> 00:02:10.000]  我們會循著這三方面去讀今天的經文。
[00:02:10.000 --> 00:02:14.000]  在進入經文之前,我們再一次祈禱、交託。
[00:02:14.000 --> 00:02:16.000]  天會上帝,求祢指教我們。
[00:02:16.000 --> 00:02:21.000]  願祢真理的凌著我們心中,讓我們得著祢智慧的華語。
[00:02:21.000 --> 00:02:23.000]  求主幫助我們每一個。
[00:02:23.000 --> 00:02:24.000]  我們祈禱是:
[00:02:24.000 --> 00:02:26.000]  奉諸耶穌基督,得聖名至祈求。
[00:02:26.000 --> 00:02:28.000]  阿們。
[00:02:28.000 --> 00:02:31.000]  如果祢歡喜,祢可以使用唐用聖經,
[00:02:31.000 --> 00:02:37.000]  也可以作為一個參考,九百四十五頁諉言的第十四章。
[00:02:37.000 --> 00:02:41.000]  在這裡我們先看回十四章的一節,
[00:02:41.000 --> 00:02:43.000]  《環球聖經》日本的第一節。
[00:02:43.000 --> 00:02:45.000]  我請大家讀出頭兩項。
[00:02:45.000 --> 00:02:46.000]  頭兩項,預備起:
[00:02:46.000 --> 00:02:50.000]  有智慧的婦人,建立家臣。
[00:02:50.000 --> 00:02:53.000]  愚患的婦人,神修察慧。
[00:02:53.000 --> 00:02:57.000]  行事正直的人,敬畏的我。
[00:02:57.000 --> 00:03:01.000]  行事敵畏的人,信仰事化。
[00:03:01.000 --> 00:03:06.000]  第一節提及兩個婦人,一個有智慧,一個是愚患的,
[00:03:06.000 --> 00:03:09.000]  一個建立家室,一個是拆毀家室。
[00:03:09.000 --> 00:03:14.000]  家室的原文的用字就是「屋」,「房屋」,
[00:03:14.000 --> 00:03:17.000]  也可以像我們廣東話說的「屋企」,
[00:03:17.000 --> 00:03:20.000]  那「屋企」就不單止是那間屋了,
[00:03:20.000 --> 00:03:22.000]  「屋企」也在說家人。
[00:03:22.000 --> 00:03:27.000]  所以這裡最直接的理解就是關乎一個在家裡的太太,
[00:03:27.000 --> 00:03:29.000]  她怎樣令家庭興旺。
[00:03:29.000 --> 00:03:35.000]  相反的話,一個不好的配偶也可以令家不成家。
[00:03:35.000 --> 00:03:38.000]  於是歷來都有學者主張,
[00:03:38.000 --> 00:03:41.000]  這裡可能是在說十三章,
[00:03:41.000 --> 00:03:43.000]  智慧之子要聽爸爸的教導,
[00:03:43.000 --> 00:03:46.000]  很好的謹慎的選擇配偶。
[00:03:46.000 --> 00:03:49.000]  那你說如果是智慧的女兒呢?
[00:03:49.000 --> 00:03:52.000]  那就要看回真言的三十一章,
[00:03:52.000 --> 00:03:56.000]  成為一個有才德的婦人,持家有道。
[00:03:56.000 --> 00:03:59.000]  這個是一重的理解。
[00:03:59.000 --> 00:04:01.000]  在今天男女平等的情況底下,
[00:04:01.000 --> 00:04:04.000]  都不只是妻子負責持家,
[00:04:04.000 --> 00:04:07.000]  這樣的話,真言還適不適用呢?
[00:04:07.000 --> 00:04:12.000]  也適用的,擇偶要謹慎,是古今通用的。
[00:04:12.000 --> 00:04:17.000]  但是這一章的經文放在這個段落裡面,
[00:04:17.000 --> 00:04:20.000]  可以有更深一層的理解。
[00:04:20.000 --> 00:04:23.000]  真言十四章一節,
[00:04:23.000 --> 00:04:26.000]  它說到有智慧的婦人建立家室,
[00:04:26.000 --> 00:04:29.000]  其實和真言九章一節的第一句,
[00:04:29.000 --> 00:04:31.000]  是幾乎相同的。
[00:04:31.000 --> 00:04:36.000]  九章一節用原文直譯是「智慧建立家室」。
[00:04:36.000 --> 00:04:38.000]  你看到,我打了一些顏色給你看,
[00:04:38.000 --> 00:04:41.000]  排列了給你看到,差不多一樣的。
[00:04:41.000 --> 00:04:44.000]  在十四章一節只是多了「婦人」這個字,
[00:04:44.000 --> 00:04:47.000]  在原文也是只是多了這個字。
[00:04:47.000 --> 00:04:49.000]  顯然十四章一節這句的真言,
[00:04:49.000 --> 00:04:52.000]  和九章的關係比較明顯。
[00:04:52.000 --> 00:04:55.000]  因為在十四章我們看到有一個對比,
[00:04:55.000 --> 00:04:58.000]  智慧的婦人和愚頑的婦人。
[00:04:58.000 --> 00:05:03.000]  在第九章同樣,智慧好像一個婦人,
[00:05:03.000 --> 00:05:07.000]  另外也有一個愚頑的婦人和她相對。
[00:05:07.000 --> 00:05:09.000]  在第九章那裡用了異人法去描述智慧,
[00:05:09.000 --> 00:05:11.000]  就好像一個尊貴的夫人,
[00:05:11.000 --> 00:05:14.000]  在城中的高處呼喚。
[00:05:14.000 --> 00:05:18.000]  另一方面,愚頑的婦人也在城中的高處呼喚。
[00:05:18.000 --> 00:05:21.000]  兩方面都呼喚人來聽她的教導,
[00:05:21.000 --> 00:05:23.000]  走她指示的路,
[00:05:23.000 --> 00:05:27.000]  來到宴會當中進入她的家裡面。
[00:05:27.000 --> 00:05:29.000]  單看經文,
[00:05:29.000 --> 00:05:37.000]  你看不出愚頑婦人是怎樣去引誘人走進她的歪理邪道裡面的。
[00:05:37.000 --> 00:05:40.000]  因為看第四節、九章四節、九章十六節,
[00:05:40.000 --> 00:05:43.000]  用字是一模一樣的。
[00:05:43.000 --> 00:05:44.000]  如果是這樣的話,
[00:05:44.000 --> 00:05:47.000]  單憑表面很難分辨,
[00:05:47.000 --> 00:05:50.000]  需要辨明。
[00:05:50.000 --> 00:05:54.000]  十四章第一節到第七節,
[00:05:54.000 --> 00:05:57.000]  其實是一整個段落可以這樣排列。
