
[00:00:00.000 --> 00:00:02.000]  不知道你每個禮拜來到教會
[00:00:02.000 --> 00:00:04.000]  拿到節目單的時候
[00:00:04.000 --> 00:00:06.000]  有沒有注意到節目單的背後
[00:00:06.000 --> 00:00:08.000]  我們每一個禮拜
[00:00:08.000 --> 00:00:10.000]  都印了一個大的框框
[00:00:10.000 --> 00:00:14.000]  在後面寫著生命和核心價值
[00:00:14.000 --> 00:00:16.000]  很多人走進教會
[00:00:16.000 --> 00:00:18.000]  都很容易明白
[00:00:18.000 --> 00:00:20.000]  我們教會的意向跟策略
[00:00:20.000 --> 00:00:22.000]  因為兩邊牆都掛得很清楚
[00:00:22.000 --> 00:00:24.000]  接著敬拜讚美
[00:00:24.000 --> 00:00:26.000]  聖靈更新小組教會
[00:00:26.000 --> 00:00:30.000]  全地轉化建造神榮耀的教會
[00:00:30.000 --> 00:00:32.000]  但是不是太多人知道
[00:00:32.000 --> 00:00:35.000]  我們教會的核心價值
[00:00:35.000 --> 00:00:37.000]  什麼是核心價值呢
[00:00:37.000 --> 00:00:39.000]  核心價值就是
[00:00:39.000 --> 00:00:44.000]  一個教會生活跟運作的一個法則
[00:00:44.000 --> 00:00:45.000]  也許你會說
[00:00:45.000 --> 00:00:47.000]  我們教會不是有意向跟策略了嗎
[00:00:47.000 --> 00:00:50.000]  為什麼還要有核心價值呢
[00:00:50.000 --> 00:00:52.000]  因為意向策略
[00:00:52.000 --> 00:00:56.000]  是表明神所給我們的使命跟工作
[00:00:56.000 --> 00:00:59.000]  但核心價值是不同的
[00:00:59.000 --> 00:01:01.000]  核心價值是
[00:01:01.000 --> 00:01:06.000]  達成這個意向跟策略的方法跟原則
[00:01:06.000 --> 00:01:09.000]  所以如果意向跟策略是目標的話
[00:01:09.000 --> 00:01:11.000]  那麼核心價值
[00:01:11.000 --> 00:01:15.000]  就是達成這個目標的一個道路
[00:01:15.000 --> 00:01:17.000]  意向跟策略
[00:01:17.000 --> 00:01:19.000]  可以在剎那之間
[00:01:19.000 --> 00:01:23.000]  我們在神面前領受而得到
[00:01:23.000 --> 00:01:25.000]  但是核心價值
[00:01:25.000 --> 00:01:27.000]  卻是要花時間
[00:01:27.000 --> 00:01:31.000]  在整個會眾當中培育出來
[00:01:31.000 --> 00:01:32.000]  換句話說
[00:01:32.000 --> 00:01:36.000]  核心價值是我們教會整體
[00:01:36.000 --> 00:01:39.000]  要活出來的一個生命
[00:01:39.000 --> 00:01:42.000]  所以當我們教會要準備往前走
[00:01:42.000 --> 00:01:43.000]  我們越來越看見
[00:01:43.000 --> 00:01:45.000]  神擺在我們面前
[00:01:45.000 --> 00:01:49.000]  是一條又是向來沒走過的道路
[00:01:49.000 --> 00:01:53.000]  神要帶領我們進入新的領域之前
[00:01:53.000 --> 00:01:56.000]  我就想到核心價值
[00:01:56.000 --> 00:02:00.000]  我們要回到我們最基本的核心價值上
[00:02:00.000 --> 00:02:02.000]  好讓我們往前走的時候
[00:02:02.000 --> 00:02:06.000]  我們的侍奉能夠更加有果效
[00:02:06.000 --> 00:02:08.000]  我們更加同心合一
[00:02:08.000 --> 00:02:10.000]  Amen
[00:02:10.000 --> 00:02:12.000]  教會有六個核心價值
[00:02:12.000 --> 00:02:15.000]  第一個 效法基督 做主僕人
[00:02:15.000 --> 00:02:16.000]  跟我一同來說
[00:02:16.000 --> 00:02:19.000]  效法基督 做主僕人
[00:02:19.000 --> 00:02:22.000]  第二個 今天做一個基督徒
[00:02:22.000 --> 00:02:25.000]  我們是一個跟隨耶穌基督的人
[00:02:25.000 --> 00:02:26.000]  換句話說
[00:02:26.000 --> 00:02:30.000]  我們的生命是一個效法的對象
[00:02:30.000 --> 00:02:34.000]  耶穌基督就是我們效法的對象
[00:02:34.000 --> 00:02:35.000]  做一個基督徒
[00:02:35.000 --> 00:02:38.000]  我們不是一些個頭所好
[00:02:38.000 --> 00:02:41.000]  自己隨己意而行的一群人
[00:02:41.000 --> 00:02:43.000]  做一個基督徒
[00:02:43.000 --> 00:02:46.000]  我們來是跟隨耶穌基督的人
[00:02:46.000 --> 00:02:47.000]  Amen
[00:02:47.000 --> 00:02:48.000]  所以做一個基督徒
[00:02:48.000 --> 00:02:52.000]  我們在思想上一定要有一個大轉彎
[00:02:52.000 --> 00:02:55.000]  我們一定要從好像過去我們想到
[00:02:55.000 --> 00:02:58.000]  我想要怎麼做
[00:02:58.000 --> 00:03:00.000]  我想要怎麼去做
[00:03:00.000 --> 00:03:02.000]  我想自己去做什麼
[00:03:02.000 --> 00:03:03.000]  從這樣的觀念
[00:03:03.000 --> 00:03:07.000]  從我以為 我認為 我感覺
[00:03:07.000 --> 00:03:12.000]  這種思想型態跟模式轉變過來
[00:03:12.000 --> 00:03:14.000]  我們要轉變成為說主啊
[00:03:14.000 --> 00:03:16.000]  你認為如何
[00:03:16.000 --> 00:03:18.000]  你以為怎麼樣
[00:03:18.000 --> 00:03:20.000]  你感覺是什麼
[00:03:20.000 --> 00:03:22.000]  你要我們做什麼
[00:03:22.000 --> 00:03:25.000]  我們一定要回到主的面前
