
[00:00:00.000 --> 00:00:06.640]  這個題目都是跟我們中國人的文化傳統
[00:00:06.640 --> 00:00:11.140]  或者我們生活上很密切的關係
[00:00:11.140 --> 00:00:18.920]  所以我很久之前就給了一個題目叫《生死有命》
[00:00:18.920 --> 00:00:22.540]  其實是來自中國人的經典
[00:00:22.540 --> 00:00:25.420]  生死有命 富貴有天
[00:00:25.420 --> 00:00:30.400]  港島人的生死和財運亨通
[00:00:30.400 --> 00:00:33.500]  都是其實有一個定數
[00:00:33.500 --> 00:00:38.600]  這個天命和上天的旨意是來安排的
[00:00:38.600 --> 00:00:42.980]  但是我就不想用這個方向來思想
[00:00:42.980 --> 00:00:47.580]  我就想弄這句話是挑起我們去思想
[00:00:47.580 --> 00:00:50.180]  我們生存在這個世界上
[00:00:50.180 --> 00:00:54.460]  最大的問題是生和死的問題
[00:00:54.460 --> 00:00:58.740]  就是說我們怎樣去活得有意義
[00:00:58.740 --> 00:01:03.180]  和怎樣是無懼去面對死亡
[00:01:03.180 --> 00:01:08.020]  這兩個問題無論在任何宗教、哲理
[00:01:08.020 --> 00:01:09.940]  或者日常生活
[00:01:09.940 --> 00:01:14.040]  我們接觸到很多人遇到困境危機的時候
[00:01:14.040 --> 00:01:16.900]  都會挑起我們去想這個問題
[00:01:16.900 --> 00:01:19.100]  死亡對於很多人來說
[00:01:19.100 --> 00:01:23.060]  是比較渺茫、遙遠的一件事情
[00:01:23.060 --> 00:01:28.000]  但是面對生命和怎樣活得有意義
[00:01:28.000 --> 00:01:32.940]  就比較直接、真實和較為貼身
[00:01:32.940 --> 00:01:39.120]  除非你開始慢慢步向晚年
[00:01:39.120 --> 00:01:43.420]  和你一起生活的身邊的朋友
[00:01:43.420 --> 00:01:45.580]  一個個捨你而去
[00:01:45.580 --> 00:01:51.080]  你這種死亡的意識就會比較強
[00:01:51.080 --> 00:01:55.700]  你說如果是一個小學生或者一個中學生
[00:01:55.700 --> 00:02:00.240]  他前面還有很多的憧憬
[00:02:00.240 --> 00:02:03.360]  他從未想到死亡的問題
[00:02:03.360 --> 00:02:08.620]  所以我們都是覺得面對生活的現實
[00:02:08.620 --> 00:02:10.740]  是比較直接一點
[00:02:10.740 --> 00:02:16.020]  這個林法就好像孔夫子講了一句說話
[00:02:16.020 --> 00:02:17.620]  很能夠表達
[00:02:17.620 --> 00:02:20.660]  他說「未知生焉知死」
[00:02:20.660 --> 00:02:23.840]  他說我們生活上這麼多事情都不曉得
[00:02:23.840 --> 00:02:25.960]  都不知道怎樣去面對
[00:02:25.960 --> 00:02:29.580]  你講死亡這麼遙遠和抽象的事情
[00:02:29.580 --> 00:02:31.080]  不好了
[00:02:31.080 --> 00:02:35.480]  當然這是一個人生裏面的態度
[00:02:35.480 --> 00:02:38.400]  所以孔子他有四樣東西不講的
[00:02:38.400 --> 00:02:42.720]  他說只不如怪力亂神
[00:02:42.720 --> 00:02:47.080]  荒誕神怪的事情他不講的
[00:02:47.080 --> 00:02:50.340]  可能孔子不會講有沒有聖誕老人
[00:02:50.340 --> 00:02:54.740]  或者聖誕老人是不是真的在英通那裏下來
[00:02:54.740 --> 00:02:56.700]  將行禮物給你的孫子
[00:02:56.700 --> 00:02:57.940]  他不講的
[00:02:57.940 --> 00:03:03.520]  力孔子亦都不會講暴力的事情
[00:03:03.520 --> 00:03:10.220]  任何領導人是用一種暴力的行為對待別人
[00:03:10.220 --> 00:03:12.440]  孔子都不鼓勵
[00:03:12.440 --> 00:03:16.620]  亂任何的說話無論最好的東西
[00:03:16.620 --> 00:03:19.820]  能夠引動起社會的不安動亂
[00:03:19.820 --> 00:03:21.700]  孔子不會講的
[00:03:21.700 --> 00:03:23.940]  孔子一個這麼有道德的人
[00:03:23.940 --> 00:03:25.660]  他其實做官的時候
[00:03:25.660 --> 00:03:29.540]  斬了一個年輕人的頭
[00:03:29.540 --> 00:03:34.220]  這個事跡叫做孔子誅邵正茂
[00:03:34.220 --> 00:03:38.080]  孔子殺了一個人叫邵正茂
[00:03:38.080 --> 00:03:39.600]  那他犯了甚麼罪
[00:03:39.600 --> 00:03:43.060]  搞到孔子一個這麼高德行都殺了他
[00:03:43.060 --> 00:03:46.180]  原來他棄與於事
[00:03:46.180 --> 00:03:47.940]  棄與於事就是說
[00:03:47.940 --> 00:03:51.620]  在公開的場合那裏亂講話
[00:03:51.620 --> 00:03:54.660]  隨便好像扔橫沙那樣拋出一些橫
[00:03:54.660 --> 00:03:56.660]  造成社會的混亂
[00:03:56.660 --> 00:03:59.540]  孔子做官的時候將一個人斬了他
[00:03:59.540 --> 00:04:01.200]  很果斷這樣
[00:04:01.200 --> 00:04:05.820]  所以你不要看孔子講仁義禮智信那麼溫柔
[00:04:05.820 --> 00:04:10.820]  原來他處理社會的時候他是很果斷的
[00:04:10.820 --> 00:04:12.540]  還有講神
[00:04:12.540 --> 00:04:17.920]  講到這些鬼神的面孔子亦都不講
[00:04:17.920 --> 00:04:22.380]  但是他又講鬼神敬而遠之
[00:04:22.380 --> 00:04:24.000]  濟於在
[00:04:24.000 --> 00:04:26.740]  他不是講沒有神存在
[00:04:26.740 --> 00:04:30.320]  而是講我們要集中生活裏面
[00:04:30.320 --> 00:04:33.460]  這個人性要面對的問題
[00:04:33.460 --> 00:04:35.460]  和現實的問題
[00:04:35.460 --> 00:04:38.580]  他說天道遠人道近
[00:04:38.580 --> 00:04:39.900]  講將來
[00:04:39.900 --> 00:04:42.420]  講宗教信仰那些比較遙遠
[00:04:42.420 --> 00:04:44.420]  不如講一下現實人生
[00:04:44.420 --> 00:04:47.000]  這個很影響我們中國人
[00:04:47.000 --> 00:04:51.820]  中國人我們對得起天
[00:04:51.820 --> 00:04:53.820]  對得起良心
[00:04:53.820 --> 00:04:56.440]  我們就無愧了
[00:04:56.440 --> 00:04:58.440]  究竟死後是怎樣
[00:04:58.440 --> 00:05:00.440]  我們又不需要去想
[00:05:00.440 --> 00:05:04.460]  但是其實在西方
[00:05:04.460 --> 00:05:07.540]  又是有些人有不同的看法
[00:05:07.540 --> 00:05:14.060]  和生死這個問題是互相依附和互相關聯的
[00:05:14.060 --> 00:05:18.020]  所以西方有人剛剛反過來說未知死焉知生
[00:05:18.020 --> 00:05:23.020]  其實你不了解死亡的真相
[00:05:23.020 --> 00:05:26.360]  不解決到死亡的問題
[00:05:26.360 --> 00:05:30.200]  你根本無從去生活
[00:05:30.200 --> 00:05:33.140]  亦都不知道生活為了甚麼
[00:05:33.140 --> 00:05:38.700]  亦都不知道生活的方向和意義是怎樣
[00:05:38.700 --> 00:05:45.280]  所以我們如果能夠當下活得有意義
[00:05:45.280 --> 00:05:47.280]  其實生死的問題
[00:05:47.280 --> 00:05:49.600]  我們都要一同來了解
[00:05:49.600 --> 00:05:53.320]  每天打開報紙我們知道
[00:05:53.320 --> 00:05:55.320]  其實死亡並不遙遠
