
[00:00:00.000 --> 00:00:02.000]  親愛的天父主耶穌聖約瓦斯
[00:00:02.000 --> 00:00:04.000]  我們用感恩的心來到你面前
[00:00:04.000 --> 00:00:06.000]  主啊謝謝你
[00:00:06.000 --> 00:00:09.000]  讓我們看到這一段歷史的故事
[00:00:09.000 --> 00:00:12.000]  在這逐日清晨的早上
[00:00:12.000 --> 00:00:15.000]  我們弟兄姊妹再一次的來到你寶座前
[00:00:15.000 --> 00:00:17.000]  主我們來禱告
[00:00:17.000 --> 00:00:19.000]  主啊真的是
[00:00:19.000 --> 00:00:23.000]  那宣教的心跟宣教的腳鐘
[00:00:23.000 --> 00:00:26.000]  正要來打開我們心中的眼睛
[00:00:26.000 --> 00:00:28.000]  所以說今天當我們再來
[00:00:28.000 --> 00:00:31.000]  孩子在這裡宣講你話語的時候
[00:00:31.000 --> 00:00:33.000]  主啊願你的聖靈來充滿
[00:00:33.000 --> 00:00:36.000]  來帶領我們每一個人
[00:00:36.000 --> 00:00:38.000]  激起我們愛你的心
[00:00:38.000 --> 00:00:40.000]  激起我們宣教的心
[00:00:40.000 --> 00:00:42.000]  謝謝你主耶穌
[00:00:42.000 --> 00:00:43.000]  求你與我們同在
[00:00:43.000 --> 00:00:45.000]  奉耶穌的名祈禱
[00:00:45.000 --> 00:00:47.000]  Amen
[00:00:47.000 --> 00:00:48.000]  弟兄姊妹早
[00:00:48.000 --> 00:00:52.000]  平安
[00:00:52.000 --> 00:00:53.000]  大概很少人知道
[00:00:53.000 --> 00:00:56.000]  可能也沒有人知道
[00:00:56.000 --> 00:00:58.000]  喬叔叔的父親跟他的母親
[00:00:58.000 --> 00:01:01.000]  都曾經參與過辛亥革命的
[00:01:01.000 --> 00:01:04.000]  都是參與過辛亥革命的基督徒
[00:01:04.000 --> 00:01:08.000]  那喬老爺呢還是當年受到總理
[00:01:08.000 --> 00:01:10.000]  特別託付他
[00:01:10.000 --> 00:01:12.000]  把那個國民黨的黨旗
[00:01:12.000 --> 00:01:15.000]  從日本帶回中國
[00:01:15.000 --> 00:01:17.000]  那到了喬叔叔呢
[00:01:17.000 --> 00:01:20.000]  他已經是第五代的基督徒了
[00:01:20.000 --> 00:01:21.000]  感謝大美主
[00:01:21.000 --> 00:01:24.000]  那我們剛剛看過這20分鐘的短片
[00:01:24.000 --> 00:01:29.000]  是這次我在準備這個獎章的時候呢
[00:01:29.000 --> 00:01:32.000]  唐小蘭從臺灣寄過來的
