
[00:00:00.000 --> 00:00:03.440]  多謝小詩 多謝敬拜隊號碼 給他們掌聲
[00:00:03.440 --> 00:00:08.640]  很難得我們還可以有實體崇拜的時間
[00:00:08.640 --> 00:00:12.320]  跟網上崇拜的電影姊妹打個招呼
[00:00:12.320 --> 00:00:15.680]  今天我們已經到了
[00:00:15.680 --> 00:00:18.640]  講這個季的題目 已經講了很多次了
[00:00:18.640 --> 00:00:20.880]  同工一直在談的時候 發覺
[00:00:20.880 --> 00:00:22.880]  為什麼這次我們第三季
[00:00:22.880 --> 00:00:27.680]  很多都是同工講 所以不斷去講結果子
[00:00:27.680 --> 00:00:33.760]  小組討論 談了無數無數次了
[00:00:33.760 --> 00:00:39.360]  但結果子不是用來講的 也不是用來談的
[00:00:39.360 --> 00:00:43.120]  是要什麼 真是結到才行
[00:00:43.120 --> 00:00:46.560]  所以在這個時間我們真的要去想一下
[00:00:46.560 --> 00:00:48.800]  自己是否真的OK
[00:00:48.800 --> 00:00:53.280]  究竟我們在理性上 知識上是否已經完備
[00:00:53.280 --> 00:00:56.480]  都已經很清楚了 是不是 覺得自己可以考試
[00:00:56.480 --> 00:00:58.480]  可以入格了 是不是應該
[00:00:58.480 --> 00:01:01.120]  但是我們在小組 雖然每晚都是小組
[00:01:01.120 --> 00:01:02.720]  雖然在Zoom裏面
[00:01:02.720 --> 00:01:05.920]  發現其實我們在感性上
[00:01:05.920 --> 00:01:08.560]  都是有些人有些困惑
[00:01:08.560 --> 00:01:12.000]  談就當然這樣談 講來講去都是
[00:01:12.000 --> 00:01:14.000]  見不到都是那些問題 是不是
[00:01:14.000 --> 00:01:19.600]  就是什麼 難 還有 懶
[00:01:19.600 --> 00:01:24.720]  不知道怎樣 很困難 疫情有疫情的困難
[00:01:24.720 --> 00:01:26.160]  其實我們都很坦白
[00:01:26.160 --> 00:01:29.120]  以前十幾年這麼開心的日子
[00:01:29.120 --> 00:01:31.840]  其實答案都是一樣 都是覺得難的
[00:01:31.840 --> 00:01:35.120]  所以某程度來說 我們去到下面那幾天講
[00:01:35.120 --> 00:01:38.880]  都是想問一下 究竟我們有什麼實際的行動
[00:01:38.880 --> 00:01:41.360]  真是可以幫助我們能夠
[00:01:41.360 --> 00:01:44.560]  結出能夠榮耀神的果子 是不是
[00:01:44.560 --> 00:01:50.720]  經文我們經常都講 要我們要結出這個果子和悔改的心
[00:01:50.720 --> 00:01:52.240]  來去相呈
[00:01:52.240 --> 00:01:54.240]  某程度來說 回到教會很久了
[00:01:54.240 --> 00:01:57.360]  但是我們都在想 果子都是那幾類的 是不是
[00:01:57.360 --> 00:01:59.600]  通常就在說 屬靈的果子
[00:01:59.600 --> 00:02:02.960]  但是聖靈的果子其實是
[00:02:02.960 --> 00:02:06.400]  需要靠著聖靈才可以結出的
[00:02:06.400 --> 00:02:09.680]  所以品格和性格 我們覺得有點不同的
