
[00:00:00.000 --> 00:00:04.140]  讀兩節的聖經在約書亞記第四章第六到第七節
[00:00:04.140 --> 00:00:09.100]  這裡說這些石頭在你們中間可以作為證據
[00:00:09.100 --> 00:00:13.620]  日後你們的子孫問你們說這些石頭是什麼意思
[00:00:13.620 --> 00:00:15.180]  第七節你們就對他們說
[00:00:15.180 --> 00:00:19.700]  這是因為約旦河的水在耶華的約會前斷絕
[00:00:19.700 --> 00:00:21.140]  約會過約旦河的時候
[00:00:21.140 --> 00:00:23.340]  約旦河的水就斷絕了
[00:00:23.340 --> 00:00:27.020]  這些石頭要做以色列人永遠的紀念
[00:00:27.020 --> 00:00:27.980]  我們就讀到這裡
[00:00:29.420 --> 00:00:33.860]  今天是我們的第一次舉行的傳承主日
[00:00:33.860 --> 00:00:36.220]  什麼是傳承主日
[00:00:36.220 --> 00:00:39.860]  傳承主日就是一個屬神的大家庭
[00:00:39.860 --> 00:00:42.980]  我們一同來紀念神的作為
[00:00:42.980 --> 00:00:45.340]  數算神的恩典
[00:00:45.340 --> 00:00:48.420]  並且一起重新扎根的一個日子
[00:00:48.420 --> 00:00:51.860]  這就好像剛才我們讀的經文一樣
[00:00:51.860 --> 00:00:56.380]  我們看見當時以色列人是用歷史為記
[00:00:56.380 --> 00:00:59.060]  作為一種傳承的方式
[00:00:59.060 --> 00:01:01.340]  當以色列人過約旦河的時候
[00:01:01.340 --> 00:01:06.420]  約書就吩咐以色列人每一個支派派一個人
[00:01:06.420 --> 00:01:11.020]  要從約旦河的河底取一塊石頭作為證據
[00:01:11.020 --> 00:01:12.140]  為什麼呢
[00:01:12.140 --> 00:01:15.260]  因為以後以色列的子孫會問說
[00:01:15.260 --> 00:01:18.540]  這石頭是什麼意思
[00:01:18.540 --> 00:01:21.260]  他們就要對他們的子孫來說明
[00:01:21.260 --> 00:01:25.860]  神在以色列人身上所做偉大奇妙的事情
[00:01:26.940 --> 00:01:29.900]  所以傳承就是一個
[00:01:29.900 --> 00:01:32.900]  當我們下一代在問我們
[00:01:32.900 --> 00:01:37.460]  這是什麼意思的一個時刻
[00:01:37.460 --> 00:01:42.020]  幾個禮拜前有兩位兒童部的孩子們
[00:01:42.020 --> 00:01:43.820]  採訪我
[00:01:43.820 --> 00:01:47.660]  其中一個孩子就問我一個問題
[00:01:47.660 --> 00:01:50.940]  他說他每一個禮拜來到教會
[00:01:50.940 --> 00:01:57.060]  就看到外面有個巨大的十字架和地球
[00:01:57.060 --> 00:01:59.900]  那是什麼意思
[00:01:59.900 --> 00:02:02.860]  我忽然間就察覺到
[00:02:02.860 --> 00:02:06.460]  這真是一個傳承的時刻
[00:02:06.460 --> 00:02:08.860]  當我們的下一代在問我們說
[00:02:08.860 --> 00:02:11.380]  這是什麼意思
[00:02:11.380 --> 00:02:15.500]  這就是一個傳承的時刻
[00:02:15.500 --> 00:02:17.580]  特別是在過去二十七年當中
[00:02:17.580 --> 00:02:20.660]  真的好快 生命河已經二十七年了
[00:02:20.660 --> 00:02:24.340]  我們經歷過多少神的神蹟奇事
[00:02:24.340 --> 00:02:28.380]  我們經歷過多少神偉大奇妙的作為
[00:02:28.380 --> 00:02:31.500]  一方面我們真的需要感恩
[00:02:31.500 --> 00:02:33.620]  因為若是我們不感謝
[00:02:33.620 --> 00:02:36.540]  我們就很容易去忘記 不是嗎
[00:02:36.540 --> 00:02:38.060]  所以這提醒你
[00:02:38.060 --> 00:02:41.220]  我們在這個月我們都會有
[00:02:41.220 --> 00:02:44.020]  我們生命和故事這樣一個活動
[00:02:44.020 --> 00:02:46.020]  請大家能夠回去後
[00:02:46.020 --> 00:02:46.700]  現在不要做
[00:02:46.700 --> 00:02:50.700]  回去後到手機的社交APP點擊一下
[00:02:50.700 --> 00:02:52.180]  我的生命和故事
[00:02:52.180 --> 00:02:54.460]  PO一下
[00:02:54.460 --> 00:02:55.820]  真的是我們也為了
[00:02:55.820 --> 00:02:58.780]  我們也在這個生命的河流裡面
[00:02:58.780 --> 00:03:00.740]  曾經被神所觸摸
[00:03:00.740 --> 00:03:02.540]  我們生命被改變
[00:03:02.540 --> 00:03:04.540]  我們的家庭被恢復
[00:03:04.540 --> 00:03:07.300]  PO一下我的生命和故事
[00:03:07.300 --> 00:03:09.580]  來向神獻上感恩
[00:03:09.580 --> 00:03:12.380]  一方面我們需要感謝
[00:03:12.380 --> 00:03:15.340]  但另一方面我們需要傳承
[00:03:15.340 --> 00:03:19.500]  好讓我們的下一代能明白神的法則
[00:03:19.500 --> 00:03:22.140]  明白神的使命跟託付
[00:03:22.140 --> 00:03:25.300]  好讓生命和能夠不斷地永留
[00:03:25.300 --> 00:03:27.900]  今天我們的崇拜無論大小崇拜
[00:03:27.900 --> 00:03:30.100]  我們的信息完全是一樣的
[00:03:30.100 --> 00:03:34.900]  就希望能夠重新說明什麼是生命和
[00:03:34.900 --> 00:03:37.300]  那什麼是生命和呢
[00:03:37.300 --> 00:03:39.580]  在1995年的時候
[00:03:39.580 --> 00:03:43.700]  當我領受神的呼呼召喚開始一個新的教會
[00:03:43.700 --> 00:03:45.740]  我就問神說主啊
[00:03:45.740 --> 00:03:50.580]  祢要我為這個新的教會取名叫什麼呢
[00:03:50.580 --> 00:03:52.860]  主讓我讀到啟示錄第二十二章
[00:03:52.860 --> 00:03:56.020]  第一節到第三節的經文
[00:03:56.020 --> 00:03:59.060]  這裡說天使又指示我在城內街道當中
[00:03:59.060 --> 00:04:01.460]  一道生命水的河
[00:04:01.460 --> 00:04:06.020]  明亮如水晶從神和羔羊的寶座流出來
[00:04:06.020 --> 00:04:09.220]  在河這邊與那邊有生命樹結十二羊的果子
[00:04:09.220 --> 00:04:10.660]  每月都結果子
[00:04:10.660 --> 00:04:13.900]  樹上的葉子乃為一字萬名
[00:04:13.900 --> 00:04:15.700]  以後再也沒有奏主
[00:04:15.700 --> 00:04:18.020]  在城裡有神和羔羊的寶座
[00:04:18.020 --> 00:04:21.940]  他的僕人都要侍奉他
[00:04:21.940 --> 00:04:25.100]  我們看見生命和是什麼
[00:04:25.100 --> 00:04:28.380]  生命和就是一個天上的教會
[00:04:28.380 --> 00:04:31.340]  那是一個榮耀的教會
[00:04:31.340 --> 00:04:34.980]  榮耀不是因為我們人有什麼榮耀
[00:04:34.980 --> 00:04:39.780]  榮耀乃是因為我們今天服侍的是一位榮耀的神
