
[00:00:00.000 --> 00:00:03.340]  這系列我們說什麼呢?我們這系列說盼望
[00:00:03.340 --> 00:00:06.120]  上星期阿松跟我們分享了第一篇
[00:00:06.120 --> 00:00:09.960]  說的是,他鼓勵我們說我們要在黑暗的日子裏面
[00:00:09.960 --> 00:00:13.700]  說的是,要知道上帝仍然是掌權的那個
[00:00:13.700 --> 00:00:17.340]  以致我們可以繼續地去盼望
[00:00:17.340 --> 00:00:22.260]  因為在一些時間,上帝最終會審判那些惡人
[00:00:22.260 --> 00:00:26.880]  而這件事,聖經寫清楚了,說我們終會見到
[00:00:26.880 --> 00:00:30.200]  那今天第二講是說什麼呢?我選擇的經文
[00:00:30.200 --> 00:00:33.580]  是在二塞亞書六十章一至九節
[00:00:33.580 --> 00:00:35.840]  開始前我們祈禱
[00:00:35.840 --> 00:00:38.620]  天父上帝,多謝祢
[00:00:38.620 --> 00:00:41.560]  多謝祢,因為祢的緣故
[00:00:41.560 --> 00:00:44.620]  叫到我們在我們的生命裏面
[00:00:44.620 --> 00:00:46.580]  環境好像很黑暗
[00:00:46.580 --> 00:00:48.660]  但我們仍然有盼望在祢裏面
[00:00:48.660 --> 00:00:51.800]  所以神我求祢,當我們去繼續探討
[00:00:51.800 --> 00:00:53.720]  盼望這件事的時候
[00:00:53.720 --> 00:00:56.960]  願祢的話,去祝福我們,教導我們
[00:00:56.960 --> 00:00:58.960]  去點亮我們
[00:00:58.960 --> 00:01:01.460]  以致我們可以在我們的生命裏面
[00:01:01.460 --> 00:01:03.460]  我們不是人做我做
[00:01:03.460 --> 00:01:06.780]  不是因為聖經說有盼望,所以我就有盼望
[00:01:06.780 --> 00:01:10.680]  乃是,天父祢真的讓我們經歷到,祢的盼望是怎樣
[00:01:10.680 --> 00:01:13.180]  所以神我求祢,祝福我們一班弟兄姊妹
[00:01:13.180 --> 00:01:15.040]  我感謝祢,聽我們祈禱,吐交托
[00:01:15.040 --> 00:01:16.880]  奉耶穌,居得聖名之祈求
[00:01:16.880 --> 00:01:17.660]  Amen
[00:01:17.660 --> 00:01:20.280]  好,我們先讀今天的經文
[00:01:20.280 --> 00:01:22.120]  不是很多,只有九節
[00:01:22.120 --> 00:01:24.880]  今天的經文是二冊,輸六十章,一至九
[00:01:24.880 --> 00:01:26.880]  一至九,走音
[00:01:26.880 --> 00:01:28.880]  真棒
[00:01:28.880 --> 00:01:30.880]  好,下課,麻煩祢
[00:01:30.880 --> 00:01:34.380]  好,由於不分了,我們一起讀吧
[00:01:34.380 --> 00:01:36.380]  好,寫給一,二,三
[00:01:36.380 --> 00:01:40.880]  興起發光,因為祢的光已經來到
[00:01:40.880 --> 00:01:44.380]  耶和華的榮耀,發現照耀祢
[00:01:44.380 --> 00:01:49.620]  看那黑暗遮蓋大地,幽暗遮蓋萬民
[00:01:49.620 --> 00:01:52.880]  耶和華卻要顯現照耀祢
[00:01:52.880 --> 00:01:56.380]  祂的榮耀要驗在祢身上
[00:01:56.380 --> 00:01:59.120]  萬國要來就祢的光
[00:01:59.120 --> 00:02:02.880]  君王要來就祢發現的光輝
[00:02:02.880 --> 00:02:05.880]  祢舉目向四方觀看
[00:02:05.880 --> 00:02:09.380]  眾人都聚集來到祢這裡
[00:02:09.380 --> 00:02:12.380]  祢的眾子從遠方而來
[00:02:12.380 --> 00:02:15.880]  祢的眾女也被懷抱而來
[00:02:15.880 --> 00:02:18.880]  那時祢看見就有光榮
[00:02:18.880 --> 00:02:22.380]  祢心又跳動又歡暢
[00:02:22.380 --> 00:02:27.380]  因為大海豐盛的貨物必轉來歸祢
[00:02:27.380 --> 00:02:31.880]  列國的財寶也必來歸祢
[00:02:31.880 --> 00:02:37.380]  成群的駱駝並未顛和而發的獨豐
[00:02:37.380 --> 00:02:39.380]  陀必遮滿祢
[00:02:39.380 --> 00:02:41.880]  十八的眾人都必來到
[00:02:41.880 --> 00:02:44.880]  要奉上黃金與香
[00:02:44.880 --> 00:02:48.380]  又要傳說耶和華的讚美
[00:02:48.380 --> 00:02:51.880]  基達的羊群都必聚集來
[00:02:51.880 --> 00:02:56.880]  來拜約的公羊要供祢使用
[00:02:56.880 --> 00:02:59.880]  在我壇上必蒙越南
[00:02:59.880 --> 00:03:02.880]  我必榮耀我榮耀的殿
[00:03:02.880 --> 00:03:05.380]  那些飛來如雲
[00:03:05.380 --> 00:03:09.880]  猶如甲子向窗戶飛回的是誰呢?
[00:03:09.880 --> 00:03:12.380]  眾海島必等候我
[00:03:12.380 --> 00:03:15.380]  首先是他師的船隻
[00:03:15.380 --> 00:03:20.880]  將祢的眾子連他們的金銀從遠方一同帶來
[00:03:20.880 --> 00:03:23.880]  都為耶和華理神的名
[00:03:23.880 --> 00:03:26.380]  又為以色列的聖者
[00:03:26.380 --> 00:03:29.380]  因為他已經榮耀祢
[00:03:29.380 --> 00:03:31.380]  好,讀完了
[00:03:31.380 --> 00:03:32.380]  就是這麼多的經文
[00:03:32.380 --> 00:03:35.380]  但讀完好像大家都不知道自己讀過些什麼
[00:03:35.380 --> 00:03:37.880]  開始之先,去到經文之先
[00:03:37.880 --> 00:03:40.380]  我們先一如以往看看背景
[00:03:40.380 --> 00:03:42.380]  如果你仍然有印象
[00:03:42.380 --> 00:03:45.880]  我之前在講《二賽亞書》的訊息都分享過
[00:03:45.880 --> 00:03:50.880]  《二賽亞書》的內容其實包括了很長的以色列人的歷史
[00:03:50.880 --> 00:03:53.380]  而在不同的時段
[00:03:53.380 --> 00:03:56.380]  其實以色列人面對的情況都有些不同
[00:03:56.380 --> 00:04:00.380]  所以我們看看《二賽亞書》的結構是什麼
[00:04:00.380 --> 00:04:05.880]  其實一直以來有三個《二賽亞》
[00:04:05.880 --> 00:04:08.380]  分別是第一、第二、第三《二賽亞》
[00:04:08.380 --> 00:04:13.380]  在不同的章節裡,囊括了不同的時代
[00:04:13.380 --> 00:04:14.880]  即以色列人不同的時段
[00:04:14.880 --> 00:04:20.380]  可能還是由南國侯大仍然存在的時候
[00:04:20.380 --> 00:04:24.880]  接著到第四十到五十五章就已經講到以色列亡國
[00:04:24.880 --> 00:04:28.880]  巴比倫侵佔了以色列的一個階段
[00:04:28.880 --> 00:04:30.880]  擄走了很多以色列人
[00:04:30.880 --> 00:04:33.880]  然後到第五十六章到第六十六章
[00:04:33.880 --> 00:04:36.880]  就已經講到連巴比倫都被滅了
[00:04:36.880 --> 00:04:38.880]  被馬代波斯打倒了
[00:04:38.880 --> 00:04:43.380]  從而馬代波斯的君王就容許一班以色列人
