
[00:00:00.000 --> 00:00:04.000]  請點贊和分享 並且記得訂閱我們的頻道 才能收到最新消息喔^_^
[00:00:30.000 --> 00:00:32.000]  去到紐西蘭之後
[00:00:32.000 --> 00:00:34.000]  竟然有一天
[00:00:34.000 --> 00:00:36.000]  被他見到那幅圖畫
[00:00:36.000 --> 00:00:38.000]  就好像當日
[00:00:38.000 --> 00:00:40.000]  他發夢所見的
[00:00:40.000 --> 00:00:42.000]  場景一樣
[00:00:42.000 --> 00:00:44.000]  他心裏面是充滿感恩
[00:00:44.000 --> 00:00:46.000]  因為證明他去
[00:00:46.000 --> 00:00:48.000]  紐西蘭是神
[00:00:48.000 --> 00:00:50.000]  給他的帶領 是神
[00:00:50.000 --> 00:00:52.000]  對他的引導
[00:00:52.000 --> 00:00:54.000]  因為他移民紐西蘭之後
[00:00:54.000 --> 00:00:56.000]  就只剩他自己一個人
[00:00:56.000 --> 00:00:58.000]  要獨力帶領兩個
[00:00:58.000 --> 00:01:00.000]  很年幼的女兒
[00:01:00.000 --> 00:01:02.000]  在經濟上面
[00:01:02.000 --> 00:01:04.000]  其實是很艱難的
[00:01:04.000 --> 00:01:06.000]  他要找很多的方法
[00:01:06.000 --> 00:01:08.000]  以至有足夠的工業
[00:01:08.000 --> 00:01:10.000]  有一晚
[00:01:10.000 --> 00:01:12.000]  發夢 他就夢見
[00:01:12.000 --> 00:01:14.000]  他的爸爸
[00:01:14.000 --> 00:01:16.000]  他的爸爸那天很磁場
[00:01:16.000 --> 00:01:18.000]  帶著一個很磁場
[00:01:18.000 --> 00:01:20.000]  的笑容
[00:01:20.000 --> 00:01:22.000]  就很愛心地望著他
[00:01:22.000 --> 00:01:24.000]  然後他在袋子裏
[00:01:24.000 --> 00:01:26.000]  一直拿錢
[00:01:26.000 --> 00:01:28.000]  出來 慢慢
[00:01:28.000 --> 00:01:30.000]  慢慢來遞給他
[00:01:30.000 --> 00:01:32.000]  對Jenny來講
[00:01:32.000 --> 00:01:34.000]  是一個很大的
[00:01:34.000 --> 00:01:36.000]  安慰鼓勵
[00:01:36.000 --> 00:01:38.000]  因為當時他在
[00:01:38.000 --> 00:01:40.000]  低谷裏面很大的掙扎
[00:01:40.000 --> 00:01:42.000]  這個證明
[00:01:42.000 --> 00:01:44.000]  神跟他說
[00:01:44.000 --> 00:01:46.000]  我看著你 我會
[00:01:46.000 --> 00:01:48.000]  供應你 我會
[00:01:48.000 --> 00:01:50.000]  等你有充足 當然不是
[00:01:50.000 --> 00:01:52.000]  說他有很多錢
[00:01:52.000 --> 00:01:54.000]  而是帶給他一個很大的激勵
[00:01:54.000 --> 00:01:56.000]  他不需要害怕
[00:01:56.000 --> 00:01:58.000]  因為神會看著
[00:01:58.000 --> 00:02:00.000]  神會幫助他
[00:02:00.000 --> 00:02:02.000]  能夠救用
[00:02:02.000 --> 00:02:04.000]  各位弟兄姊妹 原來夢
[00:02:04.000 --> 00:02:06.000]  有很多時候就是神
[00:02:06.000 --> 00:02:08.000]  向我們講說話
[00:02:08.000 --> 00:02:10.000]  你知不知道
[00:02:10.000 --> 00:02:12.000]  在《律法書》裏面
[00:02:12.000 --> 00:02:14.000]  一共有十個夢呢
[00:02:14.000 --> 00:02:16.000]  可能你覺得很奇
[00:02:16.000 --> 00:02:18.000]  律法書
[00:02:18.000 --> 00:02:20.000]  都會有夢的嗎
[00:02:20.000 --> 00:02:22.000]  大家都知道
[00:02:22.000 --> 00:02:24.000]  希伯來人就叫
[00:02:24.000 --> 00:02:26.000]  《聖經》做
[00:02:26.000 --> 00:02:28.000]  《Torah》 就是《律法書》
[00:02:28.000 --> 00:02:30.000]  當然《律法書》很合則
[00:02:30.000 --> 00:02:32.000]  可以是指
[00:02:32.000 --> 00:02:34.000]  《摩西五經》
[00:02:34.000 --> 00:02:36.000]  就是舊約頭那五卷書
[00:02:36.000 --> 00:02:38.000]  就叫做《律法書》
[00:02:38.000 --> 00:02:40.000]  《律法書》給人一種
[00:02:40.000 --> 00:02:42.000]  印象就是神
[00:02:42.000 --> 00:02:44.000]  頒布很多的命令
[00:02:44.000 --> 00:02:46.000]  神將他的心意向人顯明
[00:02:46.000 --> 00:02:48.000]  原來在《律法書》裏面
[00:02:48.000 --> 00:02:50.000]  一共有十個
[00:02:50.000 --> 00:02:52.000]  夢這麼多
[00:02:52.000 --> 00:02:54.000]  其實當我一會講這十個夢的時候
[00:02:54.000 --> 00:02:56.000]  你會說 哦
[00:02:56.000 --> 00:02:58.000]  原來我都知道
[00:02:58.000 --> 00:03:00.000]  因為這十個夢
[00:03:00.000 --> 00:03:02.000]  都記在《創世記》裏面
[00:03:02.000 --> 00:03:04.000]  原來
[00:03:04.000 --> 00:03:06.000]  就是神透過夢
[00:03:06.000 --> 00:03:08.000]  要向他的選民
[00:03:08.000 --> 00:03:10.000]  要向他所
[00:03:10.000 --> 00:03:12.000]  揀選的列祖
[00:03:12.000 --> 00:03:14.000]  來講說話
[00:03:14.000 --> 00:03:16.000]  很出名的
[00:03:16.000 --> 00:03:18.000]  就是雅各
[00:03:18.000 --> 00:03:20.000]  做了兩個夢
[00:03:20.000 --> 00:03:22.000]  第一個夢
[00:03:22.000 --> 00:03:24.000]  我們叫做天梯的夢
[00:03:24.000 --> 00:03:26.000]  就記載在
[00:03:26.000 --> 00:03:28.000]  《創世記》二十八章
[00:03:28.000 --> 00:03:30.000]  十一到三
[00:03:30.000 --> 00:03:32.000]  十一到二十二節那裏說
[00:03:32.000 --> 00:03:34.000]  有一晚
[00:03:34.000 --> 00:03:36.000]  雅各
[00:03:36.000 --> 00:03:38.000]  他離開了家庭
[00:03:38.000 --> 00:03:40.000]  在曠野那裏
[00:03:40.000 --> 00:03:42.000]  露宿
[00:03:42.000 --> 00:03:44.000]  當他睡覺的時候
[00:03:44.000 --> 00:03:46.000]  晚上他發夢
[00:03:46.000 --> 00:03:48.000]  天梯
[00:03:48.000 --> 00:03:50.000]  一條天梯一路很高
[00:03:50.000 --> 00:03:52.000]  是通到天上面的
[00:03:52.000 --> 00:03:54.000]  然後有神的使者
[00:03:54.000 --> 00:03:56.000]  在上面上去下來
[00:03:56.000 --> 00:03:58.000]  哇 那他就很感動
[00:03:58.000 --> 00:04:00.000]  因為他見到
[00:04:00.000 --> 00:04:02.000]  天開了
[00:04:02.000 --> 00:04:04.000]  所以第二天起床
[00:04:04.000 --> 00:04:06.000]  他就很感動
[00:04:06.000 --> 00:04:08.000]  他就將那個地方
[00:04:08.000 --> 00:04:10.000]  立一根柱子
[00:04:10.000 --> 00:04:12.000]  而且繞上遊
[00:04:12.000 --> 00:04:14.000]  就將那個地方改名
[00:04:14.000 --> 00:04:16.000]  做伯特利
[00:04:16.000 --> 00:04:18.000]  原來伯特利就是
[00:04:18.000 --> 00:04:20.000]  神的殿的意思
[00:04:20.000 --> 00:04:22.000]  於是神就應許
[00:04:22.000 --> 00:04:24.000]  雅各
