
[00:00:00.000 --> 00:00:04.000]  大家好,請我們一同有個禱告
[00:00:04.000 --> 00:00:09.000]  天父,我們求祢自己的話,開啟我們的心
[00:00:09.000 --> 00:00:15.000]  特別是當我們想到自己的生命如何建造的時候
[00:00:15.000 --> 00:00:21.000]  祢讓我們有啟迪,幫助我們,讓聖靈改變我們
[00:00:21.000 --> 00:00:23.500]  讓我們實踐祢自己的話
[00:00:23.500 --> 00:00:27.000]  我們這樣祈禱,奉主耶穌基督的名,阿門
[00:00:28.500 --> 00:00:31.000]  當一個人信了耶穌基督
[00:00:31.000 --> 00:00:35.000]  他就會跟從神的話去做事
[00:00:35.000 --> 00:00:39.000]  學習神的話,然後進行出來
[00:00:39.000 --> 00:00:44.000]  大家聽過一個名詞叫門徒
[00:00:44.000 --> 00:00:50.000]  門徒意思是學習,學生,學習神的道理去走出來
[00:00:50.000 --> 00:00:52.000]  我想問大家一個問題
[00:00:52.000 --> 00:00:58.000]  是不是每一個跟隨主的人,一個信徒,都是一個門徒呢?
[00:00:58.000 --> 00:01:02.000]  有些人點頭
[00:01:02.000 --> 00:01:08.000]  我的理解,根據我自己的聖經理解
[00:01:08.000 --> 00:01:13.000]  所有信徒都應該是一個門徒
[00:01:13.000 --> 00:01:17.000]  因為我們願意跟隨神的話,要學習
[00:01:17.000 --> 00:01:22.000]  但是在現實生活裡面,我們發覺兩樣東西未必一樣
[00:01:22.000 --> 00:01:29.000]  有一位聖經學者William Barkey,他很憂慮
[00:01:29.000 --> 00:01:35.000]  教會裡面的觀念好像不太實際
[00:01:35.000 --> 00:01:37.000]  他就發了幾個問題
[00:01:37.000 --> 00:01:39.000]  他發了一個問題說
[00:01:39.000 --> 00:01:45.000]  有沒有可能一個跟隨主的人不是一個門徒呢?
[00:01:45.000 --> 00:01:52.000]  你怎麼回答他?有沒有可能?
[00:01:52.000 --> 00:01:55.000]  有些人點頭,有些人不點頭
[00:01:55.000 --> 00:01:58.000]  這個問題我們繼續探討
