
[00:00:00.000 --> 00:00:09.000]  新主感謝祢,因為是祢的歡和吸引,讓我們在聖主的清晨,在殿裏面一齊敬拜祢。
[00:00:09.000 --> 00:00:13.000]  讓上主祢教導我們以心靈和誠實去敬拜祢。
[00:00:13.000 --> 00:00:19.000]  更加讓聖靈內在我們的心裏面,似我們悟性,能夠明白你懷疑中的奧秘。
[00:00:19.000 --> 00:00:23.000]  永遠聽的和講的都同蒙祢的月立。
[00:00:23.000 --> 00:00:25.000]  祈禱奉主耶穌基督的名求。
[00:00:25.000 --> 00:00:39.000]  最近在網上看到一位爸爸的心聲,
[00:00:39.000 --> 00:00:46.000]  不知道是不是這樣,對於新手爸爸,壓力可能來自經濟。
[00:00:46.000 --> 00:00:48.000]  要問一問陳瑩是不是。
[00:00:48.000 --> 00:00:55.000]  不過其實不止多餐快那麼簡單,所以做爸爸會在工作裏面很努力,
[00:00:55.000 --> 00:01:02.000]  希望給他的妻子和孩子一個很安穩的家,不需要再為經濟擔憂。
[00:01:02.000 --> 00:01:08.000]  這個爸爸也不例外,因為他的生意遍佈香港內地和澳門,
[00:01:08.000 --> 00:01:14.000]  所以經常出差不在香港,就算在香港的話,都因為他的小朋友還很小,
[00:01:14.000 --> 00:01:18.000]  還是嬰兒的階段,好像一段粉團一樣。
[00:01:18.000 --> 00:01:21.000]  所以照顧小朋友,對他來說難不倒他,
[00:01:21.000 --> 00:01:26.000]  一邊餵奶,一邊換尿片,一邊處理公事都毫無問題。
[00:01:26.000 --> 00:01:30.000]  直至女兒懂得說話,會問:
[00:01:30.000 --> 00:01:34.000]  「明天放假,爸爸,你有空跟我玩嗎?」
[00:01:34.000 --> 00:01:37.000]  「你放下電話跟我玩吧。」
[00:01:37.000 --> 00:01:42.000]  這些是女兒的說話,就將她的心拉回家了。
[00:01:42.000 --> 00:01:48.000]  這位爸爸說,當他的女兒躺在胸膛上的時候,
[00:01:48.000 --> 00:01:52.000]  就有跟女朋友,也就是他的太太,
[00:01:52.000 --> 00:01:57.000]  躺在草地上一起談心的初戀的感覺。
[00:01:57.000 --> 00:02:03.000]  難怪有人說,女兒是父親的時差情人。
[00:02:03.000 --> 00:02:07.000]  每每想到這個地方,他就說:
[00:02:07.000 --> 00:02:11.000]  「我真的捨不得我的女兒長大了。」
[00:02:11.000 --> 00:02:16.000]  今日為大家選理經文,相信很多大英姐妹都很熟悉。
[00:02:16.000 --> 00:02:20.000]  亦都講到孩子和父母的相處。
[00:02:20.000 --> 00:02:24.000]  聖經對耶穌的成長著墨並不多,
[00:02:24.000 --> 00:02:26.000]  記載亦都不算多。
[00:02:26.000 --> 00:02:31.000]  只見到他初生時逃亡的經驗,
[00:02:31.000 --> 00:02:34.000]  想聖典走過來,然後一跳,
[00:02:34.000 --> 00:02:39.000]  我們就見到今日的經文,已經是十二歲的耶穌了。
[00:02:39.000 --> 00:02:44.000]  所以跳的時候,我們已經見到成年出來傳道的耶穌。
[00:02:44.000 --> 00:02:50.000]  今日經文提到耶穌和他的父母上聖殿的一段經歷。
[00:02:50.000 --> 00:02:55.000]  佛規定每一個猶太的男子都應該在三個節期,
[00:02:55.000 --> 00:02:56.000]  這三個節期包括:
[00:02:56.000 --> 00:02:59.000]  乳節、收穫節和住棚節,
[00:02:59.000 --> 00:03:04.000]  去到耶路撒冷過節,去敬拜耶和華。
[00:03:04.000 --> 00:03:07.000]  在耶穌的年代,住得比較遠的猶太人,
[00:03:07.000 --> 00:03:12.000]  通常都只會在乳節才去耶路撒冷過節。
[00:03:12.000 --> 00:03:16.000]  所以在這個節日,耶路撒冷城會比較人多,
[00:03:16.000 --> 00:03:21.000]  大約有十萬人會湧入只有五萬人聚居的聖城。
[00:03:21.000 --> 00:03:23.000]  情況有點像我們看電視,
[00:03:23.000 --> 00:03:29.000]  現在我們見到伊斯蘭教徒每年去到墨家朝聖般的虛銜。
[00:03:29.000 --> 00:03:32.000]  律法並沒有規定守節的年齡,
[00:03:32.000 --> 00:03:39.000]  不過猶太人習慣以十三歲的男孩子成為納日之子的年期,
[00:03:39.000 --> 00:03:41.000]  開始上耶路撒冷守節。
[00:03:41.000 --> 00:03:47.000]  有些父母會擔心小朋友未能夠很快適應宗教的規定,
[00:03:47.000 --> 00:03:53.000]  所以會預早帶孩子去耶路撒冷適應。
[00:03:53.000 --> 00:03:57.000]  約瑟和瑪利亞都有這個安排,
[00:03:57.000 --> 00:04:02.000]  所以耶穌在十二歲的時候就跟隨他的父母上聖殿,
[00:04:02.000 --> 00:04:06.000]  學習去適應將要進行的宗教禮儀。
[00:04:06.000 --> 00:04:09.000]  當時的人因為長路不善來到聖城,
[00:04:09.000 --> 00:04:13.000]  很多強盜,所以他們通常都會結伴同行,
[00:04:13.000 --> 00:04:19.000]  通常婦孺會走在男人的前面,
[00:04:19.000 --> 00:04:23.000]  所以家人通常會分散在不同的群體裡走,
[00:04:23.000 --> 00:04:28.000]  直到到達指定的地點才會再相聚。
[00:04:28.000 --> 00:04:31.000]  瑪利亞有可能以為耶穌跟隨著約瑟,
[00:04:31.000 --> 00:04:34.000]  約瑟又以為耶穌跟隨著瑪利亞,
[00:04:34.000 --> 00:04:36.000]  或者他們兩個人都會覺得,
[00:04:36.000 --> 00:04:40.000]  耶穌都這麼大個人,可能會跟隨著親戚朋友,
[00:04:40.000 --> 00:04:43.000]  都十二歲了,都不會跟隨父母,
[00:04:43.000 --> 00:04:46.000]  難道被人說自己是裙腳仔嗎?
[00:04:46.000 --> 00:04:50.000]  所以少年人通常都會跟他的朋友結伴同行,
[00:04:50.000 --> 00:04:53.000]  但瑪利亞和約瑟根本不知道,
[00:04:53.000 --> 00:04:58.000]  也沒有想過耶穌還留在耶路撒冷。
