
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹,聖誕節快樂!
[00:00:03.000 --> 00:00:10.000]  在聖誕節裏面,可以說是一個普天同慶的大日子
[00:00:10.000 --> 00:00:14.000]  很多的佈置,很多的燈飾,很早就預備好
[00:00:14.000 --> 00:00:18.000]  很多的酒店,很多的餐廳,預備很多的美食
[00:00:18.000 --> 00:00:21.000]  希望能夠吸引很多很多的人
[00:00:21.000 --> 00:00:25.000]  聖誕節可以說是一個滿城,充滿著歡喜快樂的日子
[00:00:25.000 --> 00:00:29.000]  在這個快樂的日子裏面,讓我們藉著這段經文
[00:00:29.000 --> 00:00:35.000]  我們一起去反思聖誕節的生命給我們的一些體會
[00:00:35.000 --> 00:00:38.000]  讓我們打開今天讀的經文,好嗎?
[00:00:38.000 --> 00:00:46.000]  在大家的新約聖經第78頁,路加福音第二章一至到第20節
[00:00:46.000 --> 00:00:52.000]  在大家的新約聖經第78頁
[00:00:56.000 --> 00:01:02.000]  找到的時候,讓我們一起讀出第8節至到第14節,好嗎?
[00:01:02.000 --> 00:01:08.000]  路加福音第二章第8節至到第14節,讓我們一起讀出
[00:01:08.000 --> 00:01:16.000]  在百里行之野地裏,有牧羊的人在夜間按著羹刺看守羊群
[00:01:16.000 --> 00:01:23.000]  有主的使者站在他們旁邊,主的榮光四面照著他們
[00:01:23.000 --> 00:01:28.000]  牧羊的人就甚懼怕,那天使對他們說
[00:01:28.000 --> 00:01:34.000]  不要懼怕,我報給你們大喜的信息,是關乎萬民的
[00:01:34.000 --> 00:01:41.000]  因今天在大圍的城裏,為你們生了救主,就是主基督
[00:01:41.000 --> 00:01:49.000]  因你們看見一個嬰孩,包著布臥在馬槽裏,那就是記號了
[00:01:49.000 --> 00:01:54.000]  忽然有一大隊天兵和那天使讚美神說
[00:01:54.000 --> 00:02:03.000]  在至高之處榮耀歸於神,在平安歸於他所喜悅的人
[00:02:03.000 --> 00:02:08.000]  讓我們同心低頭地禱告,就在這個歡喜法律的日子裏
[00:02:08.000 --> 00:02:16.000]  讓我們不單止高歌地來頌揚你,我們來到你面前用心靈和誠實去讚美你
