
[00:00:00.000 --> 00:00:02.640]  今日的講題是「問問你是誰」
[00:00:02.640 --> 00:00:03.480]  我剛才說過了
[00:00:03.480 --> 00:00:05.160]  講身份
[00:00:05.160 --> 00:00:06.560]  基督徒的身份
[00:00:06.560 --> 00:00:09.040]  對我們今天
[00:00:09.040 --> 00:00:10.880]  無論是心靈健康
[00:00:10.880 --> 00:00:13.760]  和面對著目前的困難挑戰
[00:00:13.760 --> 00:00:16.720]  有什麼的提醒、幫助
[00:00:16.720 --> 00:00:18.600]  或者一些反思呢
[00:00:18.600 --> 00:00:20.440]  我們一起看下去
[00:00:20.440 --> 00:00:25.080]  今天講的就是比勒前書第二章四到十節
[00:00:25.080 --> 00:00:26.960]  四、五、六、七、八、九、十
[00:00:26.960 --> 00:00:27.840]  七節的經文而已
[00:00:27.840 --> 00:00:28.760]  不是很多
[00:00:28.760 --> 00:00:31.120]  我們一起讀完,好嗎?
[00:00:31.120 --> 00:00:32.720]  字體小一點
[00:00:32.720 --> 00:00:34.320]  不過我猜你應該沒問題的
[00:00:34.320 --> 00:00:36.440]  看你的眼睛這麼精靈就知道了
[00:00:36.440 --> 00:00:37.400]  我們一起讀完,好嗎?
[00:00:37.400 --> 00:00:38.080]  預備
[00:00:38.080 --> 00:00:39.560]  一、二、三
[00:00:39.560 --> 00:00:40.920]  主乃活石
[00:00:40.920 --> 00:00:43.240]  固然是被人所棄的
[00:00:43.240 --> 00:00:47.160]  卻是被神所揀選所寶貴的
[00:00:47.160 --> 00:00:49.000]  你們來到主面前
[00:00:49.000 --> 00:00:50.800]  也就像活石
[00:00:50.800 --> 00:00:53.040]  被建造成為靈宮
[00:00:53.040 --> 00:00:55.000]  作聖傑的祭祀
[00:00:55.000 --> 00:00:59.000]  藉著耶穌基督奉獻神所閲納的靈祭
[00:00:59.000 --> 00:01:00.520]  因為經上說
[00:01:00.520 --> 00:01:03.680]  「看!我把所揀選所寶貴的
[00:01:03.680 --> 00:01:06.560]  房角石安放在石安
[00:01:06.560 --> 00:01:10.080]  信靠他的人必不至於羞愧
[00:01:10.080 --> 00:01:14.160]  所以他在你們信的人就為寶貴
[00:01:14.160 --> 00:01:16.720]  在那不信的人有話說
[00:01:16.720 --> 00:01:21.720]  像人所棄的石頭已作了房角的頭塊石頭
[00:01:21.720 --> 00:01:26.400]  又說作了半腳的石頭跌人的盆石
[00:01:26.400 --> 00:01:27.920]  他們既不信從
[00:01:27.920 --> 00:01:30.120]  就在道理上叛跌
