
[00:00:00.000 --> 00:00:01.520]  持夢主三十多年當中
[00:00:01.520 --> 00:00:03.760]  的而且確在不同的時段
[00:00:03.760 --> 00:00:06.120]  都有不同的生命的經歷
[00:00:06.120 --> 00:00:08.800]  當然今天的時間我沒有可能講完
[00:00:08.800 --> 00:00:09.880]  我今天只是講
[00:00:09.880 --> 00:00:12.040]  和今天的題目有關係的
[00:00:12.040 --> 00:00:13.640]  一種經歷
[00:00:13.640 --> 00:00:15.840]  就是禁食禱告
[00:00:15.840 --> 00:00:16.960]  其實在十年前
[00:00:16.960 --> 00:00:19.080]  我是第一次被邀請
[00:00:19.080 --> 00:00:22.040]  去到韓國的一個祈禱山
[00:00:22.040 --> 00:00:24.120]  去在一個訪韓盛會當中
[00:00:24.120 --> 00:00:25.360]  成為一個講員
[00:00:25.360 --> 00:00:26.000]  對我來說
[00:00:26.000 --> 00:00:27.560]  我從來沒有去過韓國
[00:00:27.560 --> 00:00:30.400]  也從來沒有去過韓國的祈禱山
[00:00:30.400 --> 00:00:32.480]  當他們邀請我的時候
[00:00:32.480 --> 00:00:34.520]  我當然帶著一個戰驚的心
[00:00:34.520 --> 00:00:35.880]  去到一個地方
[00:00:35.880 --> 00:00:37.080]  一個陌生的地方
[00:00:37.080 --> 00:00:40.160]  來將上帝的說話宣講
[00:00:40.160 --> 00:00:41.240]  我第一次去到的時候
[00:00:41.240 --> 00:00:43.920]  其實我沒有什麼特別的期望
[00:00:43.920 --> 00:00:45.680]  也沒有什麼特別的感覺
[00:00:45.680 --> 00:00:47.280]  即是初初去之前
[00:00:47.280 --> 00:00:48.720]  但反而去完之後
[00:00:48.720 --> 00:00:51.880]  我心裏面有一個很大的感受
[00:00:51.880 --> 00:00:53.160]  這個感受包括幾方面
[00:00:53.160 --> 00:00:53.720]  第一
[00:00:53.720 --> 00:00:55.480]  我見到幾千人的聚會
[00:00:55.480 --> 00:00:57.200]  差不多四五千人的聚會
[00:00:57.200 --> 00:00:59.680]  他們其實在山上
[00:00:59.680 --> 00:01:02.880]  他們的生活其實是很簡單
[00:01:02.880 --> 00:01:04.120]  簡單到一個地步
[00:01:04.120 --> 00:01:07.840]  他們有些房間要睡幾百人
[00:01:07.840 --> 00:01:08.920]  即是幾百人的房間
[00:01:08.920 --> 00:01:10.160]  當然不是睡床
[00:01:10.160 --> 00:01:11.400]  是睡地上的
[00:01:11.400 --> 00:01:13.440]  即是幾百人睡在地上
[00:01:13.440 --> 00:01:14.800]  三晚的時間
[00:01:14.800 --> 00:01:17.960]  第二就是他們要七餐的食
[00:01:17.960 --> 00:01:20.440]  要不吃東西七餐
[00:01:20.440 --> 00:01:22.600]  然後去祈禱去聽道
[00:01:22.600 --> 00:01:25.440]  更加令到我更大的感受
[00:01:25.440 --> 00:01:28.120]  他們要給七千多元去七餐禁食
[00:01:28.120 --> 00:01:28.960]  要睡地下
[00:01:28.960 --> 00:01:30.440]  我開始不太明白
[00:01:30.440 --> 00:01:31.560]  我真的完全不明白
[00:01:31.560 --> 00:01:34.280]  但當然事後他們會去吃人參雞
[00:01:34.280 --> 00:01:35.360]  又或者牛肉
[00:01:35.360 --> 00:01:37.160]  這個是事後的事
[00:01:37.160 --> 00:01:38.400]  但我都不太明白
[00:01:38.400 --> 00:01:42.240]  給幾千元去到那邊睡地下
[00:01:42.240 --> 00:01:43.080]  有幾百元睡地下
[00:01:43.080 --> 00:01:44.720]  然後七餐禁食
[00:01:44.720 --> 00:01:46.560]  第一次我去到
[00:01:46.560 --> 00:01:48.240]  講道我只是覺得很特別
[00:01:48.240 --> 00:01:50.160]  一個感受很特別
[00:01:50.160 --> 00:01:51.680]  到我第二年再去
[00:01:51.680 --> 00:01:53.320]  其實第二年我是沒有這樣過去
[00:01:53.320 --> 00:01:55.760]  結果我去了第二年又去講道
[00:01:55.760 --> 00:01:57.760]  但今次我去講道我就決定了
[00:01:57.760 --> 00:02:01.280]  我說不單止自己去講道
[00:02:01.280 --> 00:02:03.440]  甚至我都是去試一下
[00:02:03.440 --> 00:02:06.000]  操練一下自己去禁食祈禱
[00:02:06.000 --> 00:02:08.080]  雖然我不能夠和他們一起
[00:02:08.080 --> 00:02:11.160]  有三天的時間去操練七餐禁食
[00:02:11.160 --> 00:02:11.960]  但我自己都覺得
[00:02:11.960 --> 00:02:14.440]  我一定要操練禁食祈禱
[00:02:14.440 --> 00:02:16.480]  早上四五時起床去神庚
[00:02:16.480 --> 00:02:17.720]  和他們一起去敬拜
[00:02:17.720 --> 00:02:19.640]  我都覺得這是一個操練
[00:02:19.640 --> 00:02:22.000]  對我來說是一個很特別的操練
[00:02:22.000 --> 00:02:24.040]  因為在那天之前
[00:02:24.040 --> 00:02:25.760]  其實我對禁食祈禱
[00:02:25.760 --> 00:02:27.320]  並不是很大的感覺
[00:02:27.320 --> 00:02:29.880]  我覺得有什麼需要禁食祈禱
[00:02:29.880 --> 00:02:31.400]  禁食祈禱難道祈禱贏什麼
[00:02:31.400 --> 00:02:33.040]  我們會這樣
[00:02:33.040 --> 00:02:35.080]  所以我不是很大的感覺
[00:02:35.080 --> 00:02:37.360]  但第二次去韓國
[00:02:37.360 --> 00:02:39.640]  我決定我一定要試一下
[00:02:39.640 --> 00:02:40.520]  去操練
[00:02:40.520 --> 00:02:41.880]  早上四五時起床
[00:02:41.880 --> 00:02:43.120]  五六時去神庚
[00:02:43.120 --> 00:02:45.160]  和他們一起去敬拜
[00:02:45.160 --> 00:02:49.720]  當然第二次禁食祈禱的訪韓盛會
[00:02:49.720 --> 00:02:53.440]  其實對我自己的生命有很大的提醒
[00:02:53.440 --> 00:02:56.200]  對我自己的生命有很大的鼓勵
[00:02:56.200 --> 00:02:58.280]  當然我一會兒在講道會講
[00:02:58.280 --> 00:03:01.040]  但今天我的講道就是禁食禱告
[00:03:01.040 --> 00:03:02.520]  或許我們很多時候
[00:03:02.520 --> 00:03:03.920]  都可能和我一樣
[00:03:03.920 --> 00:03:05.240]  有這樣的觀感
[00:03:05.240 --> 00:03:07.080]  為什麼要禁食祈禱
[00:03:07.080 --> 00:03:10.200]  其實禁食祈禱都不是很特別
[00:03:10.200 --> 00:03:12.000]  不一定是比較熟悉
[00:03:12.000 --> 00:03:13.560]  甚至很多人會問我
[00:03:13.560 --> 00:03:16.520]  為什麼要去到韓國祈禱山
[00:03:16.520 --> 00:03:19.680]  去參加禁食祈禱
[00:03:19.680 --> 00:03:20.720]  香港不行嗎
[00:03:20.720 --> 00:03:22.000]  香港也有祈禱山
