
[00:00:00.000 --> 00:00:04.880]  今天是我們講到「生之謎」的第四講
[00:00:04.880 --> 00:00:07.440]  有些觀眾會問為何用「知」字
[00:00:07.440 --> 00:00:08.720]  好像日本字一樣
[00:00:08.720 --> 00:00:10.720]  這是特別要請大家注意的
[00:00:10.720 --> 00:00:13.760]  讓大家不要明白「生之謎」
[00:00:13.760 --> 00:00:19.760]  今天我們講到人死後去哪裏
[00:00:19.760 --> 00:00:21.840]  人死後有甚麼歸宿
[00:00:21.840 --> 00:00:25.680]  其實古今哲學家都在想三個問題
[00:00:25.680 --> 00:00:27.680]  第一個問題是我們從哪裏來
[00:00:27.680 --> 00:00:29.680]  第二個問題是我們去哪裏
[00:00:29.680 --> 00:00:32.000]  第三個問題是我們在這裏做甚麼
[00:00:32.000 --> 00:00:34.000]  很簡單 三個問題
[00:00:34.000 --> 00:00:36.160]  所以要你喜歡看哲學書
[00:00:36.160 --> 00:00:39.280]  你將它分成三大問題就明白了
[00:00:39.280 --> 00:00:40.560]  人是從哪裏來的
[00:00:40.560 --> 00:00:42.000]  人要去哪裏呢
[00:00:42.000 --> 00:00:44.320]  究竟我們在這個世界上做甚麼呢
[00:00:44.320 --> 00:00:45.200]  三個問題
[00:00:45.200 --> 00:00:48.000]  不過今天我們想解答第二個問題
[00:00:48.000 --> 00:00:50.480]  我們人死後去哪裏
[00:00:50.480 --> 00:00:52.480]  人的歸宿在哪裏呢
[00:00:52.480 --> 00:00:57.040]  現在我們知道很多健康的講座
[00:00:57.040 --> 00:00:58.320]  很多健康的食物
[00:00:58.320 --> 00:01:00.320]  是想長壽一點的
[00:01:00.320 --> 00:01:05.040]  我相信大家會點文都不會例外的
[00:01:05.040 --> 00:01:06.800]  如果你到了上一年多
[00:01:06.800 --> 00:01:09.600]  你發覺你的朋友一聊天的時候
[00:01:09.600 --> 00:01:11.600]  都是講到健康的問題
[00:01:11.600 --> 00:01:14.400]  或者你中間二、三十歲的弟兄姊妹就不明白了
