
[00:00:00.000 --> 00:00:02.460]  領受神的話語之先
[00:00:30.000 --> 00:00:33.600]  如果射燈壞了 三盞燈射未開
[00:00:33.600 --> 00:00:35.100]  我的臉已經很黑了
[00:00:35.100 --> 00:00:36.100]  我怕別人看到
[00:00:36.100 --> 00:00:37.100]  要檢查一下
[00:00:37.100 --> 00:00:38.100]  如果未開就開
[00:00:38.100 --> 00:00:39.300]  如果壞了就要去修理
[00:00:39.300 --> 00:00:41.100]  我不知道壞了多久
[00:00:41.100 --> 00:00:42.100]  OK
[00:00:42.100 --> 00:00:43.600]  今年是陽年
[00:00:43.600 --> 00:00:45.100]  在陽年的時候
[00:00:45.100 --> 00:00:49.100]  我不知道大家有沒有收到不同的人送給你一些祝賀
[00:00:49.100 --> 00:00:51.100]  有一張這樣的圖片
[00:00:51.100 --> 00:00:52.100]  我不知道有沒有人有收過
[00:00:52.100 --> 00:00:53.600]  請你收過請你舉手
[00:00:53.600 --> 00:00:55.600]  有不少人都收過這些
[00:00:55.600 --> 00:00:56.600]  都挺好的
[00:00:56.600 --> 00:00:58.600]  還有一句金句出來的
[00:00:58.600 --> 00:01:01.100]  金句就是我的羊聽我的聲音
[00:01:01.100 --> 00:01:02.100]  我也認識牠們
[00:01:02.100 --> 00:01:04.100]  牠們也跟著我
[00:01:04.100 --> 00:01:05.100]  OK
[00:01:05.100 --> 00:01:09.100]  我不知道你有沒有帶去將這幅這麼好的圖畫
[00:01:09.100 --> 00:01:11.100]  有一隻羊的圖畫
[00:01:11.100 --> 00:01:13.100]  然後又傳給其他人
[00:01:13.100 --> 00:01:15.600]  但是如果你再留心看的時候
[00:01:15.600 --> 00:01:17.600]  這幅畫裡面似乎有些玄機
[00:01:17.600 --> 00:01:19.600]  裡面有很多八卦
[00:01:19.600 --> 00:01:23.600]  還有就是有一個蓮花
[00:01:23.600 --> 00:01:28.100]  如果我們知道八卦就是道家他們的一個標記
[00:01:28.100 --> 00:01:31.100]  蓮花是佛教裡面的標記
[00:01:31.100 --> 00:01:34.600]  但是這個表面是基督教裡面的一個祝賀
[00:01:34.600 --> 00:01:40.100]  但是卻是藏集了兩種宗教的標記在當中
[00:01:40.100 --> 00:01:43.100]  就好像十字架是我們的標記一樣
[00:01:43.100 --> 00:01:45.100]  但是有時候我們不是很清楚的時候
[00:01:45.100 --> 00:01:46.600]  甚至是出於愛心
[00:01:46.600 --> 00:01:49.100]  於是我們很快就會傳了出去
[00:01:49.100 --> 00:01:51.100]  就好像這個星期
[00:01:51.100 --> 00:01:53.100]  你會收到青衣
[00:01:53.100 --> 00:01:54.100]  嘩
[00:01:54.100 --> 00:01:55.100]  很危險
[00:01:55.100 --> 00:01:57.100]  香港有沙士了
[00:01:57.100 --> 00:01:59.100]  我不知道有多少人收到
[00:01:59.100 --> 00:02:00.100]  看看有多少人收到青衣
[00:02:00.100 --> 00:02:01.100]  舉手吧
[00:02:01.100 --> 00:02:02.100]  如果報道會是這樣的時候
[00:02:02.100 --> 00:02:04.100]  我現在這樣
[00:02:04.100 --> 00:02:06.100]  這裡超過90%的人都收到
[00:02:06.100 --> 00:02:07.100]  是不是
[00:02:07.100 --> 00:02:08.100]  好,我再想問一問
[00:02:08.100 --> 00:02:11.100]  有哪些人都將這個信息傳了出去
[00:02:11.100 --> 00:02:12.100]  請你舉手
[00:02:12.100 --> 00:02:14.100]  傳了也不怕舉
[00:02:14.100 --> 00:02:16.100]  我們都很有愛心
[00:02:16.100 --> 00:02:17.100]  這表示你有愛心的人
[00:02:17.100 --> 00:02:20.100]  你一定是傳給你熟悉的人
