
[00:00:00.000 --> 00:00:02.000]  我們雞頭來講講
[00:00:02.000 --> 00:00:04.000]  親愛的主我們再次來到你面前
[00:00:04.000 --> 00:00:06.000]  求你來幫助我們
[00:00:06.000 --> 00:00:08.000]  我們聚集是要來敬拜你
[00:00:08.000 --> 00:00:11.000]  我們聚集是要來明白你的心意
[00:00:11.000 --> 00:00:14.000]  我們聚集就是要來到你面前
[00:00:14.000 --> 00:00:17.000]  讓真理的話進入我們的心中
[00:00:17.000 --> 00:00:20.000]  因此我們懇求你聖靈來幫助我們
[00:00:20.000 --> 00:00:23.000]  帶我們進入真理的啟示智慧跟能力裡面
[00:00:23.000 --> 00:00:26.000]  主啊我們求你恩代幫助我們
[00:00:26.000 --> 00:00:30.000]  當我們日子有重擔 當我們日子有困難
[00:00:30.000 --> 00:00:32.000]  主啊讓我們可以在你面前
[00:00:32.000 --> 00:00:35.000]  藉在實價的面前
[00:00:35.000 --> 00:00:37.000]  主 以致我們就重新得力
[00:00:37.000 --> 00:00:39.000]  親愛的主 請你早晨
[00:00:39.000 --> 00:00:42.000]  向我們的心 向我們靈來說話
[00:00:42.000 --> 00:00:45.000]  讚美主 奉耶穌基督的名道 告
[00:00:45.000 --> 00:00:46.000]  Amen
[00:00:46.000 --> 00:00:49.000]  Hallelujah
[00:00:49.000 --> 00:00:50.000]  大家各位很厲害
[00:00:50.000 --> 00:00:52.000]  其實我今天要跟大家來分享
[00:00:52.000 --> 00:00:55.000]  在舊約其實在聖祭裡面有一些場景
[00:00:55.000 --> 00:00:57.000]  神是特別的預備
[00:00:57.000 --> 00:01:00.000]  讓我們可以來經歷祂的祝福跟能力
[00:01:00.000 --> 00:01:02.000]  這段經文其實是要提到
[00:01:02.000 --> 00:01:06.000]  以色列宣讀神的律法書
[00:01:06.000 --> 00:01:07.000]  當他宣讀的時候
[00:01:07.000 --> 00:01:10.000]  聖經裡面就提到這些百姓
[00:01:10.000 --> 00:01:12.000]  他們開始回應
[00:01:12.000 --> 00:01:13.000]  所以看見這裡說
[00:01:13.000 --> 00:01:15.000]  他一打開書他們就站起來
[00:01:15.000 --> 00:01:18.000]  當他稱頌耶和華至大的神
[00:01:18.000 --> 00:01:19.000]  眾人就舉手
[00:01:19.000 --> 00:01:20.000]  然後他們說什麼
[00:01:20.000 --> 00:01:21.000]  Amen Amen
[00:01:21.000 --> 00:01:25.000]  他們就乞討面福於己來敬拜上帝
[00:01:25.000 --> 00:01:28.000]  所以神給我們一個很重要的作為
[00:01:28.000 --> 00:01:30.000]  就是你可以
[00:01:30.000 --> 00:01:33.000]  你可以在所有的聚集當中
[00:01:33.000 --> 00:01:35.000]  其實這個不是出現在這裡
[00:01:35.000 --> 00:01:36.000]  等一下會跟你分享
[00:01:36.000 --> 00:01:38.000]  就是不是出現在這段經文裡面
[00:01:38.000 --> 00:01:40.000]  而是這個有一個場景
[00:01:40.000 --> 00:01:41.000]  讓你去了解
[00:01:41.000 --> 00:01:44.000]  其實這是在神在舊約時代
[00:01:44.000 --> 00:01:46.000]  甚至在新約的時候
[00:01:46.000 --> 00:01:50.000]  都幫助我們回一件事
[00:01:50.000 --> 00:01:53.000]  當你跟神的心一致的時候
[00:01:53.000 --> 00:01:57.000]  神的作為就會臨到你身上
[00:01:57.000 --> 00:01:59.000]  所以為什麼百姓要說Amen呢
[00:01:59.000 --> 00:02:00.000]  所以我們說Hallelujah
[00:02:00.000 --> 00:02:01.000]  你為什麼要說Amen
[00:02:01.000 --> 00:02:05.000]  因為我們已經被知道一些狀況
[00:02:05.000 --> 00:02:07.000]  就是我們可以來回應
[00:02:07.000 --> 00:02:08.000]  因為剛剛我們說Hallelujah
[00:02:08.000 --> 00:02:09.000]  它的意思是
[00:02:09.000 --> 00:02:11.000]  你們要讚美什麼 耶和華
[00:02:11.000 --> 00:02:12.000]  剛剛我們說你們要讚美耶和華
[00:02:12.000 --> 00:02:14.000]  下面的人說Amen的意思是
[00:02:14.000 --> 00:02:15.000]  對 我要讚美耶和華
[00:02:15.000 --> 00:02:17.000]  就是這個意思
[00:02:17.000 --> 00:02:19.000]  在聖經裡面有好幾處的經文
[00:02:19.000 --> 00:02:21.000]  都來跟我們分享這件事
[00:02:21.000 --> 00:02:22.000]  大概有數十節的經文
[00:02:22.000 --> 00:02:25.000]  那我今天只挑了幾節來分享
[00:02:25.000 --> 00:02:27.000]  聖經27章19節
[00:02:27.000 --> 00:02:28.000]  聖經27章都講到這件事
[00:02:28.000 --> 00:02:30.000]  祂說 向寄居的和孤兒寡婦
[00:02:30.000 --> 00:02:33.000]  屈往朕子的必受奏主
[00:02:33.000 --> 00:02:35.000]  百姓都要說Amen
[00:02:35.000 --> 00:02:37.000]  那祂在表達什麼意思
[00:02:37.000 --> 00:02:38.000]  祂在表達說
[00:02:38.000 --> 00:02:40.000]  當神的話明白以後
[00:02:40.000 --> 00:02:41.000]  這些百姓說我願意遵守
[00:02:41.000 --> 00:02:44.000]  祂就回應說Amen
[00:02:44.000 --> 00:02:47.000]  詩篇106篇48節
[00:02:47.000 --> 00:02:49.000]  耶和華以聖業的神是應當稱頌的
[00:02:49.000 --> 00:02:51.000]  從更古直到永遠
