
[00:00:00.000 --> 00:00:04.040]  一個多禮拜前
[00:00:04.040 --> 00:00:09.840]  有一對夫婦來到我的辦公室
[00:00:09.840 --> 00:00:13.680]  這對夫婦兩年前
[00:00:13.680 --> 00:00:16.640]  把他們的獨子
[00:00:16.640 --> 00:00:19.640]  二十一歲的獨子
[00:00:19.640 --> 00:00:22.080]  送到澳洲去
[00:00:22.080 --> 00:00:24.240]  念這個Foundation
[00:00:24.240 --> 00:00:26.720]  就是進大學前
[00:00:26.720 --> 00:00:33.520]  來進行一些的英文爲主的訓練
[00:00:33.520 --> 00:00:36.000]  讀完這個Foundation以後
[00:00:36.000 --> 00:00:41.600]  就進到Melbourne Monash大學
[00:00:41.600 --> 00:00:46.040]  繼續來進修
[00:00:46.040 --> 00:00:51.080]  今年他二十三歲
[00:00:51.080 --> 00:00:54.520]  剛剛今年考完四
[00:00:54.520 --> 00:00:58.720]  他就跟一些的同學也是教會一些的弟兄姐妹
[00:00:58.720 --> 00:01:01.080]  就去一個餐館
[00:01:01.080 --> 00:01:02.560]  喫一頓
[00:01:02.560 --> 00:01:05.880]  慶祝他們考完四了
[00:01:05.880 --> 00:01:09.440]  輕鬆一下
[00:01:09.440 --> 00:01:12.960]  怎麼知道在喫飯途中
[00:01:12.960 --> 00:01:16.640]  突然覺得非常頭痛
[00:01:16.640 --> 00:01:20.960]  跟了下來就在餐館暈倒了
[00:01:20.960 --> 00:01:25.960]  他那個同學們看見非常非常焦急
[00:01:25.960 --> 00:01:28.440]  除了報警以外
[00:01:28.440 --> 00:01:31.360]  也打了電話給他們的牧師
[00:01:31.360 --> 00:01:34.040]  而他們的牧師
[00:01:34.040 --> 00:01:39.000]  原來是我二十年前就認識的一個牧師
[00:01:39.000 --> 00:01:41.000]  打電話
[00:01:41.000 --> 00:01:43.160]  寫了一個電郵
[00:01:43.160 --> 00:01:45.000]  打電話找不到人
[00:01:45.000 --> 00:01:48.040]  寫了一個電郵來給我
[00:01:48.040 --> 00:01:52.080]  另外一方面他的同學從他的手機
[00:01:52.080 --> 00:01:54.560]  知道他父親那個手機
[00:01:54.560 --> 00:01:57.720]  就打電話給他父親
[00:01:57.720 --> 00:02:02.120]  主要是因爲時差的問題
[00:02:02.120 --> 00:02:05.320]  因爲那個時間晚上十點多十一點
[00:02:05.320 --> 00:02:12.520]  已經是香港時間凌晨兩點多
[00:02:12.520 --> 00:02:16.000]  他的父親接了一下
[00:02:16.000 --> 00:02:19.000]  電話就關掉
[00:02:19.000 --> 00:02:23.520]  沒有聽下去
[00:02:23.520 --> 00:02:26.400]  過了兩個小時在醫院的時間
[00:02:26.400 --> 00:02:29.480]  他那個同學再打電話給他的父親
[00:02:29.480 --> 00:02:36.480]  他的父親知道一定是有特別的事情
[00:02:36.480 --> 00:02:40.040]  才接這個電話
[00:02:40.040 --> 00:02:41.480]  一接了以後
