
[00:00:00.000 --> 00:00:04.000]  各位電影姊妹,新年快樂!
[00:00:30.000 --> 00:00:36.000]  新舊可以融合得到呢?
[00:00:36.000 --> 00:00:42.000]  我寫了些創意揮春,也有貼出來
[00:00:42.000 --> 00:00:45.000]  其中一句就是新年快樂
[00:00:45.000 --> 00:00:47.000]  這裏沒有的,後來我才想到的
[00:00:47.000 --> 00:00:50.000]  上一節跳的那些
[00:00:50.000 --> 00:00:54.000]  我寫給朋友,新年快樂是身體的新
[00:00:54.000 --> 00:00:59.000]  連續的連,你的身體是連著快樂
[00:00:59.000 --> 00:01:03.000]  過了十五就沒有快樂了
[00:01:03.000 --> 00:01:05.000]  快樂常與你們同在
[00:01:05.000 --> 00:01:11.000]  我們要事常,整個人都是連著快樂的
[00:01:11.000 --> 00:01:16.000]  我祝你新年快樂,有兩個版本
[00:01:16.000 --> 00:01:20.000]  一個就是傳統的,新年Happy New Year
[00:01:20.000 --> 00:01:24.000]  一個就是新年快樂,寫給別人就更加具體
[00:01:24.000 --> 00:01:30.000]  新春講福,也是講新的開始,也講一點創意
[00:01:30.000 --> 00:01:33.000]  今天我和大家分享這段聖經
[00:01:33.000 --> 00:01:36.000]  創世紀十二章,一節到三節
[00:01:36.000 --> 00:01:39.000]  是一段相當熟悉的經文
[00:01:39.000 --> 00:01:43.000]  我選這段聖經,是因為這段聖經對我來說
[00:01:43.000 --> 00:01:50.000]  是有一個特別的開始,也有一個特別的祝福
[00:01:50.000 --> 00:01:57.000]  我一九七七年就開始教會的侍奉
[00:01:57.000 --> 00:02:01.000]  就是讀完神學了,一九七七年
[00:02:01.000 --> 00:02:07.000]  就開始講道,除了在自己的教會講
[00:02:07.000 --> 00:02:10.000]  也有機會去到其他的教會講
[00:02:10.000 --> 00:02:13.000]  或者學校講,或者公開的聚會講
[00:02:13.000 --> 00:02:16.000]  我講道的機會也不算少
[00:02:16.000 --> 00:02:19.000]  也講了很多不同的場合
[00:02:19.000 --> 00:02:24.000]  有小型的,也有一些中型的
