
[00:00:00.000 --> 00:00:04.000]  我今天要講的題目是一個被聖靈充滿的妻子
[00:00:04.000 --> 00:00:10.000]  我們連著從五章第十八節開始一直講到現在
[00:00:10.000 --> 00:00:13.000]  如果從剛才我們所念的經文的話
[00:00:13.000 --> 00:00:14.000]  很簡單的說
[00:00:14.000 --> 00:00:19.000]  一個被聖靈充滿的妻子是一個被主完全得著的
[00:00:19.000 --> 00:00:23.000]  我講這一句話是有聖經根據的
[00:00:23.000 --> 00:00:27.000]  在菲律賓書第三章第十二節
[00:00:27.000 --> 00:00:29.000]  在那裏保羅他說這不是說
[00:00:29.000 --> 00:00:31.000]  保羅他真的是以萬事
[00:00:31.000 --> 00:00:33.000]  把萬事看作分子
[00:00:33.000 --> 00:00:35.000]  那麼他也把基督當成他的至寶
[00:00:35.000 --> 00:00:38.000]  他可以把世界上所有東西他都不在乎了
[00:00:38.000 --> 00:00:40.000]  他都輕看
[00:00:40.000 --> 00:00:42.000]  但是十二節他這樣講
[00:00:42.000 --> 00:00:44.000]  他說這不是說我已經得著了
[00:00:44.000 --> 00:00:45.000]  已經完全了
[00:00:45.000 --> 00:00:47.000]  我乃是竭力追求
[00:00:47.000 --> 00:00:49.000]  或者可以得著基督耶穌
[00:00:49.000 --> 00:00:51.000]  所以得著我的
[00:00:51.000 --> 00:00:52.000]  那麼這一句話
[00:00:52.000 --> 00:00:53.000]  這一段經文
[00:00:53.000 --> 00:00:54.000]  這一節經文
[00:00:54.000 --> 00:00:57.000]  我覺得在英文很容易讓我們明白
[00:00:57.000 --> 00:01:00.000]  他說我不是說我已經得著了
[00:01:00.000 --> 00:01:01.000]  或者是說我已經完全了
[00:01:01.000 --> 00:01:02.000]  都不是的
[00:01:02.000 --> 00:01:04.000]  他說我乃是竭力的追求
[00:01:04.000 --> 00:01:06.000]  為什麼呢
[00:01:06.000 --> 00:01:07.000]  我們中文翻譯是說
[00:01:07.000 --> 00:01:09.000]  或者可以得著基督耶穌
[00:01:09.000 --> 00:01:10.000]  所以得著我的
[00:01:10.000 --> 00:01:13.000]  其實英文很清楚很清楚
[00:01:13.000 --> 00:01:16.000]  他說的
[00:01:16.000 --> 00:01:17.000]  他說
[00:01:17.000 --> 00:01:29.000]  I press on to make it my own because Jesus has made me his own
[00:01:29.000 --> 00:01:32.000]  他讓保羅他自己看見
[00:01:32.000 --> 00:01:35.000]  他已經是完完全全屬於基督了
[00:01:35.000 --> 00:01:37.000]  基督已經完全得著他了
[00:01:37.000 --> 00:01:39.000]  所以他在這個世界上
[00:01:39.000 --> 00:01:40.000]  他是盡其所能的
[00:01:40.000 --> 00:01:42.000]  他竭力追求
[00:01:42.000 --> 00:01:44.000]  就是他能夠經歷
[00:01:44.000 --> 00:01:46.000]  主耶穌完全得著他的
[00:01:46.000 --> 00:01:48.000]  你們有沒有想過
[00:01:48.000 --> 00:01:49.000]  我有時候碰到一些人
[00:01:49.000 --> 00:01:50.000]  他們就會告訴我
[00:01:50.000 --> 00:01:52.000]  他說我要求神
[00:01:52.000 --> 00:01:54.000]  讓神真的是完全得著我
[00:01:54.000 --> 00:01:55.000]  我就告訴他
[00:01:55.000 --> 00:01:56.000]  我是菲利比蘇
[00:01:56.000 --> 00:01:58.000]  保羅在那裡告訴我們
[00:01:58.000 --> 00:02:01.000]  主耶穌已經完全得著你
[00:02:01.000 --> 00:02:02.000]  你所能做的
[00:02:02.000 --> 00:02:04.000]  就是把你自己交在他的手中
[00:02:04.000 --> 00:02:07.000]  你就可以經歷他的
[00:02:07.000 --> 00:02:10.000]  完全得著你的那個福分
[00:02:10.000 --> 00:02:11.000]  我們一起禱告
[00:02:11.000 --> 00:02:13.000]  願我們滿心的感謝你
[00:02:13.000 --> 00:02:15.000]  感謝你把你的話語賜給我們
[00:02:15.000 --> 00:02:17.000]  裡面充滿了你自己的智慧
[00:02:17.000 --> 00:02:18.000]  主天的智慧
[00:02:18.000 --> 00:02:20.000]  主我們真的是謙卑的
[00:02:20.000 --> 00:02:21.000]  來到你的面前
[00:02:21.000 --> 00:02:22.000]  我們很多時候
[00:02:22.000 --> 00:02:24.000]  我們以為我們明白一些事情
[00:02:24.000 --> 00:02:25.000]  很多時候我們以為
[00:02:25.000 --> 00:02:26.000]  我們知道我們怎麼樣
[00:02:26.000 --> 00:02:27.000]  做一個丈夫
[00:02:27.000 --> 00:02:28.000]  我們以為我們知道
[00:02:28.000 --> 00:02:30.000]  我們怎麼樣做一個妻子
[00:02:30.000 --> 00:02:33.000]  但是主當我們看了你的話之後
[00:02:33.000 --> 00:02:35.000]  讓我們謙卑下來
[00:02:35.000 --> 00:02:39.000]  讓我們知道你有所有的智慧
[00:02:39.000 --> 00:02:42.000]  主讓我們從你那裡求得智慧
[00:02:42.000 --> 00:02:44.000]  真的是當我們缺乏智慧的時候
[00:02:44.000 --> 00:02:46.000]  你讓我們心不二意的
[00:02:46.000 --> 00:02:48.000]  來到你面前向你求
[00:02:48.000 --> 00:02:50.000]  從你那裡來的智慧
[00:02:50.000 --> 00:02:52.000]  主我們知道你是那一位
[00:02:52.000 --> 00:02:54.000]  會賜給我們的智慧的
[00:02:54.000 --> 00:02:56.000]  主你絕對不會吝惜
[00:02:56.000 --> 00:02:57.000]  我們謝謝你
[00:02:57.000 --> 00:02:58.000]  謝謝你自己的恩典
[00:02:58.000 --> 00:03:01.000]  我們把下面時間都仰望在你的手中
[00:03:01.000 --> 00:03:02.000]  求你自己祝福
[00:03:02.000 --> 00:03:04.000]  禱告給我們耶穌基督的聖人
[00:03:04.000 --> 00:03:10.000]  首先我們從一部所述第五章
[00:03:10.000 --> 00:03:13.000]  第22節一直到23節的話
[00:03:13.000 --> 00:03:15.000]  一直到第六章第九節
[00:03:15.000 --> 00:03:17.000]  我們從經文的安排
[00:03:17.000 --> 00:03:19.000]  我們可以看見聖靈
[00:03:19.000 --> 00:03:20.000]  祂這樣子安排
[00:03:20.000 --> 00:03:22.000]  祂是讓我們明白一件事情
[00:03:22.000 --> 00:03:27.000]  從22節到33節裡面
[00:03:27.000 --> 00:03:29.000]  這裡面就是講到夫妻之間
[00:03:29.000 --> 00:03:30.000]  講到婚姻
[00:03:30.000 --> 00:03:33.000]  講到夫妻之間的關係
[00:03:33.000 --> 00:03:36.000]  祂是把他放在管教子女之前
[00:03:36.000 --> 00:03:38.000]  祂也是把他放在
[00:03:38.000 --> 00:03:40.000]  負任於主人的關係之前
[00:03:40.000 --> 00:03:43.000]  就是說我們在社會上的工作的關係
[00:03:43.000 --> 00:03:44.000]  那麼我們看見
[00:03:44.000 --> 00:03:45.000]  祂把他放在這裡
[00:03:45.000 --> 00:03:46.000]  祂讓我們知道
[00:03:46.000 --> 00:03:48.000]  在家庭的事情上面
[00:03:48.000 --> 00:03:52.000]  夫妻之間的關係是最主要最主要的
[00:03:52.000 --> 00:03:57.000]  我們現在已經其實從心理學
[00:03:57.000 --> 00:03:59.000]  他們所研究的話
[00:03:59.000 --> 00:04:00.000]  他們也已經知道
[00:04:00.000 --> 00:04:01.000]  所以常常講說
