
[00:00:00.000 --> 00:00:03.240]  畀得前書第五章第一到第四節
[00:00:03.240 --> 00:00:10.240]  都是我一生,亦都是我未來繼續侍奉裡面的一個指標
[00:00:10.240 --> 00:00:14.600]  我們先來讀這一段經文
[00:00:14.600 --> 00:00:18.240]  畀得前書第五章第一到第四節,我們一齊來讀出
[00:00:18.240 --> 00:00:22.640]  我謝謝作兩老,作基督受父的見證
[00:00:22.640 --> 00:00:26.360]  同享後來所要顯現之榮耀的
[00:00:26.360 --> 00:00:30.240]  勸你們中間與我同作長老的人
[00:00:30.240 --> 00:00:34.840]  無要勿仰在你們中間神的群羊
[00:00:34.840 --> 00:00:37.840]  按著神旨意照顧他們
[00:00:37.840 --> 00:00:41.640]  不是出於勉強乃是出於甘心
[00:00:41.640 --> 00:00:46.040]  也不是因為貪財乃是出於樂意
[00:00:46.040 --> 00:00:52.040]  也不是合際所託付你們的乃是作群羊的榜樣
[00:00:52.040 --> 00:00:59.240]  到了牧長顯現的時候,你們必得撈榮不需殘的榮耀顧眠
[00:00:59.240 --> 00:01:02.240]  其實不是單單剛才開始我講到之前的祈禱
[00:01:02.240 --> 00:01:04.840]  這幾個禮拜裡面我都是不斷去禱告
[00:01:04.840 --> 00:01:08.240]  我今天這篇的分享是一個生命上的告白
[00:01:08.240 --> 00:01:11.640]  是將自己在大家面前來有否認者
[00:01:11.640 --> 00:01:15.840]  我們要明白什麼是隱藏在十字架的背後
[00:01:15.840 --> 00:01:19.840]  不是去高舉自己的榮耀,只是看到神祢自己奇妙的作為
[00:01:19.840 --> 00:01:23.040]  如果我們一直有聽彼得前書的時候就知道
[00:01:23.040 --> 00:01:26.640]  剛剛在這一章之前彼得用了很長的篇幅
[00:01:26.640 --> 00:01:29.640]  來講到基督徒應該要面對苦難
[00:01:29.640 --> 00:01:32.640]  是要為主來受苦
[00:01:32.640 --> 00:01:35.240]  今天十字架這條路絕對不容易走
[00:01:35.240 --> 00:01:38.240]  但是在這一卷書的結尾
[00:01:38.240 --> 00:01:44.040]  彼得就在這裡開始提醒去牧養群羊的領袖
[00:01:44.040 --> 00:01:47.640]  就是那些教會裡面的長老、侍奉者
[00:01:47.640 --> 00:01:51.840]  我們要明白什麼是長老的職份
[00:01:51.840 --> 00:01:53.440]  大家要搞清楚
[00:01:53.440 --> 00:01:55.640]  長老和元老是不同的
[00:01:55.640 --> 00:01:57.640]  我們教會也有很多元老
[00:01:57.640 --> 00:02:00.440]  我們試一下看看我們教會當中的元老是哪些
[00:02:00.440 --> 00:02:02.840]  這是榮耀,所以不要隱藏
[00:02:02.840 --> 00:02:05.240]  富善年代的請你舉手
[00:02:05.240 --> 00:02:06.640]  富善年代的
[00:02:06.640 --> 00:02:08.240]  健靠的那些
[00:02:08.240 --> 00:02:10.240]  這些就是教會裡面的元老
[00:02:10.240 --> 00:02:12.640]  你看到這些元老其實是很年輕的
[00:02:12.640 --> 00:02:14.840]  他們很小的時候就來了
[00:02:14.840 --> 00:02:17.840]  譬如我的兒子也是元老
[00:02:17.840 --> 00:02:20.840]  他四歲就已經開始回教會了
[00:02:20.840 --> 00:02:24.040]  所以元老是指他在教會歷史內
[00:02:24.040 --> 00:02:25.840]  和年齡是沒有關係的
[00:02:25.840 --> 00:02:31.040]  元老是可以很年輕的
[00:02:31.040 --> 00:02:32.240]  你明白我說什麼嗎?
[00:02:32.240 --> 00:02:34.840]  什麼叫做長老呢?
[00:02:34.840 --> 00:02:37.840]  長老也未必一定是一個高齡的人
[00:02:37.840 --> 00:02:40.040]  原來在當時的教會裡面
