
[00:00:00.000 --> 00:00:01.480]  稟知會平安
[00:00:01.480 --> 00:00:03.480]  我們下星期便是復活節了
[00:00:03.480 --> 00:00:06.520]  我們首先做一個低頭的禱告
[00:00:06.520 --> 00:00:08.160]  天父我們感謝祢
[00:00:08.160 --> 00:00:09.560]  因為祢是復活的神
[00:00:09.560 --> 00:00:10.800]  祢不是死人的神
[00:00:10.800 --> 00:00:12.040]  祢是活人的神
[00:00:12.040 --> 00:00:13.440]  祢活在我們中間
[00:00:13.440 --> 00:00:17.040]  祢也藉著祢的生命吞食了死亡
[00:00:17.040 --> 00:00:19.840]  以致我們可以有復活的盼望
[00:00:19.840 --> 00:00:22.000]  願以今天我們一起思想祢的說話
[00:00:22.000 --> 00:00:24.040]  思想到死亡的本質的時候
[00:00:24.040 --> 00:00:25.400]  我們不是存於懼怕
[00:00:25.400 --> 00:00:26.400]  而是存於盼望
[00:00:26.400 --> 00:00:27.800]  奉耶穌基督的名祈求
[00:00:27.800 --> 00:00:28.800]  阿們
[00:00:29.760 --> 00:00:30.520]  好,稟知會
[00:00:30.520 --> 00:00:35.000]  今天我們再一次思想有關復活的題目
[00:00:35.000 --> 00:00:36.600]  正如剛才也提及過
[00:00:36.600 --> 00:00:39.000]  下星期便是復活節了
[00:00:39.000 --> 00:00:40.800]  關於死亡
[00:00:40.800 --> 00:00:42.000]  關於復活的
[00:00:42.000 --> 00:00:44.520]  當然我們知道有死亡才有復活
[00:00:44.520 --> 00:00:47.520]  這個題目就是
[00:00:47.520 --> 00:00:48.920]  我相信
[00:00:48.920 --> 00:00:50.560]  有時候我們雖然知道
[00:00:50.560 --> 00:00:54.160]  但是我們也很少仔細地去思考
[00:00:54.160 --> 00:00:57.200]  因為好像說到死亡這個題目
[00:00:57.200 --> 00:01:00.560]  對於很多人來說都比較忌諱
[00:01:00.560 --> 00:01:02.240]  因為
[00:01:02.240 --> 00:01:03.960]  這個也是很有趣的
[00:01:03.960 --> 00:01:05.160]  古今中外
[00:01:05.160 --> 00:01:06.360]  中國人也好
[00:01:06.360 --> 00:01:08.200]  外國人也好
[00:01:08.200 --> 00:01:09.880]  說到關於死亡的時候
[00:01:09.880 --> 00:01:13.760]  好像也有很多避諱的事情
[00:01:13.760 --> 00:01:16.520]  中文是廣東話
[00:01:16.520 --> 00:01:18.840]  因為四字和死亡差不多
[00:01:18.840 --> 00:01:22.720]  所以很多大廈沒有四樓
[00:01:22.720 --> 00:01:25.080]  外國人也有的
[00:01:25.080 --> 00:01:27.920]  外國人他們也有一些避諱
[00:01:27.920 --> 00:01:29.440]  譬如他們
[00:01:29.440 --> 00:01:32.400]  耶穌在最後吃晚餐的時候
[00:01:32.400 --> 00:01:33.560]  有十三個門
