
[00:00:00.000 --> 00:00:02.280]  各位底子妹 各位來賓 早晨
[00:00:02.280 --> 00:00:07.480]  我們要了解到 究竟我們這些崇拜不斷
[00:00:07.480 --> 00:00:10.720]  由以前 很早期 我們小時候
[00:00:10.720 --> 00:00:14.480]  所謂那時還有「洗字居」 天台的學校 教會
[00:00:14.480 --> 00:00:18.400]  沒有冷氣 可能沒有咪高峰 這些東西
[00:00:18.400 --> 00:00:21.480]  直到我們開始 香港人比較富裕起來
[00:00:21.480 --> 00:00:23.840]  有漂亮的禮堂 有冷氣 有器材
[00:00:23.840 --> 00:00:25.640]  以前用屍襲 現在屍襲不用用
[00:00:25.640 --> 00:00:27.200]  潘安邦以為很厲害了
[00:00:27.200 --> 00:00:29.280]  然後現在我用到這些東西
[00:00:29.280 --> 00:00:31.960]  其實都不是很先進 已經用了很久
[00:00:31.960 --> 00:00:35.160]  不過我們都覺得要追上潮流
[00:00:35.160 --> 00:00:38.960]  是不是代表神就喜歡我們的敬拜多了呢
[00:00:38.960 --> 00:00:42.200]  不是 其實老實說
[00:00:42.200 --> 00:00:46.040]  你怎樣敬拜神 用什麼器材
[00:00:46.040 --> 00:00:50.440]  神是否看我們這些表面化的東西呢
[00:00:50.440 --> 00:00:52.400]  很多時候我們有個誤解
[00:00:52.400 --> 00:00:56.400]  以為只要我們提升了敬拜的水平
[00:00:56.400 --> 00:01:01.560]  我們投入了 對敬拜的興趣多了
[00:01:01.560 --> 00:01:04.880]  那就是說 神就喜歡我們多一點
[00:01:04.880 --> 00:01:06.320]  又或者起碼覺得
[00:01:06.320 --> 00:01:10.880]  聖靈好像充滿的感覺大一點
[00:01:10.880 --> 00:01:13.200]  有些教會用那個字眼
[00:01:13.200 --> 00:01:16.800]  我們教會的侍奉更被恩告
[00:01:16.800 --> 00:01:19.320]  而且我們更加能夠感受到
[00:01:19.320 --> 00:01:21.160]  我們聖靈更加的充滿
[00:01:21.160 --> 00:01:22.760]  我們有個誤解以為
[00:01:22.760 --> 00:01:25.840]  我們對敬拜提升了的時候
[00:01:25.840 --> 00:01:30.320]  神同樣對我們敬拜的熱吶也提升了
[00:01:30.320 --> 00:01:31.960]  但是阿摩斯書告訴我們
[00:01:31.960 --> 00:01:35.320]  這不是必然的
[00:01:35.320 --> 00:01:37.120]  我們向來看阿摩斯書
[00:01:37.120 --> 00:01:39.240]  看到神不熱吶以色列
[00:01:39.240 --> 00:01:42.880]  不是因為他們的敬拜上做錯了什麼
[00:01:42.880 --> 00:01:46.360]  令到神覺得我們要憎恨他們
[00:01:46.360 --> 00:01:49.320]  而是在敬拜以外 他們的生活
[00:01:49.320 --> 00:01:51.080]  他們的社會腐敗
[00:01:51.080 --> 00:01:54.040]  不能彰顯到神的公義
[00:01:54.040 --> 00:01:57.120]  今天我們看阿摩斯書的第五章
[00:01:57.120 --> 00:02:00.760]  我們一起讀出第十八節至第二十七節
[00:02:00.760 --> 00:02:04.280]  阿摩斯書的第五章第十八節至第二十七節
[00:02:04.280 --> 00:02:05.000]  請讀
[00:02:05.000 --> 00:02:19.560]  阿摩斯講到以色列人
[00:02:19.560 --> 00:02:22.920]  他們賞望耶和華的日子
[00:02:22.920 --> 00:02:27.280]  耶和華的日子在以色列文的先知口中
[00:02:27.280 --> 00:02:30.560]  他們知道是神要審判的日子
[00:02:30.560 --> 00:02:33.280]  要賜福給神選民的日子
[00:02:33.280 --> 00:02:36.400]  就是神要很神跡地去對付
[00:02:36.400 --> 00:02:39.720]  那些敵對神的國度
[00:02:39.720 --> 00:02:41.800]  於是以色列人聽見耶和華的日子
[00:02:41.800 --> 00:02:43.560]  接下來很棒
[00:02:43.560 --> 00:02:44.720]  因為那些敵國
[00:02:44.720 --> 00:02:46.400]  尤其是阿摩斯書第一第二章
[00:02:46.400 --> 00:02:48.080]  阿摩斯書一開始講的時候
[00:02:48.080 --> 00:02:51.000]  就講到有六個外邦國家
[00:02:51.000 --> 00:02:51.760]  神要審判
[00:02:51.760 --> 00:02:54.640]  而且以色列國的兄弟猶大
[00:02:54.640 --> 00:02:58.040]  都在審判的名單之內
[00:02:58.040 --> 00:02:59.760]  但當以色列人沾沾自喜
[00:02:59.760 --> 00:03:01.600]  聽見以為神在耶和華的日子
[00:03:01.600 --> 00:03:04.480]  要審判這些敵國的時候
[00:03:04.480 --> 00:03:07.120]  最後阿摩斯書用最多的篇幅
[00:03:07.120 --> 00:03:10.720]  最狠的字眼去審判的
[00:03:10.720 --> 00:03:12.840]  就是以色列不國
[00:03:12.840 --> 00:03:14.760]  他講到這些以為耶和華的日子好嗎
[00:03:14.760 --> 00:03:15.960]  為什麼要賞望
[00:03:15.960 --> 00:03:18.360]  我用的是和學本的修訂版
[00:03:18.360 --> 00:03:20.640]  所以未必跟大家看的一樣
[00:03:20.640 --> 00:03:22.920]  但意思一樣
[00:03:22.920 --> 00:03:25.120]  賞望耶和華的日子的人有和了
[00:03:25.120 --> 00:03:27.400]  為什麼我們不要耶和華的日子呢
[00:03:27.400 --> 00:03:29.680]  那是黑暗沒有光明的日子
[00:03:29.680 --> 00:03:32.520]  好像人躲避獅子猶如見熊
[00:03:32.520 --> 00:03:33.520]  卻進了房屋
[00:03:33.520 --> 00:03:36.000]  以手靠牆卻被蛇咬
[00:03:36.000 --> 00:03:37.200]  耶和華的日子
[00:03:37.200 --> 00:03:39.080]  豈是黑暗沒有光明
[00:03:39.080 --> 00:03:42.560]  幽暗毫無光輝嗎
[00:03:42.560 --> 00:03:44.760]  你以為那個是光明的日子嗎
[00:03:44.760 --> 00:03:47.920]  以為那時候你不喜歡的敵國
[00:03:47.920 --> 00:03:50.320]  要被我毀滅嗎
[00:03:50.320 --> 00:03:54.040]  因為到時你們都成為了神要審判的對象
[00:03:54.040 --> 00:03:57.240]  因為以色列人是神的選民
[00:03:57.240 --> 00:03:59.720]  他們不遵行神自己的律法
[00:03:59.720 --> 00:04:03.160]  在社會裏彰顯公義
[00:04:03.160 --> 00:04:04.920]  所以審判的對象
[00:04:04.920 --> 00:04:11.240]  以色列民都在審判的名單之內
[00:04:11.240 --> 00:04:13.920]  以色列人為何不能見到
[00:04:13.920 --> 00:04:17.400]  先知所講的黑暗耶和華的日子來到
