
[00:00:00.000 --> 00:00:04.000]  今天我們的題目就是「謝謝你的愛」
[00:00:04.000 --> 00:00:05.760]  我們用到「真言」的部分
[00:00:05.760 --> 00:00:09.720]  我們先一起有祈禱的時間
[00:00:09.720 --> 00:00:11.680]  親愛的主 我們多謝你
[00:00:11.680 --> 00:00:13.880]  你留下了寶貴的話語
[00:00:13.880 --> 00:00:15.800]  每一段都很寶貴
[00:00:15.800 --> 00:00:20.160]  今天讓我們去思考財德的婦人的時候
[00:00:20.160 --> 00:00:21.520]  我們更加知道
[00:00:21.520 --> 00:00:25.520]  我們真的有很多很好的女士在我們身邊
[00:00:25.520 --> 00:00:26.800]  讓我們懷著感恩的心
[00:00:26.800 --> 00:00:29.440]  也讓我們去多謝她們的愛
[00:00:29.440 --> 00:00:32.120]  也同樣多謝天父你自己的愛
[00:00:32.120 --> 00:00:35.200]  我們將我們的禱告切切交在你的手裡
[00:00:35.200 --> 00:00:37.760]  是奉耶穌的名字而求
[00:00:37.760 --> 00:00:39.520]  阿們
[00:00:39.520 --> 00:00:41.760]  今天是母親節
[00:00:41.760 --> 00:00:44.040]  我們也要說說母親節的事情
[00:00:44.040 --> 00:00:46.640]  不知道你知不知道
[00:00:46.640 --> 00:00:53.480]  母親節是第一個正式將一年裡的日子
[00:00:53.480 --> 00:00:57.120]  定為母親節的哪個國家呢
[00:00:57.120 --> 00:01:05.680]  其實母親節開始被一個國家認定為一年一個節日
[00:01:05.680 --> 00:01:09.400]  其實是美國的
[00:01:09.400 --> 00:01:15.800]  當時有一位女士推動
[00:01:15.800 --> 00:01:19.920]  安娜·賈維斯推動這個事情
[00:01:19.920 --> 00:01:21.520]  事實上這個母親節
[00:01:21.520 --> 00:01:24.720]  大家可以想像應該和她的母親有關
[00:01:24.720 --> 00:01:27.240]  當然詳情也不說太多
[00:01:27.240 --> 00:01:29.680]  因為後面那些才重要
[00:01:29.680 --> 00:01:33.960]  但是你知不知道母親節英文
[00:01:33.960 --> 00:01:38.120]  應該是Mother's Day還是Mother's Day
[00:01:38.120 --> 00:01:40.560]  有個撇好的apostrophe
[00:01:40.560 --> 00:01:44.160]  就是母親門的日子
[00:01:44.160 --> 00:01:46.640]  還是母親的日子呢
[00:01:46.640 --> 00:01:47.840]  英文是Mother's
[00:01:47.840 --> 00:01:49.840]  接著撇一撇的Day
[00:01:49.840 --> 00:01:51.160]  另一個是Mother
[00:01:51.160 --> 00:01:54.000]  接著撇一撇才是As的Day
[00:01:54.000 --> 00:01:58.840]  你知不知道是Mother's Day還是Mother's Day
[00:01:58.840 --> 00:02:00.560]  你回答我Mother's Day一定是正確的
[00:02:00.560 --> 00:02:03.320]  因為我看不到這個撇好的
[00:02:03.320 --> 00:02:05.520]  其實剛才也說到
[00:02:05.520 --> 00:02:10.280]  其實原本安娜的母親
[00:02:10.280 --> 00:02:13.560]  本來就是想所有母親門的日子
[00:02:13.560 --> 00:02:16.840]  因為其實她媽媽做了很多關心
