
[00:00:00.000 --> 00:00:05.000]  剛才崇拜主席梁棣興提過
[00:00:05.000 --> 00:00:09.000]  人生的青春和笑話很快就過去
[00:00:09.000 --> 00:00:12.000]  不知大家有沒有同樣的感觸
[00:00:12.000 --> 00:00:14.000]  就是過了幾十年的人生
[00:00:14.000 --> 00:00:18.000]  就好像沒什麼成就又沒什麼意義
[00:00:18.000 --> 00:00:23.000]  一生的掙扎換來就是一生的嘆息
[00:00:23.000 --> 00:00:28.000]  現在時光消逝身體衰殘
[00:00:28.000 --> 00:00:34.000]  壯年時代的豪情熱血已經化為輕煙
[00:00:34.000 --> 00:00:40.000]  我們中國唐朝的詩人李白就有這樣的感慨
[00:00:40.000 --> 00:00:44.000]  他在很出名的一首詩《張晉酒》裏面
[00:00:44.000 --> 00:00:47.000]  就說君不見黃河之水天上來
[00:00:47.000 --> 00:00:49.000]  奔流到海不復回
[00:00:49.000 --> 00:00:52.000]  君不見高唐明鏡悲白髮
[00:00:52.000 --> 00:00:58.000]  即是額頭滿白髮
[00:00:58.000 --> 00:01:01.000]  朝夕青絲霧成雪
[00:01:01.000 --> 00:01:06.000]  即是早上練笑的時候青絲黑色的頭髮
[00:01:06.000 --> 00:01:09.000]  但到晚上詩人就有點誇張
[00:01:09.000 --> 00:01:11.000]  就已經老了
[00:01:11.000 --> 00:01:15.000]  所以他《張晉酒》就勸人喝酒
[00:01:15.000 --> 00:01:20.000]  最後一句就是與君同宵萬古愁
[00:01:20.000 --> 00:01:24.000]  摩西我們剛才讀出的《埃及記》第三章
[00:01:24.000 --> 00:01:26.000]  摩西也有這樣的感慨
[00:01:26.000 --> 00:01:30.000]  他遇見上帝的時候是八十歲
[00:01:30.000 --> 00:01:34.000]  飽經歲月的滄桑
[00:01:34.000 --> 00:01:38.000]  上帝呼召他出來帶領以色列人
[00:01:38.000 --> 00:01:41.000]  你看他怎樣回答上帝就好像甚麼都不敢做
[00:01:41.000 --> 00:01:44.000]  但你知不知道摩西頭那四十年
[00:01:44.000 --> 00:01:45.000]  大家上次聽那裏
[00:01:45.000 --> 00:01:48.000]  頭那四十年是埃及的王子
[00:01:48.000 --> 00:01:51.000]  有機會繼承王位
[00:01:51.000 --> 00:01:57.000]  他享盡王室裏面所有待遇和訓練
[00:01:57.000 --> 00:02:00.000]  如果你看《少群傳》第七章
[00:02:00.000 --> 00:02:04.000]  他說摩西學盡了埃及人一切的學問
[00:02:04.000 --> 00:02:06.000]  說埃及那時是最文明的古國
[00:02:06.000 --> 00:02:08.000]  三千多年前
[00:02:08.000 --> 00:02:10.000]  學了所有的東西
[00:02:10.000 --> 00:02:11.000]  很厲害
[00:02:11.000 --> 00:02:16.000]  還有說話、行事都有能力
[00:02:16.000 --> 00:02:18.000]  懂得做事又懂得說話
[00:02:18.000 --> 00:02:19.000]  有些人只有「講」字
[00:02:19.000 --> 00:02:21.000]  但他又講又做都可以
[00:02:21.000 --> 00:02:23.000]  四十年那時那麼厲害
[00:02:23.000 --> 00:02:25.000]  為甚麼現在到八十歲那時甚麼都不敢呢
[00:02:25.000 --> 00:02:28.000]  因為四十年前他發生了一件事
[00:02:28.000 --> 00:02:29.000]  一個挫敗
[00:02:29.000 --> 00:02:34.000]  他在《出埃及記》第二章描寫到
[00:02:34.000 --> 00:02:38.000]  他長大後就出去看他的同胞希伯來人
[00:02:38.000 --> 00:02:39.000]  看他們的重擔
[00:02:39.000 --> 00:02:42.000]  見到一個埃及人打一個希伯來人
[00:02:42.000 --> 00:02:45.000]  他就不值得
[00:02:45.000 --> 00:02:47.000]  他左右望向埃及人
[00:02:47.000 --> 00:02:49.000]  就將那個埃及人打死了
[00:02:49.000 --> 00:02:53.000]  當然被埃及人欺負的希伯來人就看到
[00:02:53.000 --> 00:02:54.000]  打死了第二天
[00:02:54.000 --> 00:02:58.000]  他又出去見到兩個希伯來人彼此爭鬥
[00:02:58.000 --> 00:03:00.000]  他又對那個欺負人說
[00:03:00.000 --> 00:03:02.000]  你為甚麼打你的同族人呢
[00:03:02.000 --> 00:03:04.000]  那個人就回答
[00:03:04.000 --> 00:03:07.000]  誰立你做我們的領袖和審判官
[00:03:07.000 --> 00:03:11.000]  難道你想殺我好像想殺昨天那個埃及人嗎
[00:03:11.000 --> 00:03:13.000]  摩西就懼怕
[00:03:13.000 --> 00:03:16.000]  心理上這件事肯定傳了出去
[00:03:16.000 --> 00:03:18.000]  法老的確聽到
[00:03:18.000 --> 00:03:20.000]  就想辦法要殺摩西
[00:03:20.000 --> 00:03:22.000]  摩西就害怕法老
[00:03:22.000 --> 00:03:26.000]  躲避他就去了米顛的地方居住
[00:03:26.000 --> 00:03:28.000]  那時是四十歲
