
[00:00:00.000 --> 00:00:04.500]  我們今天的題目就是《沙漠的蒙昭》
[00:00:04.500 --> 00:00:07.200]  上次我們講到《沙漠的幼年》
[00:00:07.200 --> 00:00:10.700]  現在看看它是怎麼蒙昭的
[00:00:10.700 --> 00:00:13.700]  這個沙漠的上下
[00:00:13.700 --> 00:00:16.700]  在西部來的聖經是一卷書
[00:00:16.700 --> 00:00:18.000]  是合在一起的
[00:00:18.000 --> 00:00:20.400]  它不分上下的
[00:00:20.400 --> 00:00:23.500]  這個在這個舊約聖經
[00:00:23.500 --> 00:00:25.000]  西部來的聖經
[00:00:25.000 --> 00:00:28.500]  它是把它放在先知書裡頭的
[00:00:28.500 --> 00:00:30.800]  在我們看起來好像它講的
[00:00:30.800 --> 00:00:34.800]  這個沙漠繼上下都講的歷史
[00:00:34.800 --> 00:00:38.800]  但它卻是把它放在先知書裡頭
[00:00:38.800 --> 00:00:39.800]  為什麼呢
[00:00:39.800 --> 00:00:43.800]  這因為它不是單單記載一些歷史
[00:00:43.800 --> 00:00:49.300]  它乃是記載一些神所看重的事情
[00:00:49.300 --> 00:00:51.800]  因為這個沙漠繼上下
[00:00:51.800 --> 00:00:56.000]  所涵蓋的歷史差不多有150年
[00:00:56.000 --> 00:00:58.500]  它不是要把150年的歷史
[00:00:58.500 --> 00:01:01.000]  都把它給記載在聖經上
[00:01:01.000 --> 00:01:05.000]  它是要記載這150年的歷史中間
[00:01:05.000 --> 00:01:08.500]  神所看重的一些事情是怎麼樣
[00:01:08.500 --> 00:01:12.000]  所以就把它放在先知書裡頭
[00:01:12.000 --> 00:01:14.300]  所以這個舊約聖經
[00:01:14.300 --> 00:01:18.500]  在西部來的聖經是分成三大部分
[00:01:18.500 --> 00:01:21.500]  一部分叫做《瑞法》
[00:01:21.500 --> 00:01:26.000]  《瑞法》就是把摩西寫的《五卷書》
[00:01:26.000 --> 00:01:29.000]  摩西五經就叫做《瑞法》
[00:01:29.000 --> 00:01:30.500]  就講到《瑞法》
[00:01:30.500 --> 00:01:33.000]  那第二部分呢就是《先知》
[00:01:33.000 --> 00:01:34.500]  這《先知》的話
[00:01:34.500 --> 00:01:38.000]  它不是從以賽亞書開始是先知
[00:01:38.000 --> 00:01:41.000]  它把這個約蘇亞紀
[00:01:41.000 --> 00:01:42.500]  把斯斯紀
[00:01:42.500 --> 00:01:44.500]  把沙漠上下
[00:01:44.500 --> 00:01:46.500]  把列汪紀上下
[00:01:46.500 --> 00:01:48.500]  然後到下面呢
[00:01:48.500 --> 00:01:52.500]  才是以賽亞、耶利米、以西節
[00:01:52.500 --> 00:01:56.500]  然後有十二本的小先知書
[00:01:56.500 --> 00:01:58.500]  它把它合了一本
[00:01:58.500 --> 00:01:59.500]  所以它有
[00:01:59.500 --> 00:02:03.000]  這第二大部分就是先知書
[00:02:03.000 --> 00:02:05.500]  那第三部分叫聖書
[00:02:05.500 --> 00:02:09.000]  聖書就是詩篇、閱博記
[00:02:09.000 --> 00:02:10.500]  還有其他的
[00:02:10.500 --> 00:02:15.000]  像這個雅歌、耶利米、愛歌
