
[00:00:00.000 --> 00:00:02.320]  這段時間講到的內容
[00:00:02.320 --> 00:00:06.120]  很多時候我們都在講有關聖靈的事
[00:00:06.120 --> 00:00:12.320]  就說聖靈是聖父、聖子、聖靈三為一體的神
[00:00:12.320 --> 00:00:14.560]  祂的工作是帶領我們進入真理的
[00:00:14.560 --> 00:00:16.440]  祂不會帶領我們離開真理
[00:00:16.440 --> 00:00:18.560]  其實是帶領我們進入真理
[00:00:18.560 --> 00:00:21.120]  明白真理、經歷真理
[00:00:21.120 --> 00:00:25.600]  以及幫助我們活在被真理的掌管的情況底下
[00:00:25.600 --> 00:00:27.600]  所以我們不斷呼求聖靈充滿
[00:00:27.600 --> 00:00:29.520]  其實其中一個意思就是說
[00:00:29.520 --> 00:00:31.200]  我們說求主充滿我們
[00:00:31.200 --> 00:00:33.280]  就是求主去掌管我們的生命
[00:00:33.280 --> 00:00:39.320]  當然聖靈充滿也讓我們有一個能力
[00:00:39.320 --> 00:00:42.440]  可以彼此來服侍和服侍外面未相信的人
[00:00:42.440 --> 00:00:46.720]  就像醫治恩賜或者講方言等等
[00:00:46.720 --> 00:00:49.520]  這些恩賜可以來服侍
[00:00:49.520 --> 00:00:53.520]  但是總之目標就是讓神得著榮耀
[00:00:53.520 --> 00:00:55.440]  今天我很想跟大家分享
[00:00:55.440 --> 00:00:57.240]  聖靈的另一個工作就是
[00:00:57.240 --> 00:01:00.320]  叫我們確認我們神兒女的身份
[00:01:00.320 --> 00:01:02.040]  確認我們神兒女的身份
[00:01:02.040 --> 00:01:05.560]  上一次的講道我也用過一個例子
[00:01:05.560 --> 00:01:07.280]  其實這個例子我也挺深刻的
[00:01:07.280 --> 00:01:12.600]  就是黎昏傳道有一次在《裝備》裡面說過
[00:01:12.600 --> 00:01:14.840]  就說有一個牧師是有經歷的
[00:01:14.840 --> 00:01:19.040]  就說有一個牧師在劍橋那裡講道
[00:01:19.040 --> 00:01:23.840]  聚會結束之後有一個二十五歲的猶太女生見他
[00:01:23.840 --> 00:01:25.680]  跟他聊天問了一條問題
[00:01:25.680 --> 00:01:30.800]  喂!牧師你說拿撒勒人耶穌現在仍然活著是不是?
[00:01:30.800 --> 00:01:33.200]  那牧師說是的,祂現在仍然活著
[00:01:33.200 --> 00:01:35.680]  然後那個女生繼續問他說
[00:01:35.680 --> 00:01:37.920]  如果耶穌現在仍然活著
[00:01:37.920 --> 00:01:40.520]  祂是不是應該是我們的彌賽亞?
[00:01:40.520 --> 00:01:44.120]  那牧師說是的,對的,祂是我們的彌賽亞
[00:01:44.120 --> 00:01:45.880]  那這個女生再問
[00:01:45.880 --> 00:01:48.960]  那我怎樣才知道祂仍然活著?
[00:01:48.960 --> 00:01:51.360]  大家記不記得那個答案?
[00:01:51.360 --> 00:01:56.000]  是的,你自己直接問祂,你自己直接問祂就知道了
[00:01:56.000 --> 00:01:59.280]  然後這個女生照做
[00:01:59.280 --> 00:02:00.600]  十分鐘之後
[00:02:00.600 --> 00:02:03.440]  那個女生就開始教這個牧師聖經
[00:02:03.440 --> 00:02:06.920]  因為耶穌終於回答了她
[00:02:06.920 --> 00:02:09.760]  耶穌回答她其實我就是一個自有永有
[00:02:09.760 --> 00:02:11.480]  並且今天仍然活著的神
[00:02:11.480 --> 00:02:13.040]  然後當她明白的時候
[00:02:13.040 --> 00:02:14.000]  她叮一聲
[00:02:14.000 --> 00:02:15.280]  她開始可以教人聖經
[00:02:15.280 --> 00:02:19.160]  因為聖經其實都在她背景裡面
[00:02:19.160 --> 00:02:21.960]  萬事俱備,止艷東風
[00:02:21.960 --> 00:02:28.760]  就是說如果她認識了聖經裡面所說的彌賽亞
[00:02:28.760 --> 00:02:32.040]  她就會明白整本聖經究竟在說什麼
[00:02:32.040 --> 00:02:36.160]  所以她就可以來教這個牧師聖經
[00:02:36.160 --> 00:02:39.040]  同樣道理
[00:02:39.040 --> 00:02:41.360]  如果我今天問你
[00:02:41.360 --> 00:02:44.280]  跟你說你是神的兒女
[00:02:44.280 --> 00:02:46.360]  你怎樣確定?
[00:02:46.360 --> 00:02:47.800]  我問你是神的兒女
[00:02:47.800 --> 00:02:51.400]  你問旁邊的那個,你是神的兒女
[00:02:51.400 --> 00:02:52.760]  你怎樣確定?
[00:02:52.760 --> 00:02:58.120]  你怎樣確定?
[00:02:58.120 --> 00:02:59.280]  有一次聖經這樣說
[00:02:59.280 --> 00:03:02.280]  《羅馬書》八章十四到十六節
[00:03:02.280 --> 00:03:04.080]  找到可以
[00:03:04.080 --> 00:03:06.520]  還有我也專門
[00:03:06.520 --> 00:03:09.480]  我真的很感謝Louis幫我弄這個PowerPoint
[00:03:09.480 --> 00:03:10.480]  因為我真的
[00:03:10.480 --> 00:03:12.840]  這一方面我開始認識多一點
[00:03:12.840 --> 00:03:16.480]  但是還不夠班可以展示出來
[00:03:16.480 --> 00:03:17.520]  所以,OK,好
[00:03:17.520 --> 00:03:18.800]  我們一起讀,好嗎?
[00:03:18.800 --> 00:03:20.800]  《羅馬書》八章十四到十六節
[00:03:20.800 --> 00:03:22.400]  預備,一字之音
[00:03:22.400 --> 00:03:27.200]  一位神的靈引導的,都是神的兒子
[00:03:27.200 --> 00:03:29.880]  你們所受的,不是奴僕的心
[00:03:29.880 --> 00:03:31.400]  仍舊害怕
[00:03:31.400 --> 00:03:33.800]  所受的,乃是兒子的心
[00:03:33.800 --> 00:03:36.520]  因此我們呼叫阿爸父
[00:03:36.520 --> 00:03:38.800]  聖靈與我們的心同正
[00:03:38.800 --> 00:03:40.800]  我們是神的兒女
[00:03:40.800 --> 00:03:41.600]  如果我再問你
[00:03:41.600 --> 00:03:42.600]  喂,你是神的兒女
[00:03:42.600 --> 00:03:46.800]  你怎樣證明?
[00:03:46.800 --> 00:03:47.800]  啊?
[00:03:47.800 --> 00:03:49.800]  聖靈與我們的心同正
[00:03:49.800 --> 00:03:51.800]  我們是神的兒女
[00:03:51.800 --> 00:03:52.800]  照讀就可以了
[00:03:52.800 --> 00:03:54.800]  有時候有聖經的東西,是嗎?
[00:03:54.800 --> 00:03:56.800]  聖靈與我們的心同正
[00:03:56.800 --> 00:03:58.800]  我們是神的兒女
[00:03:58.800 --> 00:03:59.800]  這樣
[00:03:59.800 --> 00:04:00.800]  所以其實
[00:04:00.800 --> 00:04:01.800]  但是如果這樣
[00:04:01.800 --> 00:04:03.800]  喂,聖靈怎樣證明我們是神的兒女?
[00:04:03.800 --> 00:04:06.800]  怎樣證明給我們看?
[00:04:06.800 --> 00:04:07.800]  其實這條問題
[00:04:07.800 --> 00:04:09.800]  非常值得探討
[00:04:09.800 --> 00:04:10.800]  非常值得探討
[00:04:10.800 --> 00:04:11.800]  因為一來
[00:04:11.800 --> 00:04:12.800]  我們看聖經
[00:04:12.800 --> 00:04:14.800]  當有不明白的時候
[00:04:14.800 --> 00:04:15.800]  大家是怎樣處理?
[00:04:15.800 --> 00:04:17.800]  我們都會和這些
[00:04:17.800 --> 00:04:19.800]  就是整個
[00:04:19.800 --> 00:04:21.800]  有很多基督徒的處理
[00:04:21.800 --> 00:04:23.800]  就是和全地很多基督徒
[00:04:23.800 --> 00:04:25.800]  非常同心合一的舉動
[00:04:25.800 --> 00:04:26.800]  就是
[00:04:26.800 --> 00:04:28.800]  一是跳到下一段
[00:04:28.800 --> 00:04:30.800]  一是整本聖經蓋起來
[00:04:30.800 --> 00:04:31.800]  就是我們不明白
[00:04:31.800 --> 00:04:32.800]  唉,我們不要了
[00:04:32.800 --> 00:04:34.800]  我們跳到下一段
[00:04:34.800 --> 00:04:36.800]  但是我們如果真的這樣做的時候
[00:04:36.800 --> 00:04:38.800]  我們就失去了很多
[00:04:38.800 --> 00:04:40.800]  神的祝福
[00:04:40.800 --> 00:04:43.800]  因為聖經是給我們明白神的
[00:04:43.800 --> 00:04:44.800]  當我們一不明白神
[00:04:44.800 --> 00:04:46.800]  而我們又不去問神的時候
[00:04:46.800 --> 00:04:48.800]  其實我們很浪費
[00:04:48.800 --> 00:04:50.800]  我們基本上不會認識到這個神
[00:04:50.800 --> 00:04:52.800]  就算可能認識到這個神
[00:04:52.800 --> 00:04:53.800]  就好像我上次所說的
[00:04:53.800 --> 00:04:55.800]  我們都好像核子魔杖
