
[00:00:00.000 --> 00:00:03.200]  如果還記得我在每個月的第一個主日
[00:00:03.200 --> 00:00:06.080]  我都會和大家分享尼希米記
[00:00:06.080 --> 00:00:09.840]  我們繼續延續,今天是尼希米記第七章
[00:00:09.840 --> 00:00:11.840]  大家可以看到一個新的系列
[00:00:11.840 --> 00:00:17.920]  整個故事就是尼希米領受了從上帝而來的異象和使命
[00:00:17.920 --> 00:00:22.480]  他就要回到自己的家鄉耶路撒冷城
[00:00:22.480 --> 00:00:30.960]  當時耶路撒冷城是一個破爛、城牆被毀、城牆裡面是荒涼的一個城市
[00:00:30.960 --> 00:00:38.800]  他很想回去重建城牆,維繫整群以色列人
[00:00:38.800 --> 00:00:43.760]  更加重要的是要建立這群以色列人和上帝的關係
[00:00:43.760 --> 00:00:48.320]  他用了多少天完成了這個工程?52天
[00:00:48.320 --> 00:00:55.120]  不是由什麼都沒有興建一個城牆,而是將破爛的城牆重新建立修補
[00:00:55.120 --> 00:00:58.320]  當中遇到很多困難,但是尼希米只要祈禱
[00:00:58.320 --> 00:01:02.320]  只要上帝給他的智慧,只要一群同心的領袖
[00:01:02.320 --> 00:01:04.720]  終於52天完成了這個工程
[00:01:04.720 --> 00:01:09.760]  在上個月的講道,我就介紹多一個人物叫以斯拉
[00:01:09.760 --> 00:01:14.080]  特別是重點在以斯拉記的第七章第十節說
[00:01:14.080 --> 00:01:17.440]  以斯拉定志考究,遵行耶華的律法
[00:01:17.440 --> 00:01:20.080]  又將律例典章教訓以色列人
[00:01:20.080 --> 00:01:26.080]  如果說建城牆是需要那些磚頭、泥土、木頭等等
[00:01:26.080 --> 00:01:30.720]  要建立一群聖民,建立這群屬神的百姓
[00:01:30.720 --> 00:01:32.320]  應該用什麼來建立呢?
[00:01:32.320 --> 00:01:34.720]  自然就是用上帝的話語
[00:01:34.720 --> 00:01:39.280]  所以在尼希米的第八章之後,到第十三章
[00:01:39.280 --> 00:01:44.400]  尼希米和以斯拉這兩個人物就會聯手一起去重建聖民
[00:01:44.400 --> 00:01:47.120]  借上帝的話語去建立他們
[00:01:47.120 --> 00:01:49.600]  而第七章就是一個轉捩點
[00:01:49.600 --> 00:01:57.360]  就是尼希米如何去準備在人才上、策略上、奉獻上去建立一群聖民
[00:01:57.360 --> 00:01:58.800]  大家準備好了沒有?
[00:01:58.800 --> 00:02:01.920]  你準備好聆聽神的話語了沒有?
[00:02:01.920 --> 00:02:04.800]  沒有什麼反應,即是還沒準備好
[00:02:04.800 --> 00:02:07.520]  看看這個跑步員,Are you ready?
[00:02:07.520 --> 00:02:10.320]  Ready!好,我們一起心禱告
[00:02:10.320 --> 00:02:15.280]  秋天父,多謝你讓我們能夠一起回到教會去聆聽神的話語
[00:02:15.280 --> 00:02:18.080]  當我們要去聆聽訊息的時候
[00:02:18.080 --> 00:02:20.560]  我們先再用禱告去作準備
[00:02:20.560 --> 00:02:22.560]  求聖靈開啟我們的心
[00:02:22.560 --> 00:02:25.600]  讓我們願意被你的話語去塗造
[00:02:25.600 --> 00:02:27.360]  去成為上帝你的選民
[00:02:27.360 --> 00:02:28.960]  成為上帝你的百姓
[00:02:28.960 --> 00:02:32.160]  成為神你的基督的門徒
[00:02:32.160 --> 00:02:35.200]  又願你使用我作為你的流通的管子
[00:02:35.200 --> 00:02:38.080]  讓我先作準備在你的話語當中
[00:02:38.080 --> 00:02:43.920]  以致我今天能夠按著正義去分解、去分享、去正道
[00:02:43.920 --> 00:02:47.760]  讓弟兄姊妹透過你的話語能夠活出神你的心意
[00:02:47.760 --> 00:02:49.760]  求你帶領我們今天的時間
[00:02:49.760 --> 00:02:52.560]  禱告奉耶穌基督得聖名自祈求
[00:02:52.560 --> 00:02:53.520]  Amen
[00:02:53.520 --> 00:02:55.040]  我們中國人有句話說
[00:02:55.040 --> 00:02:58.800]  公欲善其事,必先利其器
[00:02:58.800 --> 00:02:59.440]  沒錯
[00:02:59.440 --> 00:03:02.960]  當我們要做一件事,我們必須要有作好準備
[00:03:02.960 --> 00:03:04.960]  現代人也有句話
[00:03:04.960 --> 00:03:06.960]  機會只是留給什麼人?
[00:03:06.960 --> 00:03:08.240]  有準備的人
[00:03:08.240 --> 00:03:09.920]  所以我們要作好準備
[00:03:09.920 --> 00:03:11.520]  接著有人說
[00:03:11.520 --> 00:03:13.280]  成功就留給什麼人呢?
[00:03:13.280 --> 00:03:15.840]  就是有準備,能夠抓住機會的人
[00:03:15.840 --> 00:03:17.840]  所以我們也要作好準備
[00:03:17.840 --> 00:03:19.840]  9月1日是什麼日子?
[00:03:19.840 --> 00:03:22.880]  開學禮了,大家很快反應了這句
[00:03:22.880 --> 00:03:25.200]  很多家長你會怎麼準備開學禮呢?
[00:03:25.200 --> 00:03:27.200]  照道理應該是我們子女準備的
[00:03:27.200 --> 00:03:29.040]  但是我跟子女說
[00:03:29.040 --> 00:03:32.000]  你早兩天麻煩你試一下校服
[00:03:32.000 --> 00:03:34.400]  因為我真的試過9月1日兒子
[00:03:34.400 --> 00:03:37.760]  又說自己家裡的事
[00:03:37.760 --> 00:03:40.080]  他在哪裡?可能在對面
[00:03:40.080 --> 00:03:42.720]  校服可能會不對,買不及
[00:03:42.720 --> 00:03:44.720]  所以早兩天要做準備
[00:03:44.720 --> 00:03:46.720]  我看到家長更厲害
[00:03:46.720 --> 00:03:48.720]  他們早兩天試一下上學
[00:03:48.720 --> 00:03:50.720]  試一下車程,時間
[00:03:50.720 --> 00:03:52.720]  有沒有坐錯巴士等等
[00:03:52.720 --> 00:03:54.720]  所以很多事情都要做準備
[00:03:54.720 --> 00:03:56.720]  譬如剛剛打風
[00:03:56.720 --> 00:03:58.720]  8號風球
[00:03:58.720 --> 00:04:00.720]  如果我們沒有作好防風措施
[00:04:00.720 --> 00:04:02.720]  就很大的問題
[00:04:02.720 --> 00:04:04.720]  我們看到澳門就是
[00:04:04.720 --> 00:04:06.720]  遇到這樣的風暴
[00:04:06.720 --> 00:04:08.720]  一個10號風球
[00:04:08.720 --> 00:04:10.720]  整個澳門好像變了第二個悲情城市
[00:04:10.720 --> 00:04:12.720]  我們一會兒為澳門祈禱
[00:04:12.720 --> 00:04:14.720]  他們斷水斷糧
[00:04:14.720 --> 00:04:16.720]  很多事情
[00:04:16.720 --> 00:04:18.720]  原來之前準備功夫很重要
[00:04:18.720 --> 00:04:20.720]  當我們說
[00:04:20.720 --> 00:04:22.720]  尼西米爾經在硬件上
[00:04:22.720 --> 00:04:24.720]  重建城牆
[00:04:24.720 --> 00:04:26.720]  他在軟件上就要建立一群聖文
[00:04:26.720 --> 00:04:28.720]  他要做什麼準備呢?
[00:04:28.720 --> 00:04:30.720]  我們會看尼西米爾第七章
[00:04:30.720 --> 00:04:34.720]  1至73節
[00:04:34.720 --> 00:04:36.720]  聽完都很害怕
[00:04:36.720 --> 00:04:38.720]  要看這麼多經文
[00:04:38.720 --> 00:04:40.720]  我真的不會放在課堂
[00:04:40.720 --> 00:04:42.720]  所以要大家打開聖經
[00:04:42.720 --> 00:04:44.720]  請大家打開你的聖經
[00:04:44.720 --> 00:04:46.720]  尼西米爾
[00:04:46.720 --> 00:04:48.720]  在我的聖經是舊約
[00:04:48.720 --> 00:04:50.720]  第597頁
[00:04:50.720 --> 00:04:54.720]  我鼓勵大家
[00:04:54.720 --> 00:04:56.720]  幫你未找到聖經的弟兄姊妹
[00:04:56.720 --> 00:04:58.720]  或者新朋友幫你撿這本聖經
[00:04:58.720 --> 00:05:00.720]  我們會看
[00:05:00.720 --> 00:05:02.720]  當中部分的經文
[00:05:02.720 --> 00:05:04.720]  不會看73節,但都需要打開聖經
[00:05:04.720 --> 00:05:06.720]  尼西米爾第七章
[00:05:06.720 --> 00:05:08.720]  1至73節
[00:05:08.720 --> 00:05:10.720]  聖經就在你前面的椅子下
[00:05:10.720 --> 00:05:12.720]  就已經有了
[00:05:12.720 --> 00:05:14.720]  尼米爾第七章
[00:05:14.720 --> 00:05:16.720]  1至73節
[00:05:16.720 --> 00:05:18.720]  在我的聖經是597頁
[00:05:18.720 --> 00:05:22.720]  當大家看到聖經的時候
[00:05:22.720 --> 00:05:24.720]  我簡略說一下大綱
[00:05:24.720 --> 00:05:26.720]  我把它分成幾個段落
[00:05:26.720 --> 00:05:30.720]  第一個段落在1至3節
[00:05:30.720 --> 00:05:32.720]  是人才的準備
[00:05:32.720 --> 00:05:34.720]  你會看到尼西米爾
[00:05:34.720 --> 00:05:36.720]  開始
[00:05:36.720 --> 00:05:38.720]  他要做的工作
[00:05:38.720 --> 00:05:40.720]  另外你看到尼西米爾也是一個
[00:05:40.720 --> 00:05:42.720]  屬靈的領袖,很有長遠眼光
[00:05:42.720 --> 00:05:44.720]  他用一個屬靈的原則
[00:05:44.720 --> 00:05:46.720]  去策略的準備
[00:05:46.720 --> 00:05:48.720]  去到6至69節
[00:05:48.720 --> 00:05:50.720]  是一個很長的名單
[00:05:50.720 --> 00:05:52.720]  尼西米爾找回一個歷史的名單
[00:05:52.720 --> 00:05:54.720]  就是第一批回歸
[00:05:54.720 --> 00:05:56.720]  耶路撒冷城的人的名單
[00:05:56.720 --> 00:05:58.720]  在當中給尼西米爾
[00:05:58.720 --> 00:06:00.720]  知道一些策略上的安排
[00:06:00.720 --> 00:06:02.720]  去到70節到72節
[00:06:02.720 --> 00:06:04.720]  他們在奉獻上的準備
[00:06:04.720 --> 00:06:06.720]  而73節是一個結論
[00:06:06.720 --> 00:06:08.720]  我請大家幫我讀出1至2節就可以了
[00:06:08.720 --> 00:06:10.720]  1,2,3
[00:06:10.720 --> 00:06:12.720]  城牆修完
[00:06:12.720 --> 00:06:14.720]  我安了門扇守門的
[00:06:14.720 --> 00:06:16.720]  歌唱的和利美人都已派定
[00:06:16.720 --> 00:06:20.720]  我就派我的弟兄哈拿尼
[00:06:20.720 --> 00:06:22.720]  和仍留的宰官
[00:06:22.720 --> 00:06:24.720]  哈拿尼亞管理耶路撒冷
[00:06:24.720 --> 00:06:28.720]  因為哈拿尼亞是忠信的
[00:06:28.720 --> 00:06:30.720]  又敬畏神過於眾人
[00:06:30.720 --> 00:06:32.720]  我們在這裡停一停
[00:06:32.720 --> 00:06:36.720]  當尼西米爾
[00:06:36.720 --> 00:06:38.720]  建好城牆之後
[00:06:38.720 --> 00:06:40.720]  如果你是尼西米爾
