
[00:00:00.000 --> 00:00:05.000]  提交文件:財經事務及庫務局局長的發言 - 由梁國雄議員發言
[00:00:30.000 --> 00:00:36.000]  梁國雄議員
[00:01:00.000 --> 00:01:06.000]  張超雄議員
[00:01:30.000 --> 00:01:36.000]  張超雄議員
[00:02:00.000 --> 00:02:06.000]  張超雄議員
[00:02:30.000 --> 00:02:36.000]  張超雄議員
[00:03:00.000 --> 00:03:06.000]  張超雄議員
[00:03:30.000 --> 00:03:36.000]  張超雄議員
[00:04:00.000 --> 00:04:06.000]  張超雄議員
[00:04:30.000 --> 00:04:36.000]  張超雄議員
[00:05:00.000 --> 00:05:06.000]  張超雄議員
[00:05:30.000 --> 00:05:36.000]  張超雄議員
[00:06:00.000 --> 00:06:06.000]  張超雄議員
[00:06:30.000 --> 00:06:36.000]  張超雄議員
[00:07:00.000 --> 00:07:06.000]  張超雄議員
[00:07:30.000 --> 00:07:36.000]  張超雄議員
[00:08:00.000 --> 00:08:06.000]  張超雄議員
[00:08:30.000 --> 00:08:36.000]  張超雄議員
[00:09:00.000 --> 00:09:06.000]  張超雄議員
[00:09:30.000 --> 00:09:36.000]  張超雄議員
[00:10:00.000 --> 00:10:06.000]  張超雄議員
[00:10:30.000 --> 00:10:36.000]  張超雄議員
[00:11:00.000 --> 00:11:06.000]  張超雄議員
[00:11:30.000 --> 00:11:36.000]  張超雄議員
[00:12:00.000 --> 00:12:06.000]  張超雄議員
[00:12:30.000 --> 00:12:36.000]  梁國雄議員
[00:13:00.000 --> 00:13:06.000]  梁國雄議員
[00:13:30.000 --> 00:13:36.000]  張超雄議員
[00:14:00.000 --> 00:14:06.000]  張超雄議員
[00:14:30.000 --> 00:14:36.000]  張超雄議員
[00:15:00.000 --> 00:15:06.000]  梁國雄議員
[00:15:30.000 --> 00:15:36.000]  張超雄議員
[00:16:00.000 --> 00:16:06.000]  張超雄議員
[00:16:30.000 --> 00:16:36.000]  張超雄議員
[00:17:00.000 --> 00:17:06.000]  張超雄議員
[00:17:30.000 --> 00:17:36.000]  張超雄議員
[00:18:00.000 --> 00:18:06.000]  張超雄議員
[00:18:30.000 --> 00:18:36.000]  張超雄議員
[00:19:00.000 --> 00:19:06.000]  張超雄議員
[00:19:30.000 --> 00:19:36.000]  張超雄議員
[00:20:00.000 --> 00:20:06.000]  張超雄議員
[00:20:30.000 --> 00:20:36.000]  張超雄議員
[00:21:00.000 --> 00:21:06.000]  張超雄議員
[00:21:30.000 --> 00:21:36.000]  梁國雄議員
[00:22:00.000 --> 00:22:06.000]  張超雄議員
[00:22:30.000 --> 00:22:36.000]  張超雄議員
[00:23:00.000 --> 00:23:06.000]  張超雄議員
[00:23:30.000 --> 00:23:36.000]  張超雄議員
[00:24:00.000 --> 00:24:06.000]  張超雄議員
[00:24:30.000 --> 00:24:34.000]  是上帝對我們每一個人的一時同仁
[00:24:34.000 --> 00:24:38.000]  以及一種恩惠
[00:24:38.000 --> 00:24:42.000]  如果我們家裏有這麼多兄弟姐妹
[00:24:42.000 --> 00:24:44.000]  有些很有錢,有些沒那麼多錢
[00:24:44.000 --> 00:24:46.000]  有錢的那個說
[00:24:46.000 --> 00:24:48.000]  你們個個都不用給爸爸媽媽了,我全給了
[00:24:48.000 --> 00:24:50.000]  你會開心嗎?
