
[00:00:00.000 --> 00:00:06.560]  好,在十週年裏,我們有一個講道的系列,就叫做「NEXT」
[00:00:06.560 --> 00:00:09.360]  我們這次是第二講
[00:00:09.360 --> 00:00:12.520]  上一次我們講到阿布拉罕的故事
[00:00:12.520 --> 00:00:15.880]  我們說整本聖經,由《創世紀》到《啟示錄》
[00:00:15.880 --> 00:00:18.840]  去到介紹一位上帝是怎樣的上帝呢?
[00:00:18.840 --> 00:00:21.880]  這位上帝是「Guardian Mission」
[00:00:21.880 --> 00:00:23.360]  是「Missionary God」
[00:00:23.360 --> 00:00:25.840]  是一個宣教宗的上帝
[00:00:25.840 --> 00:00:27.840]  上帝沒有放棄過這個世界
[00:00:27.840 --> 00:00:30.360]  雖然這個世界是亂七八糟
[00:00:30.360 --> 00:00:32.360]  我們生命亂七八糟
[00:00:32.360 --> 00:00:34.360]  但是上帝一直沒有放棄過我們
[00:00:34.360 --> 00:00:36.360]  祂的「Mission」就是去拯救我們
[00:00:36.360 --> 00:00:41.440]  拯救世人和拯救整個的地
[00:00:41.440 --> 00:00:45.040]  我們這次開始的時候,用這張圖片來開始
[00:00:45.040 --> 00:00:50.320]  這個是在巴黎聖母院的天主教教堂裏面拍攝的
[00:00:50.320 --> 00:00:51.840]  大家有沒有去過?
[00:00:51.840 --> 00:00:55.160]  或者見過這樣的影像
[00:00:55.160 --> 00:00:57.160]  就是「Stained Glass」
[00:00:57.160 --> 00:01:00.800]  教堂裏面有一些特別傳統的教堂
[00:01:00.800 --> 00:01:05.160]  他們的裝修或者他們的裝置
[00:01:05.160 --> 00:01:08.360]  都會有一些彩色的玻璃窗
[00:01:08.360 --> 00:01:09.640]  「Stained Glass」
[00:01:09.640 --> 00:01:13.040]  陽光照下來的時候,就會很漂亮的
[00:01:13.040 --> 00:01:15.040]  有沒有印象?
[00:01:15.040 --> 00:01:17.040]  你知不知道我們教會有的?
[00:01:17.040 --> 00:01:19.040]  其實我們沒有的
[00:01:19.040 --> 00:01:20.280]  我們沒有「Stained Glass」
[00:01:20.280 --> 00:01:22.560]  因為我們不屬於那個世代
[00:01:22.560 --> 00:01:27.800]  但是這個世代,就是以前的教堂,古代教堂的那個世代
[00:01:27.800 --> 00:01:29.800]  他們就有一種這樣的裝置
[00:01:29.800 --> 00:01:33.120]  話說這個裝置就是十二世紀開始的
[00:01:33.120 --> 00:01:36.440]  當時有個神學家他認為教會的牆
[00:01:36.440 --> 00:01:38.440]  其實應該要有光照進來
[00:01:38.440 --> 00:01:40.440]  因為光就代表什麼?
[00:01:40.440 --> 00:01:41.760]  代表上帝,是不是?
[00:01:41.760 --> 00:01:42.760]  代表上帝
[00:01:42.760 --> 00:01:46.960]  所以他就將這些牆拆了,然後弄一些窗上去
[00:01:46.960 --> 00:01:51.920]  當時也有一些彩色的玻璃開始技術成熟
[00:01:51.920 --> 00:01:56.400]  所以就用這些新的技術來做一些「Stained Glass」
[00:01:56.400 --> 00:02:00.240]  很多時候就弄一些標誌,或者弄一些聖經的故事
[00:02:00.240 --> 00:02:04.080]  或者一些圖畫等等
[00:02:04.080 --> 00:02:09.520]  就給信眾去到教堂的時候,他能夠看到聖經的一些信息等等
[00:02:09.520 --> 00:02:13.040]  「Stained Glass」告訴我們每一個碎片
[00:02:13.040 --> 00:02:17.760]  是一起放在一起才會組成整幅圖畫
[00:02:17.760 --> 00:02:21.480]  那個「Stained Glass」每一塊的碎片
[00:02:21.480 --> 00:02:26.360]  它自己只是一個很小的角落
[00:02:26.360 --> 00:02:29.560]  它需要其他的碎片來和它一起組織
[00:02:29.560 --> 00:02:32.320]  並且背後有一個工匠
[00:02:32.320 --> 00:02:37.720]  然後工匠很巧妙地將「Stained Glass」不同的顏色、圖案等等
[00:02:37.720 --> 00:02:41.280]  放在一起才會有一幅圖畫
[00:02:41.280 --> 00:02:44.360]  為什麼用這個圖畫來開始呢?
[00:02:44.360 --> 00:02:47.280]  因為我們繼續看創世紀的故事的時候
[00:02:47.280 --> 00:02:51.440]  我們發現創世紀的故事,特別是那些所謂族長的故事
[00:02:51.440 --> 00:02:55.080]  亞伯拉罕、以撒、瓦國、約瑟、猶大等等
