
[00:00:00.000 --> 00:00:02.320]  大興致 無主內 平安
[00:00:02.320 --> 00:00:04.320]  很高興今天是二零二五年
[00:00:04.320 --> 00:00:08.160]  第一次在港台和大家見面
[00:00:08.160 --> 00:00:10.400]  今天講的題目是《嬌與傲》
[00:00:10.400 --> 00:00:13.680]  是講到約翰一書今生的嬌傲
[00:00:13.680 --> 00:00:14.920]  我最嬌傲的是什麼呢
[00:00:14.920 --> 00:00:16.040]  就是我們教會的主席
[00:00:16.040 --> 00:00:17.880]  叫我做親愛的傳道
[00:00:17.880 --> 00:00:19.520]  很親切
[00:00:19.520 --> 00:00:22.000]  很少聽到這麼親切的話
[00:00:22.000 --> 00:00:25.000]  有時候會問
[00:00:25.000 --> 00:00:28.440]  今天是什麼世界
[00:00:28.440 --> 00:00:33.720]  聖誕前講到今天是一個
[00:00:33.720 --> 00:00:35.760]  羅亞時代的世界
[00:00:35.760 --> 00:00:39.240]  是一個荒中情慾的世界
[00:00:39.240 --> 00:00:41.560]  是一個不理後果
[00:00:41.560 --> 00:00:44.320]  想做就去做的世界
[00:00:44.320 --> 00:00:47.560]  今天我們話題轉一轉
[00:00:47.560 --> 00:00:49.240]  就講到嬌與傲
[00:00:49.240 --> 00:00:51.640]  看到今天我們的世界是什麼世界呢
[00:00:51.640 --> 00:00:56.040]  原來今天的世界是一個競爭的世界
[00:00:56.040 --> 00:00:59.120]  每一樣東西都要鬥的
[00:00:59.120 --> 00:01:01.360]  其實有時候在香港過來的朋友
[00:01:01.360 --> 00:01:03.160]  就應該很清楚知道
[00:01:03.160 --> 00:01:05.080]  這個世界是很大的競爭
[00:01:05.080 --> 00:01:07.280]  差不多嬰兒還沒出生
[00:01:07.280 --> 00:01:09.520]  就已經跟別人拿好學校的
[00:01:09.520 --> 00:01:13.280]  幼稚園入學的申請表
[00:01:13.280 --> 00:01:15.080]  因為我們不想他
[00:01:15.080 --> 00:01:16.000]  經常都講那句
[00:01:16.000 --> 00:01:17.600]  就是不想他輸了在什麼
[00:01:17.600 --> 00:01:19.240]  在起跑線那裡
[00:01:19.240 --> 00:01:21.360]  你想想別人跑步的時候
[00:01:21.360 --> 00:01:23.000]  別人個個都跑你還在
[00:01:23.000 --> 00:01:26.320]  你一定就這一輩子都追不回來
[00:01:26.320 --> 00:01:28.600]  所以我們就
[00:01:28.600 --> 00:01:32.280]  很多時候我們就在這樣的環境裡長大
[00:01:32.280 --> 00:01:33.920]  這個都不是現在的了
[00:01:33.920 --> 00:01:35.400]  其實以前都是的
[00:01:35.400 --> 00:01:36.880]  以前我講到都講過了
[00:01:36.880 --> 00:01:39.280]  有一個令到我到現在今天
[00:01:39.280 --> 00:01:41.280]  都是有創傷後遺症是什麼呢
[00:01:41.280 --> 00:01:45.040]  就是我父母經常要我跟隔壁的嬰兒量高
[00:01:45.040 --> 00:01:46.720]  看看誰高一點
[00:01:46.720 --> 00:01:51.120]  就每個月都拿出來量一下
[00:01:51.120 --> 00:01:53.000]  別人嬰兒又高了兩吋
[00:01:53.000 --> 00:01:54.520]  為什麼你只有一吋
[00:01:54.520 --> 00:01:56.200]  是不是你沒有吃東西
[00:01:56.200 --> 00:01:57.560]  營養不夠
[00:01:57.560 --> 00:01:59.240]  打多一點籃球
[00:01:59.240 --> 00:02:01.160]  我又沒有見過別人打籃球一定是高
[00:02:01.160 --> 00:02:02.400]  跳多一點繩子
[00:02:02.400 --> 00:02:04.160]  我說跳繩子越蹬越矮
[00:02:04.160 --> 00:02:07.480]  所以呢就
[00:02:07.480 --> 00:02:09.480]  怕我輸了給起跑線
[00:02:09.480 --> 00:02:10.880]  就因為可能真的
[00:02:10.880 --> 00:02:12.840]  長得高大就比較有好處
[00:02:12.840 --> 00:02:14.600]  實在這個世界也是的
[00:02:14.600 --> 00:02:18.320]  所以呢我們是競爭的世界
[00:02:18.320 --> 00:02:21.120]  這個是一個我們所謂winners take all
[00:02:21.120 --> 00:02:21.920]  英文有一個俚語
[00:02:21.920 --> 00:02:24.960]  就是說中文如果硬要翻譯就是
[00:02:24.960 --> 00:02:27.280]  勝者為王 敗者為寇
[00:02:27.280 --> 00:02:30.800]  就是你winner你贏那個就什麼都給你拿了
[00:02:30.800 --> 00:02:34.600]  就是譬如你在音樂比賽那裡
[00:02:34.600 --> 00:02:35.960]  你拿到亞軍
