
[00:00:00.000 --> 00:00:02.800]  今天是聖學主日
[00:00:02.800 --> 00:00:06.500]  所以讓我們再一次思想
[00:00:06.500 --> 00:00:12.100]  敬拜神、歌頌神、讚美神的意義
[00:00:12.100 --> 00:00:16.100]  以及當中我們可以學甚麼功課
[00:00:16.100 --> 00:00:18.200]  我相信大家都會同意
[00:00:18.200 --> 00:00:20.300]  當我們信了主之後
[00:00:20.300 --> 00:00:24.500]  其中我們作為個人的、個別的基督徒
[00:00:24.500 --> 00:00:28.700]  或者我們整個基督徒群體的聚集
[00:00:28.700 --> 00:00:30.700]  有一個信仰實踐
[00:00:30.700 --> 00:00:33.300]  我們都會放上
[00:00:33.300 --> 00:00:34.700]  是甚麼呢?
[00:00:34.700 --> 00:00:38.300]  就是一起去敬拜、讚美
[00:00:38.300 --> 00:00:43.300]  又或者是我們個人的敬拜、讚美
[00:00:43.300 --> 00:00:46.700]  因為這是最自然不過的事
[00:00:46.700 --> 00:00:52.300]  神揀選了我們、施恩給我們、拯救了我們
[00:00:52.300 --> 00:00:53.900]  我們認識了祂
[00:00:53.900 --> 00:00:55.700]  祂是尊崇的主
[00:00:55.700 --> 00:01:00.900]  所以我們很自然地去敬拜祂、讚美祂
[00:01:00.900 --> 00:01:04.700]  展開了我們基督徒信仰的生活
[00:01:04.700 --> 00:01:07.700]  微信之前我們沒有這些
[00:01:07.700 --> 00:01:10.700]  或者我們只是拜一些偶像、假神
[00:01:10.700 --> 00:01:12.700]  當我們認識了神之後
[00:01:12.700 --> 00:01:19.100]  我們就很開心快樂地去敬拜、讚美這位獨一的主
[00:01:19.100 --> 00:01:20.700]  就是主耶穌
[00:01:20.700 --> 00:01:22.100]  復活的主
[00:01:22.100 --> 00:01:24.100]  拯救我們的神
[00:01:24.100 --> 00:01:28.700]  所以我們要實踐敬拜、實踐讚美
[00:01:28.700 --> 00:01:30.700]  我們會天天地讚美
[00:01:30.700 --> 00:01:33.100]  我們會時時地敬拜
[00:01:33.100 --> 00:01:35.100]  當然更加重要
[00:01:35.100 --> 00:01:37.500]  我們在星期日的時候
[00:01:37.500 --> 00:01:41.100]  我們劃出一段時間分別為聖
[00:01:41.100 --> 00:01:48.500]  我們眾基督徒一齊地去聚集、敬拜、讚美神
[00:01:48.500 --> 00:01:52.500]  這是很好的操練、很好的學習
[00:01:52.500 --> 00:01:58.100]  讓我們今天都去思想什麼叫敬拜
[00:01:58.100 --> 00:02:00.100]  讓我們在聖學主日裡面
[00:02:00.100 --> 00:02:03.100]  當我們有很多的敬拜實踐的時候
[00:02:03.100 --> 00:02:09.700]  我們是不是真的按著神的心意去敬拜、去呈現最好的呢?
[00:02:09.700 --> 00:02:13.700]  我不知道大家對敬拜這個方面的認識有多少
[00:02:13.700 --> 00:02:15.900]  或者大家都已經很熟了
[00:02:15.900 --> 00:02:19.900]  當我們稍微想一想什麼叫敬拜的時候
[00:02:19.900 --> 00:02:23.500]  原來在希伯來人的了解裡面
[00:02:23.500 --> 00:02:29.100]  敬拜是和俯伏在神面前有關的
[00:02:29.100 --> 00:02:31.100]  今天我們回來主日崇拜
[00:02:31.100 --> 00:02:33.300]  是不是有這樣的心呢?
[00:02:33.300 --> 00:02:38.300]  還是說我們好像來參加一個聚會那麼簡單呢?
[00:02:38.300 --> 00:02:41.900]  我們有一個俯伏敬拜神的心
[00:02:41.900 --> 00:02:43.300]  有這樣的意思
[00:02:43.300 --> 00:02:45.100]  當你俯伏敬拜的時候
[00:02:45.100 --> 00:02:50.700]  很自然你會有一種很謙卑的態度 尊崇神
[00:02:50.700 --> 00:02:54.100]  不只是來逛逛、來出現一下那麼簡單
