
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹晚安
[00:00:02.000 --> 00:00:06.500]  今天跟大家分享一個題目叫
[00:00:06.500 --> 00:00:09.500]  上帝終於開口回應
[00:00:09.500 --> 00:00:11.500]  我不知道大家有沒有經驗
[00:00:11.500 --> 00:00:15.500]  就是你曾經等候上帝回應你
[00:00:15.500 --> 00:00:19.500]  你的禱告、尋問的經驗
[00:00:19.500 --> 00:00:27.500]  不知道是不是我們習慣
[00:00:27.500 --> 00:00:29.500]  很多事情都是自己處理
[00:00:29.500 --> 00:00:33.500]  或者我們很少遇到一些
[00:00:33.500 --> 00:00:35.500]  自己處理不了的事情要麻煩上帝
[00:00:35.500 --> 00:00:39.500]  所以我們可能沒有這個經驗
[00:00:39.500 --> 00:00:42.500]  如果真的的話
[00:00:42.500 --> 00:00:44.500]  你可能很有福
[00:00:44.500 --> 00:00:46.500]  不過又可能是無福
[00:00:46.500 --> 00:00:48.500]  有福在於你沒有遇到一些
[00:00:48.500 --> 00:00:51.500]  你覺得無奈、無力
[00:00:51.500 --> 00:00:53.500]  自己應付不了的事情
[00:00:53.500 --> 00:00:55.500]  這也是一個福份
[00:00:55.500 --> 00:00:57.500]  為什麼我說是無福呢
[00:00:57.500 --> 00:00:59.500]  無福在於你沒有遇到一件事情
[00:00:59.500 --> 00:01:01.500]  足以讓你看到
[00:01:01.500 --> 00:01:04.500]  人類本身有限的特質
[00:01:04.500 --> 00:01:06.500]  有限是我們的真相
[00:01:06.500 --> 00:01:08.500]  當我們遇到一些
[00:01:08.500 --> 00:01:10.500]  我們不能應付的事情的時候
[00:01:10.500 --> 00:01:13.500]  可能很自然地你會去尋問上帝
[00:01:13.500 --> 00:01:15.500]  來到你的面前
[00:01:15.500 --> 00:01:18.500]  希望祂能夠給你一個回應
[00:01:18.500 --> 00:01:20.500]  在這個尋問的過程
[00:01:20.500 --> 00:01:24.500]  你能夠跟上帝有一個相遇的機會
[00:01:24.500 --> 00:01:26.500]  可能你也說
[00:01:26.500 --> 00:01:27.500]  我問過了
[00:01:27.500 --> 00:01:29.500]  我等了很久
[00:01:29.500 --> 00:01:31.500]  祂也沒有回應
[00:01:31.500 --> 00:01:34.500]  是有時候要等候的
[00:01:34.500 --> 00:01:36.500]  而等候的過程
[00:01:36.500 --> 00:01:39.500]  又真的很磨人
[00:01:39.500 --> 00:01:41.500]  很難纏
[00:01:41.500 --> 00:01:45.500]  《若白記》我不知道大家有沒有機會去看過
[00:01:45.500 --> 00:01:48.500]  這本書也是我在舊約裡
[00:01:48.500 --> 00:01:51.500]  很喜歡的一本書
[00:01:51.500 --> 00:01:54.500]  今天跟大家分享的是38章
[00:01:54.500 --> 00:01:57.500]  《若白記》是由1至37章
[00:01:57.500 --> 00:02:00.500]  上帝一直的真物
[00:02:00.500 --> 00:02:02.500]  對於若白有很多的指控
[00:02:02.500 --> 00:02:04.500]  他沒有任何的回答
[00:02:04.500 --> 00:02:06.500]  直到38章
[00:02:06.500 --> 00:02:09.500]  當然我今天跟大家分享的是11節
[00:02:09.500 --> 00:02:11.500]  上帝不只是說11節
[00:02:11.500 --> 00:02:13.500]  由整個38至41章
[00:02:13.500 --> 00:02:15.500]  都是上帝對若白
[00:02:15.500 --> 00:02:19.500]  控訴、質問的一些回應
[00:02:19.500 --> 00:02:23.500]  我們一起讀一下11節的經文
[00:02:23.500 --> 00:02:25.500]  我們一起重讀
[00:02:25.500 --> 00:02:27.500]  (文字)
[00:02:27.500 --> 00:02:29.500]  (文字)
[00:02:30.500 --> 00:02:32.500]  (文字)
[00:02:32.500 --> 00:02:57.140]  你的言語使我的旨意暗昧不明,你要如勇士蓄要,我問你,你可以讓我知道,我立大地根基的時候,你在哪裡?你若明白是你,只管說吧,知道是誰定地的尺度?是誰把準繩拉在旗上嗎?
[00:02:57.140 --> 00:03:10.660]  你的根基安置在何處?你的角色是誰安放的?那時神聲一同歌唱,上帝的眾使者也都歡呼。
[00:03:10.660 --> 00:03:28.820]  當海水沖出,如出母胎,誰用門將她關閉呢?是愛用雲彩當海的衣服,用幽暗當包裹她的布,為她定界限,又安門和山。
[00:03:28.820 --> 00:03:39.700]  說:你只可到這裏,不可越過,你狂傲的浪要到此止住。
[00:03:39.700 --> 00:03:45.620]  經文讀完,想和大家分享一下關於若白記的背景。
[00:03:45.620 --> 00:04:01.700]  若白記顧名思義,主角是若白,在聖經裏被上帝認為是一位完全正直,敬畏上帝,遠離惡事的族長,這是上帝所說的第一章八節。
[00:04:01.700 --> 00:04:13.860]  在撒旦的控訴下,上帝容許有很嚴厲的、很厲害的試煉臨到若白。
[00:04:13.860 --> 00:04:28.180]  撒旦認為若白之所以敬畏上帝,背後的原因是因為上帝賜福保護他和他家人,又讓他有那麼多家產,他當然敬畏你。
[00:04:28.180 --> 00:04:33.300]  於是在上帝的容許下,撒旦伸手加害若白。
[00:04:33.300 --> 00:04:46.420]  若白從兒女成群、產業非常豐富下,一下子全部失去,他的身體還患上令人厭惡的疾病。
[00:04:46.420 --> 00:04:52.180]  在這連串災禍中,若白仍然持守信仰對上帝忠心。
[00:04:52.180 --> 00:05:02.580]  就像撒旦在上帝面前控訴的預言,當你加害他的時候,他一定當面背棄你。
[00:05:02.580 --> 00:05:07.060]  沒有,若白沒有。若白沒有背棄上帝。
[00:05:07.060 --> 00:05:12.020]  接著我看到若白的三個朋友走來安慰若白。
[00:05:12.020 --> 00:05:18.740]  他們用傳統的觀念去解釋若白他所受的苦難。
[00:05:18.740 --> 00:05:25.300]  這三個朋友認為上帝是公義的,上帝是一位賞善罰惡的上帝。
