
[00:00:00.000 --> 00:00:04.000]  感謝主啊!我們先來一起祈禱
[00:00:04.000 --> 00:00:06.500]  參拜天父,我們感謝祢的恩典
[00:00:06.500 --> 00:00:10.000]  讓我們可以在主人的清晨一同來敬拜祢
[00:00:10.000 --> 00:00:12.000]  聆聽祢的說話
[00:00:12.000 --> 00:00:15.000]  我們求聖靈在我們每一個人的心裡面動功
[00:00:15.000 --> 00:00:18.000]  幫助我們能夠明白主的說話
[00:00:18.000 --> 00:00:21.000]  也盡力去實踐主的教導
[00:00:21.000 --> 00:00:24.000]  奉主耶穌基督的名祈禱,阿們
[00:00:26.000 --> 00:00:30.000]  我們用了差不多三個月的時間
[00:00:30.000 --> 00:00:33.000]  去學習認識教會的真理
[00:00:33.000 --> 00:00:36.000]  我們是從出埃及記
[00:00:36.000 --> 00:00:39.000]  開始看上帝怎樣將一批
[00:00:39.000 --> 00:00:42.000]  祂所揀選的子民
[00:00:42.000 --> 00:00:46.000]  從一個被人奴役的埃及拯救出來
[00:00:46.000 --> 00:00:49.000]  然後由植摩西帶領他們
[00:00:49.000 --> 00:00:53.000]  去到西來山和上主納約
[00:00:53.000 --> 00:00:56.000]  我上個星期就指出
[00:00:56.000 --> 00:00:59.000]  出埃及的高潮其實不是在前二十章
[00:00:59.000 --> 00:01:04.000]  有關出埃及、過河拐那些很刺激的地方
[00:01:04.000 --> 00:01:07.000]  而是其實在最後一章
[00:01:07.000 --> 00:01:12.000]  當人民建立一個按照上帝的心意
[00:01:12.000 --> 00:01:15.000]  要他們建造的聖墨
[00:01:15.000 --> 00:01:19.000]  然後上主向人民顯現
[00:01:19.000 --> 00:01:22.000]  那個才是高潮
[00:01:22.000 --> 00:01:25.000]  在出埃及的四十章三十四節告訴我們
[00:01:25.000 --> 00:01:28.000]  那時候雲彩籠罩聖墨
[00:01:28.000 --> 00:01:32.000]  上主的榮耀充滿了聖墨
[00:01:32.000 --> 00:01:37.000]  我們看一幅圖畫表達這個情景
[00:01:37.000 --> 00:01:39.000]  聖墨就在裡面
[00:01:39.000 --> 00:01:41.000]  然後有一個帷幕
[00:01:41.000 --> 00:01:44.000]  然後當這個墨建起來的時候
[00:01:44.000 --> 00:01:48.000]  上主降臨在那裡
[00:01:48.000 --> 00:01:52.000]  其實這個情景就是要表達上主的心意
[00:01:52.000 --> 00:01:56.000]  祂是想和人一起住的
[00:01:56.000 --> 00:02:01.000]  這個其實也是上主對教會的心意
[00:02:01.000 --> 00:02:09.000]  將來我們會和這位創造天地的主一同居住
[00:02:09.000 --> 00:02:13.000]  不知道大家有沒有這個盼望呢?
[00:02:15.000 --> 00:02:19.000]  我記得以前有一次有一個教會的活動
[00:02:19.000 --> 00:02:23.000]  其中是玩一個問答遊戲
[00:02:23.000 --> 00:02:25.000]  有一個問題就問
[00:02:25.000 --> 00:02:29.000]  什麼是全世界的人一起做的呢?
[00:02:29.000 --> 00:02:30.000]  大家可以想一想
[00:02:30.000 --> 00:02:34.000]  什麼是全世界的人一起做的呢?
[00:02:34.000 --> 00:02:42.000]  答案就是漸漸變老
[00:02:42.000 --> 00:02:44.000]  不是一起呼吸
[00:02:44.000 --> 00:02:47.000]  可能我呼你吸他呼我吸
[00:02:47.000 --> 00:02:50.000]  但是我們一定會漸漸變老
[00:02:50.000 --> 00:02:51.000]  沒錯
[00:02:51.000 --> 00:02:55.000]  一個人自從一出生之後就會長大
[00:02:55.000 --> 00:02:58.000]  以後也會漸漸變老
[00:02:58.000 --> 00:03:00.000]  慢慢會死去
[00:03:00.000 --> 00:03:02.000]  對不信耶穌的人來說
[00:03:02.000 --> 00:03:04.000]  其實他們不單止會死去
[00:03:04.000 --> 00:03:06.000]  根據聖經的啟示
[00:03:06.000 --> 00:03:09.000]  他們還會接受審判
[00:03:09.000 --> 00:03:11.000]  在希伯來書9章27節說
[00:03:11.000 --> 00:03:14.000]  到了時候人人必有一死
[00:03:14.000 --> 00:03:17.000]  最後有上帝的審判
[00:03:17.000 --> 00:03:20.000]  審判之後又如何呢?
[00:03:20.000 --> 00:03:23.000]  他們還要像今天的經文所說
[00:03:23.000 --> 00:03:25.000]  在啟示621章8節說
[00:03:25.000 --> 00:03:29.000]  有火和硫磺燒著的湖在等著他們
[00:03:29.000 --> 00:03:32.000]  那就是第二次的死
[00:03:32.000 --> 00:03:34.000]  如果不信耶穌的人
[00:03:34.000 --> 00:03:38.000]  結局真的很悲慘
[00:03:38.000 --> 00:03:43.000]  故此耶穌基督的福音就是對人類最好的消息
[00:03:43.000 --> 00:03:45.000]  信主耶穌的人
