
[00:00:00.000 --> 00:00:04.420]  其實今天我想和弟兄姊妹分享的題目就是「與素常一樣」
[00:00:04.420 --> 00:00:06.040]  今天我講完之後
[00:00:06.040 --> 00:00:07.720]  弟兄姊妹什麼都忘記了也不要緊
[00:00:07.720 --> 00:00:09.720]  記住「與素常一樣」就行了
[00:00:09.720 --> 00:00:11.900]  很容易的「與素常一樣」
[00:00:11.900 --> 00:00:12.540]  是不是?
[00:00:12.540 --> 00:00:14.900]  我們親近耶穌是不是應該「與素常一樣」?
[00:00:14.900 --> 00:00:16.900]  我們祈禱是不是應該「與素常一樣」?
[00:00:16.900 --> 00:00:19.500]  我們不是應該臨急抱耶穌的腳嗎?
[00:00:19.500 --> 00:00:22.820]  應該有什麼事都是經常與神親近祈禱的,對不對?
[00:00:22.820 --> 00:00:24.760]  那我請弟兄姊妹和你旁邊的人說一聲
[00:00:24.760 --> 00:00:26.760]  我們親近神「與素常一樣」
[00:00:29.360 --> 00:00:31.000]  如果你沒有親近神的話
[00:00:31.000 --> 00:00:33.000]  就不要說「與素常一樣」了
[00:00:33.000 --> 00:00:33.920]  你就要說
[00:00:33.920 --> 00:00:36.600]  我們親近神要更多親近神「與素常一樣」
[00:00:36.600 --> 00:00:37.100]  好不好?
[00:00:37.100 --> 00:00:37.880]  學習「與素常一樣」
[00:00:37.880 --> 00:00:38.880]  1、2、3
[00:00:38.880 --> 00:00:40.880]  和你旁邊的人說一聲
[00:00:40.880 --> 00:00:44.620]  好了
[00:00:44.620 --> 00:00:48.620]  我們看一看今天我們要讀的經文
[00:00:48.620 --> 00:00:56.360]  其實是來自《大氣曆書》第六章第十節
[00:00:56.360 --> 00:00:58.360]  不如我們一起讀好不好呢?
[00:01:00.360 --> 00:01:03.360]  我們找到的弟兄姊妹一起讀好不好?
[00:01:03.360 --> 00:01:04.360]  1、2、3
[00:01:04.360 --> 00:01:23.360]  在這段聖經裏面我們看到
[00:01:23.360 --> 00:01:29.360]  丹爾尼知道王的禁令蓋了玉璽回到自己的家
[00:01:29.360 --> 00:01:32.360]  在樓上窗戶開向耶路撒冷
