
[00:00:00.000 --> 00:00:03.480]  播出人生的標竿
[00:00:03.480 --> 00:00:05.680]  因為我們第三個禮拜呢
[00:00:05.680 --> 00:00:08.000]  都要講關於標竿人生的
[00:00:08.000 --> 00:00:10.280]  Purpose Driven Life
[00:00:10.280 --> 00:00:12.800]  那麼中間的一個系列
[00:00:12.800 --> 00:00:15.680]  這一本書在我們過去教會好多年前
[00:00:15.680 --> 00:00:17.800]  我們的小組有查過
[00:00:17.800 --> 00:00:20.520]  這是Rick Warren他所做的
[00:00:20.520 --> 00:00:22.720]  Purpose Driven Life
[00:00:22.720 --> 00:00:24.240]  有些人都讀過
[00:00:24.240 --> 00:00:28.600]  相信大家都有所得著
[00:00:28.600 --> 00:00:30.320]  順便一提
[00:00:30.320 --> 00:00:32.600]  我們每一個人的一生
[00:00:32.600 --> 00:00:35.800]  都有許多的目標 不是嗎
[00:00:35.800 --> 00:00:39.320]  不知道你的人生的目標是什麼
[00:00:39.320 --> 00:00:41.520]  像我自己知道
[00:00:41.520 --> 00:00:43.360]  當我小的時候
[00:00:43.360 --> 00:00:46.280]  我的目標就是要趕快長大
[00:00:46.280 --> 00:00:48.000]  就是要做一個engineer
[00:00:48.000 --> 00:00:49.760]  做一個工程師
[00:00:49.760 --> 00:00:51.640]  我也做到了
[00:00:51.640 --> 00:00:52.920]  但是
[00:00:52.920 --> 00:00:55.920]  當我再回頭一看我才發現
[00:00:55.920 --> 00:00:58.840]  神他給我的終極目標
[00:00:58.840 --> 00:01:01.200]  是要我被祂所用
[00:01:01.200 --> 00:01:03.320]  所以為時不晚
[00:01:03.320 --> 00:01:06.240]  雖然我五十多歲才出來的
[00:01:06.240 --> 00:01:08.120]  但是不管怎麼樣
[00:01:08.120 --> 00:01:11.160]  我們人生有一個目標
[00:01:11.160 --> 00:01:13.680]  有的時候我們悶心自問
[00:01:13.680 --> 00:01:16.600]  你的人生是什麼樣子
[00:01:16.600 --> 00:01:20.240]  你的人生有什麼目標呢
[00:01:20.240 --> 00:01:22.720]  這個書上面講到我們每一個人的人生
[00:01:22.720 --> 00:01:25.000]  都有不同的際遇
[00:01:25.000 --> 00:01:28.640]  所以當你問說你的人生像什麼
[00:01:28.640 --> 00:01:31.320]  每一個人答案都不一樣
[00:01:31.320 --> 00:01:33.160]  有的人是說
[00:01:33.160 --> 00:01:36.440]  人的一生像是一場戲
[00:01:36.440 --> 00:01:37.640]  是不是
[00:01:37.640 --> 00:01:40.640]  甚至於我們講有一個繞口令說
[00:01:40.640 --> 00:01:42.720]  零歲粉末登場
[00:01:42.720 --> 00:01:44.840]  十歲快樂成長
[00:01:44.840 --> 00:01:47.360]  二十歲為情所困
[00:01:47.360 --> 00:01:49.640]  三十歲努力打拼
[00:01:49.640 --> 00:01:51.240]  四十歲回頭望望
[00:01:51.240 --> 00:01:54.920]  五十歲準備休息
[00:01:54.920 --> 00:01:56.800]  六十歲告老還鄉
[00:01:56.800 --> 00:01:58.640]  七十歲打打麻將
[00:01:58.640 --> 00:02:00.520]  八十歲曬曬太陽
[00:02:00.520 --> 00:02:03.160]  九十歲躺在床上
[00:02:03.160 --> 00:02:05.600]  一百歲掛在牆上
[00:02:05.600 --> 00:02:09.880]  這是講我們人生的一場戲一樣
[00:02:09.880 --> 00:02:14.160]  有的人說我們的人生像是一片地雷陣
[00:02:14.160 --> 00:02:18.120]  一不小心你就引爆踩到地雷了
[00:02:18.120 --> 00:02:21.960]  或者人生像一列雲霄飛車
[00:02:21.960 --> 00:02:24.360]  up and down
[00:02:24.360 --> 00:02:27.560]  或者我們的人生像一塊puzzle
[00:02:27.560 --> 00:02:30.360]  像一塊拼圖一樣
[00:02:30.360 --> 00:02:33.480]  當你在那裏一塊一塊拼的時候
[00:02:33.480 --> 00:02:35.160]  你最後拼成了
[00:02:35.160 --> 00:02:38.680]  你才發現原來是這個樣子
[00:02:38.680 --> 00:02:40.560]  當你在半路的時候
[00:02:40.560 --> 00:02:42.160]  我記得有的時候
[00:02:42.160 --> 00:02:44.320]  我的兒子女兒孫女
[00:02:44.320 --> 00:02:46.320]  他們在玩拼圖的時候
[00:02:46.320 --> 00:02:48.360]  怎麼拼都拼不起來
[00:02:48.360 --> 00:02:50.760]  少了一片少了一片
[00:02:50.760 --> 00:02:54.120]  但忽然間那一片出來了
[00:02:54.120 --> 00:02:56.240]  整個就拼起來了
[00:02:56.240 --> 00:03:00.120]  我們的人生有人說是像一趟旅程
[00:03:00.120 --> 00:03:01.520]  a journey
[00:03:01.520 --> 00:03:06.600]  你來到這個世界上來走過一遭
[00:03:06.600 --> 00:03:07.720]  感謝是
[00:03:07.720 --> 00:03:09.400]  但是你知道
[00:03:09.400 --> 00:03:13.120]  你走過這一遭往哪裏去呢
[00:03:13.120 --> 00:03:15.080]  有的時候我常常喜歡講說
[00:03:15.080 --> 00:03:16.760]  很不好意思我這麼說
[00:03:16.760 --> 00:03:18.320]  我們人一生出來
[00:03:18.320 --> 00:03:21.040]  就往死亡走去
[00:03:21.040 --> 00:03:23.400]  但是如果那裏是永生的話
[00:03:23.400 --> 00:03:25.920]  你必須要turn around
[00:03:25.920 --> 00:03:28.920]  回頭你才能夠走向永生
[00:03:28.920 --> 00:03:30.360]  不是嗎
[00:03:30.360 --> 00:03:34.720]  人生就像一首交響樂
[00:03:34.720 --> 00:03:37.880]  那麼每一個人都有他的角色
[00:03:37.880 --> 00:03:39.920]  但是當這個交響樂
[00:03:39.920 --> 00:03:43.560]  在造物主的指揮之下
[00:03:43.560 --> 00:03:48.480]  那演奏出美妙和諧的樂音
[00:03:48.480 --> 00:03:51.000]  人生像一場夢
[00:03:51.000 --> 00:03:54.600]  人生好像一聲嘆息一樣
[00:03:54.600 --> 00:03:56.600]  就這麼短
[00:03:56.600 --> 00:03:57.520]  是的
[00:03:57.520 --> 00:03:59.640]  Hallelujah
[00:03:59.640 --> 00:04:02.680]  那麼什麼是標竿人生呢
[00:04:02.680 --> 00:04:06.000]  就是說你的人生的目的
[00:04:06.000 --> 00:04:08.320]  你的purpose
[00:04:08.320 --> 00:04:11.440]  你是什麼樣的purpose
[00:04:11.440 --> 00:04:16.960]  如果說我們人生只為了吃喝玩樂
[00:04:16.960 --> 00:04:18.640]  I've been there, I've done that
[00:04:18.640 --> 00:04:20.480]  我吃過喝過玩過樂過
[00:04:20.480 --> 00:04:22.360]  我也可以走了
[00:04:22.360 --> 00:04:25.400]  在座很多人都已經吃過喝過玩過樂過
[00:04:25.400 --> 00:04:27.200]  可以走了
[00:04:27.200 --> 00:04:29.920]  所以你人生不只是吃喝玩樂
[00:04:29.920 --> 00:04:33.720]  如果人生是為了求生存
[00:04:33.720 --> 00:04:35.840]  其實也不對
[00:04:35.840 --> 00:04:37.560]  其實求生存
