
[00:00:00.000 --> 00:00:04.000]  我記得七歲的時候已經和神立志
[00:00:04.000 --> 00:00:05.500]  我說上帝我什麼都可以做
[00:00:05.500 --> 00:00:06.500]  除了做牧師
[00:00:06.500 --> 00:00:09.500]  神就沒有聽禱告
[00:00:09.500 --> 00:00:12.000]  一直到今天
[00:00:12.000 --> 00:00:13.000]  感謝神
[00:00:13.000 --> 00:00:17.000]  我們的道路未必是我們選的
[00:00:17.000 --> 00:00:21.500]  我們選的道路也都未必是正確的
[00:00:21.500 --> 00:00:23.500]  我們的道路
[00:00:23.500 --> 00:00:28.500]  揀選了家長神的賜福在當中
[00:00:28.500 --> 00:00:29.500]  必定是一條路
[00:00:29.500 --> 00:00:31.500]  我們人生的路
[00:00:31.500 --> 00:00:33.500]  如果只是自己去走
[00:00:33.500 --> 00:00:35.500]  一定會有碰碰撞撞
[00:00:35.500 --> 00:00:37.500]  但是有一個
[00:00:37.500 --> 00:00:41.500]  已經知道前面的道路的主宰帶領你
[00:00:41.500 --> 00:00:43.500]  我相信你碰撞的機會都很少
[00:00:43.500 --> 00:00:46.500]  而且你是走得快
[00:00:46.500 --> 00:00:48.500]  走得精彩
[00:00:48.500 --> 00:00:50.500]  走得有意思的
[00:00:50.500 --> 00:00:53.500]  人只有一條命
[00:00:53.500 --> 00:00:55.500]  人生只有一個機會
[00:00:55.500 --> 00:00:56.500]  好像電視那裡
[00:00:56.500 --> 00:00:58.500]  No Take Two
[00:00:58.500 --> 00:01:00.500]  人生也是一樣
[00:01:00.500 --> 00:01:04.500]  但是怎樣我們在只有一次生命的機會裡面
[00:01:04.500 --> 00:01:06.500]  我們活得更加精彩呢
[00:01:06.500 --> 00:01:09.500]  更加精彩不一定要光光烈烈
[00:01:09.500 --> 00:01:12.500]  更加精彩不一定要每個人都認識你
[00:01:12.500 --> 00:01:14.500]  更加精彩不是要出名
[00:01:14.500 --> 00:01:16.500]  或者擁有很多東西
[00:01:16.500 --> 00:01:21.500]  更加精彩就是你所擁有的燦爛的生命
[00:01:21.500 --> 00:01:25.500]  可以毫無保留的去發揮出去
[00:01:25.500 --> 00:01:30.500]  你那燦爛的生命可以很自由的
[00:01:30.500 --> 00:01:32.500]  充滿了能力的散發出去
[00:01:32.500 --> 00:01:35.500]  讓周圍的人都感應到
[00:01:35.500 --> 00:01:39.500]  這種人生我相信我們每一個人都很渴望的
[00:01:39.500 --> 00:01:43.500]  哪怕是你在家裡的火頭大將軍
[00:01:43.500 --> 00:01:45.500]  你是做拿柱的那個
[00:01:45.500 --> 00:01:50.500]  但是你也可以除了散發了你那些菜的香味之外
[00:01:50.500 --> 00:01:52.500]  也散發了你的生命
[00:01:52.500 --> 00:01:55.500]  家裡面你所煮的菜是別人煮不到的
[00:01:55.500 --> 00:01:58.500]  因為你那個菜裡面是有愛意在的
[00:01:58.500 --> 00:02:00.500]  當我們人生裡面
[00:02:00.500 --> 00:02:02.500]  我們每一個都經歷了神的生命的時候
[00:02:02.500 --> 00:02:05.500]  但是有一樣東西我們是沒辦法經歷到的
[00:02:05.500 --> 00:02:08.500]  除非你要擁有就是上帝的愛
[00:02:08.500 --> 00:02:12.500]  所以今天跟大家一起來看一段經文
[00:02:12.500 --> 00:02:13.500]  剛才我們讀過
[00:02:13.500 --> 00:02:17.500]  我給大家一個題目叫做人生一日數
[00:02:17.500 --> 00:02:20.500]  其實簡單來說人生一日數得完的
