
[00:00:00.000 --> 00:00:05.200]  我想大家都很希望能夠有全人的健康
[00:00:05.200 --> 00:00:09.320]  浸會大學我們是以全人教育做我們的目標
[00:00:09.320 --> 00:00:12.640]  即是說不單止是智性
[00:00:12.640 --> 00:00:13.760]  即是Intellect
[00:00:13.760 --> 00:00:17.440]  並且是需要收體育的
[00:00:17.440 --> 00:00:21.520]  早期亦都是必修音樂的藝術
[00:00:21.520 --> 00:00:26.200]  亦有宗教科就是培養這個靈性
[00:00:26.200 --> 00:00:31.040]  我在中華基督教青年會做董事
[00:00:31.040 --> 00:00:33.120]  是我退休之後參與的
[00:00:33.120 --> 00:00:35.960]  中華基督教青年會亦都是以
[00:00:35.960 --> 00:00:38.560]  Body, Mind and Spirit
[00:00:38.560 --> 00:00:44.160]  即是身心靈是服務的重點
[00:00:44.160 --> 00:00:49.280]  所有的事工其實都是要著重人的身心靈
[00:00:49.280 --> 00:00:54.440]  浸會醫院的口號就是全人醫治
[00:00:54.440 --> 00:00:55.840]  榮神益人
[00:00:55.840 --> 00:00:59.080]  所以亦都是提到不單止希望身體有健康
[00:00:59.080 --> 00:01:01.280]  心靈亦都有健康
[00:01:01.280 --> 00:01:05.560]  能夠有一個全人的康健
[00:01:05.560 --> 00:01:08.000]  所以大家都知道
[00:01:08.000 --> 00:01:13.200]  身體的健康是影響我們的心理的狀況
[00:01:13.200 --> 00:01:15.480]  有時當然心理的心情
[00:01:15.480 --> 00:01:17.560]  亦都會影響我們的身體
[00:01:17.560 --> 00:01:21.280]  這個大家都會明白
[00:01:21.280 --> 00:01:24.920]  所以要有全人健康
[00:01:24.920 --> 00:01:28.120]  身心的康態是很重要
[00:01:28.120 --> 00:01:31.200]  面對社會裏面很多問題
[00:01:31.200 --> 00:01:33.160]  無論是大的社會
[00:01:33.160 --> 00:01:35.680]  或者我們每個人面對的小社會
[00:01:35.680 --> 00:01:38.200]  在家庭裏面都是一個小的社會
[00:01:38.200 --> 00:01:40.240]  如果有甚麼問題
[00:01:40.240 --> 00:01:45.080]  就會令到我們心理上有壓力
[00:01:45.080 --> 00:01:48.320]  可能都會影響我們吃東西的胃口
[00:01:48.320 --> 00:01:50.200]  或者睡眠的質素
[00:01:50.200 --> 00:01:54.600]  或者甚至沒有興趣去做運動
[00:01:54.600 --> 00:02:03.520]  等於慢慢有些心生性的問題出現
[00:02:03.520 --> 00:02:07.520]  在健康上我們當然要知道
[00:02:07.520 --> 00:02:11.480]  很多時候病向淺中醫
[00:02:11.480 --> 00:02:13.560]  需要時時做檢查
[00:02:13.560 --> 00:02:16.520]  現在我們在座當中很多都很年輕
[00:02:16.520 --> 00:02:19.760]  但我自己都是屬於長者
[00:02:19.760 --> 00:02:23.040]  講起都不信
[00:02:23.040 --> 00:02:29.040]  長者的話 其實不要等長者才檢查
[00:02:29.040 --> 00:02:30.720]  政府都已經講了
[00:02:30.720 --> 00:02:33.440]  幾多歲你開始要檢查
[00:02:33.440 --> 00:02:35.760]  即是大廠篩查 現在去到50歲
[00:02:35.760 --> 00:02:38.960]  就已經可以去檢查
[00:02:38.960 --> 00:02:43.720]  大家基本的檢查不只是每年做
[00:02:43.720 --> 00:02:46.160]  有些可能要做多幾次
[00:02:46.160 --> 00:02:47.960]  大家要留意住
[00:02:47.960 --> 00:02:52.240]  由於我是浸會醫院的董事會主席
[00:02:52.240 --> 00:02:54.640]  我都介紹一下我們浸會醫院
[00:02:54.640 --> 00:02:56.240]  我們要身體檢查
[00:02:56.240 --> 00:02:57.640]  我舉個例子
[00:02:57.640 --> 00:03:05.280]  我們這兩年有些新的儀器買了回來
[00:03:05.280 --> 00:03:07.600]  浸會醫院是一個慈善機構
[00:03:07.600 --> 00:03:08.640]  不牟利的
[00:03:08.640 --> 00:03:12.520]  我們放很多錢在depreciation那裏
[00:03:12.520 --> 00:03:16.320]  換句話說我們在depreciation set aside
[00:03:16.320 --> 00:03:18.840]  那些錢是用來買儀器的
[00:03:18.840 --> 00:03:21.760]  當然很多醫生的收費不關我們事
[00:03:21.760 --> 00:03:23.160]  是落醫生的袋
[00:03:23.160 --> 00:03:25.400]  這裏我們不會講醫生的問題
[00:03:25.400 --> 00:03:26.840]  我不是醫生
[00:03:26.840 --> 00:03:28.920]  否則醫生又會罵我
[00:03:28.920 --> 00:03:31.640]  說我跟他們對著幹
[00:03:31.640 --> 00:03:36.360]  但是我們浸會醫院提供護士和醫療
[00:03:36.360 --> 00:03:40.880]  所有support給醫生做手術
[00:03:40.880 --> 00:03:45.160]  這兩年我們有一些新的儀器
[00:03:45.160 --> 00:03:47.360]  想介紹給大家知
[00:03:47.360 --> 00:03:48.560]  其實是指出一樣東西
[00:03:48.560 --> 00:03:50.600]  我們要檢查
[00:03:50.600 --> 00:03:53.680]  我們要知道自己身體的情況
[00:03:53.680 --> 00:03:55.200]  要做一個檢查
[00:03:55.200 --> 00:03:58.480]  有了檢查你才需要怎樣針對
[00:03:58.480 --> 00:03:59.800]  其中一個
[00:03:59.800 --> 00:04:06.160]  這個所謂「正電子及磁力共振相容同步掃描儀器」
[00:04:06.160 --> 00:04:08.480]  說出來中文字每個人都懂
[00:04:08.480 --> 00:04:10.760]  但其實是甚麼大家都不知道
[00:04:10.760 --> 00:04:16.360]  我們浸會醫院2018年推出的時候
[00:04:16.360 --> 00:04:21.240]  是全港第一台數碼一體化的正電子
[00:04:21.240 --> 00:04:22.360]  即是所謂PET
