
[00:00:00.000 --> 00:00:03.200]  各位諾定咸教會弟兄姊妹你們好
[00:00:03.200 --> 00:00:07.660]  很感謝天賦丙有機會跟大家一起分享神的話語
[00:00:07.660 --> 00:00:10.640]  雖然現在在網上跟大家分享
[00:00:10.640 --> 00:00:14.300]  希望下一次我能夠真正來到大家當中
[00:00:14.300 --> 00:00:18.200]  因為希望解禁已經解除了
[00:00:18.200 --> 00:00:19.200]  即是封鎖
[00:00:19.200 --> 00:00:21.560]  可以直接來到大家當中
[00:00:21.560 --> 00:00:23.740]  跟大家見面、服侍大家
[00:00:23.740 --> 00:00:27.520]  很感謝天賦丙有機會跟大家一起在崇拜的裏面
[00:00:27.520 --> 00:00:30.000]  跟大家學習神的話語
[00:00:30.000 --> 00:00:32.580]  你們給了我一個課題
[00:00:32.580 --> 00:00:35.440]  就是在《羅馬書》第八章裏面
[00:00:35.440 --> 00:00:37.440]  我特別會給這個題目就是
[00:00:37.440 --> 00:00:42.180]  聖靈在我們當中的作為是甚麼呢?
[00:00:42.180 --> 00:00:44.420]  在我的分享裏面
[00:00:44.420 --> 00:00:46.260]  我會有一些電腦簡報
[00:00:46.260 --> 00:00:51.400]  所以先帶大家去看一看這個電腦簡報
[00:00:51.400 --> 00:00:54.040]  我自己很深的體會一件事
[00:00:54.040 --> 00:00:57.680]  今天聖靈對我們來講
[00:00:57.680 --> 00:01:00.360]  往往是一個好像很熟悉
[00:01:00.360 --> 00:01:02.700]  但卻是有些陌生的
[00:01:02.700 --> 00:01:05.080]  就好像有時我們在家裏面
[00:01:05.080 --> 00:01:08.560]  是很熟悉的陌生人
[00:01:08.560 --> 00:01:11.960]  在現在我們大家居住在同一個地方裏面
[00:01:11.960 --> 00:01:15.540]  第一家人可能各有各在自己的房間
[00:01:15.540 --> 00:01:17.540]  英國那個地方就好些
[00:01:17.540 --> 00:01:19.360]  有自己的房間
[00:01:19.360 --> 00:01:22.840]  但在香港可能只是三、四百呎的地方
[00:01:22.840 --> 00:01:24.600]  雖然很擠迫
[00:01:24.600 --> 00:01:27.700]  但往往大家各有各上網
[00:01:27.700 --> 00:01:29.840]  各有各用自己不同的手機
[00:01:29.840 --> 00:01:32.260]  好像很熟悉但很陌生
[00:01:32.260 --> 00:01:33.860]  聖靈也是
[00:01:33.860 --> 00:01:35.860]  有時我們對聖靈好像很熟悉
[00:01:35.860 --> 00:01:38.360]  因為聖靈是居住在我們生命當中的
[00:01:38.360 --> 00:01:41.060]  但我們對父神是會了解多些的
[00:01:41.060 --> 00:01:43.180]  祂是創造天地萬物
[00:01:43.180 --> 00:01:45.180]  安排救贖的工作
[00:01:45.180 --> 00:01:47.620]  耶穌基督來到這個世界
[00:01:47.620 --> 00:01:49.220]  活在人類的歷史裏面
[00:01:49.220 --> 00:01:53.300]  為我們彌大人被釘十字架從死裏復活
[00:01:53.300 --> 00:01:55.660]  我們透過四福金對耶穌的言行
[00:01:55.660 --> 00:01:57.660]  有很清楚的了解
[00:01:57.660 --> 00:01:59.420]  所以耶穌也很清楚宣告
[00:01:59.420 --> 00:02:03.000]  祂離開之後將會踩踐聖靈保衛師
[00:02:03.000 --> 00:02:04.580]  來到我們的裏面
[00:02:04.580 --> 00:02:05.880]  居住在我們當中
[00:02:05.880 --> 00:02:07.260]  應該很熟悉的
[00:02:07.260 --> 00:02:09.300]  但往往我們對聖靈的認識
[00:02:09.300 --> 00:02:11.300]  卻是有些陌生
[00:02:11.300 --> 00:02:14.340]  我們經常想著聖靈就是賜力量給我們去侍奉
[00:02:14.340 --> 00:02:20.400]  對,這只不過是其中一種的表達
[00:02:20.400 --> 00:02:22.980]  或者祂的屬性而已
[00:02:22.980 --> 00:02:24.720]  但並不止於這樣
[00:02:24.720 --> 00:02:26.980]  聖靈不是單單一種能量
[00:02:26.980 --> 00:02:30.140]  就好像你用電的時候
[00:02:30.140 --> 00:02:31.920]  電是一種能量來的
[00:02:31.920 --> 00:02:35.360]  令到你家裏可以有電燈
[00:02:35.360 --> 00:02:37.280]  可以開、看電視
[00:02:37.280 --> 00:02:39.080]  要靠它,是不是?
[00:02:39.080 --> 00:02:42.640]  但是電是不會有感情的
[00:02:42.640 --> 00:02:44.380]  但是身為一體的真神
[00:02:44.380 --> 00:02:45.720]  聖靈是甚麼呢?
[00:02:45.720 --> 00:02:47.720]  祂有祂自己獨特的person
[00:02:47.720 --> 00:02:50.520]  祂有慧格、有感情
[00:02:50.520 --> 00:02:53.020]  所以《二福所書》說道
[00:02:53.020 --> 00:02:56.040]  不可叫聖靈來帶我們去
[00:02:56.040 --> 00:02:57.580]  祂不得了我們的印記
[00:02:57.580 --> 00:02:59.680]  在《貼索羅尼加書信》裏面也提醒
[00:02:59.680 --> 00:03:02.020]  不可以叫聖靈擔憂
[00:03:02.020 --> 00:03:03.200]  你有感情
[00:03:03.200 --> 00:03:05.620]  你就會為你的孩子
[00:03:05.620 --> 00:03:08.540]  祂有成長、祂成功、祂開心
[00:03:08.540 --> 00:03:11.360]  但你見到祂可能有些事情做錯的時候
[00:03:11.360 --> 00:03:12.580]  你就會有擔心
[00:03:12.580 --> 00:03:13.780]  這就是感情
[00:03:13.780 --> 00:03:15.620]  沒有感情又怎會有擔憂呢?
