
[00:00:00.000 --> 00:00:03.000]  今天跟大家說的題目是
[00:00:03.000 --> 00:00:05.000]  神國的祭司
[00:00:05.000 --> 00:00:07.000]  我們的身份
[00:00:07.000 --> 00:00:10.000]  每一個的信徒
[00:00:10.000 --> 00:00:12.000]  每一個的聖徒
[00:00:12.000 --> 00:00:15.000]  都是神國的祭司
[00:00:15.000 --> 00:00:17.000]  啟示錄
[00:00:17.000 --> 00:00:19.000]  第一章第六節我們一起讀
[00:00:19.000 --> 00:00:20.000]  好嗎?請讀
[00:00:20.000 --> 00:00:23.000]  有使我們成為國民
[00:00:23.000 --> 00:00:26.000]  作他父上帝的祭司
[00:00:26.000 --> 00:00:29.000]  但願榮耀權能
[00:00:29.000 --> 00:00:30.000]  歸給他
[00:00:30.000 --> 00:00:33.000]  直到永永遠遠
[00:00:33.000 --> 00:00:34.000]  廈門
[00:00:34.000 --> 00:00:35.000]  聖經這裡告訴我們
[00:00:35.000 --> 00:00:37.000]  我們是上帝的國民
[00:00:37.000 --> 00:00:38.000]  這個呢
[00:00:38.000 --> 00:00:41.000]  我們前兩三個月
[00:00:41.000 --> 00:00:43.000]  一直來思想
[00:00:43.000 --> 00:00:44.000]  神的國裡面
[00:00:44.000 --> 00:00:47.000]  我們是祂的子民
[00:00:47.000 --> 00:00:48.000]  既然是子民
[00:00:48.000 --> 00:00:50.000]  我們是這個國的代表
[00:00:50.000 --> 00:00:51.000]  正如以色列國
[00:00:51.000 --> 00:00:54.000]  是代表著上帝耀和華的國
[00:00:54.000 --> 00:00:57.000]  祂在普世當中成為了一個代表
[00:00:57.000 --> 00:00:59.000]  所以我們是祂的大使
[00:00:59.000 --> 00:01:00.000]  在這個國裡面
[00:01:00.000 --> 00:01:02.000]  一定是國民才可以做大使
[00:01:02.000 --> 00:01:03.000]  而且在這個國裡面有兵
[00:01:03.000 --> 00:01:07.000]  所以我們是神國的士兵
[00:01:07.000 --> 00:01:08.000]  屬於這個國家
[00:01:08.000 --> 00:01:10.000]  為天國來爭戰
[00:01:10.000 --> 00:01:14.000]  為天國的需要來效力
[00:01:14.000 --> 00:01:16.000]  今天我們轉一轉方向
[00:01:16.000 --> 00:01:17.000]  聖經裡面說
[00:01:17.000 --> 00:01:21.000]  不單止有使我們成為國民
[00:01:21.000 --> 00:01:25.000]  而且是作他父上帝的祭司
[00:01:25.000 --> 00:01:29.000]  請問這個他是指誰
[00:01:29.000 --> 00:01:32.000]  他是指誰
[00:01:32.000 --> 00:01:34.000]  他父上帝的祭司
[00:01:34.000 --> 00:01:35.000]  他父上帝
[00:01:35.000 --> 00:01:37.000]  所以他是指誰
[00:01:37.000 --> 00:01:38.000]  耶穌
[00:01:38.000 --> 00:01:40.000]  所以指到聖子耶穌基督
[00:01:40.000 --> 00:01:45.000]  就是耶穌基督的父神的祭司
[00:01:45.000 --> 00:01:48.000]  所以我們不單止是
[00:01:48.000 --> 00:01:50.000]  屬於這個國家的子民
[00:01:50.000 --> 00:01:52.000]  原來在啟示錄這裡告訴我們
[00:01:52.000 --> 00:01:54.000]  還有其他的經文
[00:01:54.000 --> 00:01:56.000]  跟大家一起思想
[00:01:56.000 --> 00:01:59.000]  原來我們是神的祭司
[00:01:59.000 --> 00:02:03.000]  是這個父上帝的祭司
[00:02:03.000 --> 00:02:05.000]  所以我們有一個祭司的身份
[00:02:05.000 --> 00:02:09.000]  祭司就是神設立一個特別的
[00:02:09.000 --> 00:02:11.000]  在舊約的制度
[00:02:11.000 --> 00:02:13.000]  一會兒我們會看看
[00:02:13.000 --> 00:02:14.000]  但是來到新約
[00:02:14.000 --> 00:02:16.000]  他不單止是一個制度
[00:02:16.000 --> 00:02:20.000]  而是每一個成為神的兒女
[00:02:20.000 --> 00:02:23.000]  重生得救的信徒
[00:02:23.000 --> 00:02:26.000]  他就有這個祭司的身份
[00:02:26.000 --> 00:02:29.000]  就代表我們可以靠著主的名
[00:02:29.000 --> 00:02:32.000]  來到神的面前來禱告
[00:02:32.000 --> 00:02:35.000]  不需要再經過任何的中間媒介
[00:02:35.000 --> 00:02:38.000]  我們就可以直接來到神面前
[00:02:38.000 --> 00:02:39.000]  就像當時的祭司
[00:02:39.000 --> 00:02:43.000]  其他的以色列國民不能夠來服侍
[00:02:43.000 --> 00:02:47.000]  大祭司才可以進入聖所裏面
[00:02:47.000 --> 00:02:49.000]  這個致聖所裏面
[00:02:49.000 --> 00:02:50.000]  但是我們看到
[00:02:50.000 --> 00:02:52.000]  今天成為祭司的時候
[00:02:52.000 --> 00:02:54.000]  希伯來書就說
[00:02:54.000 --> 00:02:58.000]  我們可以坦然無懼的去到上帝的面前
[00:02:58.000 --> 00:02:59.000]  這個給我們一個
[00:02:59.000 --> 00:03:03.000]  不需要再靠其他的功德
[00:03:03.000 --> 00:03:07.000]  或者是一些的代表
[00:03:07.000 --> 00:03:08.000]  我們只能靠著基督
[00:03:08.000 --> 00:03:11.000]  基督就是我們的大祭司
[00:03:11.000 --> 00:03:14.000]  我們就成為祂的父神的祭司
[00:03:14.000 --> 00:03:18.000]  所以我們看到在改教的時候
[00:03:18.000 --> 00:03:20.000]  有一段日子
[00:03:20.000 --> 00:03:22.000]  在黑暗期
[00:03:22.000 --> 00:03:26.000]  慢慢的聖經的真理已經被埋沒了
[00:03:26.000 --> 00:03:29.000]  到了後來改教的時候
[00:03:29.000 --> 00:03:30.000]  馬丁路德非常強調
