
[00:00:00.000 --> 00:00:02.000]  好我們一起來禱告
[00:00:02.000 --> 00:00:04.000]  親愛的主耶穌我們再次來讚美祢
[00:00:04.000 --> 00:00:06.000]  主啊我深深的相信祢愛我們
[00:00:06.000 --> 00:00:08.000]  是永遠不會改變的
[00:00:08.000 --> 00:00:10.000]  主祢透過各樣的環境幫助
[00:00:10.000 --> 00:00:12.000]  來塑造我們
[00:00:12.000 --> 00:00:14.000]  熬練我們也幫助我們來經營一個恩典
[00:00:14.000 --> 00:00:16.000]  主我們深深相信
[00:00:16.000 --> 00:00:18.000]  祢的愛在我們生命當中
[00:00:18.000 --> 00:00:20.000]  不會改變
[00:00:20.000 --> 00:00:22.000]  因此在今天早晨我們再次聚集
[00:00:22.000 --> 00:00:24.000]  乃是要讓祢的話成為我們
[00:00:24.000 --> 00:00:26.000]  裡頭的幫助
[00:00:26.000 --> 00:00:28.000]  主我們不退避也不逃避
[00:00:28.000 --> 00:00:30.000]  主我們懂得來面對祢對我們的愛
[00:00:30.000 --> 00:00:32.000]  主我們謝謝祢
[00:00:32.000 --> 00:00:34.000]  求祢啟示我們的心
[00:00:34.000 --> 00:00:36.000]  讓我們懂得祢的真理
[00:00:36.000 --> 00:00:38.000]  奉耶穌基督的名禱告
[00:00:38.000 --> 00:00:40.000]  Amen
[00:00:40.000 --> 00:00:42.000]  可能在我們的生活當中
[00:00:42.000 --> 00:00:44.000]  這禮拜是
[00:00:44.000 --> 00:00:46.000]  就是很順利的
[00:00:46.000 --> 00:00:48.000]  也沒有特別的事情來顧過
[00:00:48.000 --> 00:00:50.000]  但其實這個禮拜呢
[00:00:50.000 --> 00:00:52.000]  其實教會間發生一個大事
[00:00:52.000 --> 00:00:54.000]  那這大事其實已經很久了
[00:00:54.000 --> 00:00:56.000]  只是說
[00:00:56.000 --> 00:00:58.000]  教會終於有一個明確的作為
[00:00:58.000 --> 00:01:00.000]  就是全世界最大的教會
[00:01:00.000 --> 00:01:02.000]  韓國
[00:01:02.000 --> 00:01:04.000]  趙鴻基牧師的教會
[00:01:04.000 --> 00:01:06.000]  趙鴻基牧師被
[00:01:06.000 --> 00:01:08.000]  被韓國的政府法院判決
