
[00:00:00.000 --> 00:00:02.560]  聽完整個團的現場
[00:00:02.560 --> 00:00:06.920]  給我感覺好像九七的閱兵
[00:00:06.920 --> 00:00:08.700]  九月七號的閱兵
[00:00:08.700 --> 00:00:12.300]  師班帶領這個儀仗隊
[00:00:12.300 --> 00:00:14.340]  代表基督的精兵
[00:00:14.340 --> 00:00:18.440]  讓我們這位上柱去檢閱
[00:00:18.440 --> 00:00:20.740]  你猜我們的柱
[00:00:20.740 --> 00:00:22.540]  如不如立呢
[00:00:22.540 --> 00:00:27.400]  在詩歌有一句很令我深刻的
[00:00:27.900 --> 00:00:30.960]  莫損我主的威名
[00:00:30.960 --> 00:00:35.580]  我們向世界展現的不是先進的武器
[00:00:35.580 --> 00:00:38.140]  或者最新的武器
[00:00:38.140 --> 00:00:40.440]  是世界的人
[00:00:40.440 --> 00:00:42.480]  在其他地方找不到的
[00:00:42.480 --> 00:00:45.300]  就是耶穌基督那個拯救的大能
[00:00:45.300 --> 00:00:48.380]  福音是充滿大能的
[00:00:48.380 --> 00:00:52.720]  聖靈是無所不能的主
[00:00:52.720 --> 00:00:54.520]  常常和我們同在
[00:00:54.520 --> 00:00:56.820]  頂姐妹
[00:00:57.340 --> 00:01:00.160]  師班帶領我們一齊向上柱
[00:01:00.160 --> 00:01:02.960]  被上柱檢閱
[00:01:02.960 --> 00:01:05.020]  我們在後面跟著
[00:01:05.020 --> 00:01:08.080]  你預備好了沒有
[00:01:08.080 --> 00:01:10.380]  你預備好見我們的柱了沒有
[00:01:10.380 --> 00:01:15.760]  想起三十多年前我讀神學的時候
[00:01:15.760 --> 00:01:21.400]  神學院每年都有兩次的大清潔
[00:01:21.400 --> 00:01:23.440]  感謝神
[00:01:23.440 --> 00:01:25.240]  讓學院繼續有一個傳統
[00:01:26.520 --> 00:01:29.080]  學院不是請清潔公司來代勞
[00:01:29.080 --> 00:01:31.900]  而是我們所有全時間的同學
[00:01:31.900 --> 00:01:33.700]  都要幫忙大清潔
[00:01:33.700 --> 00:01:36.000]  我自己也好
[00:01:36.000 --> 00:01:37.280]  或者同學也好
[00:01:37.280 --> 00:01:39.060]  我聽不到
[00:01:39.060 --> 00:01:41.120]  任何一句說話說
[00:01:41.120 --> 00:01:43.420]  我們來讀神學的
[00:01:43.420 --> 00:01:45.720]  我們不是來做清潔的
[00:01:45.720 --> 00:01:47.260]  沒有
[00:01:47.260 --> 00:01:49.060]  我們覺得很開心
[00:01:49.060 --> 00:01:51.860]  就算我們家裡沒什麼機會操練
[00:01:52.120 --> 00:01:56.720]  但在神學院裡我們很開心能夠和幾十個同學一起
[00:01:56.720 --> 00:01:59.540]  整間學校有七十多個同學
[00:01:59.540 --> 00:02:02.860]  好開心的又搬又清潔
[00:02:02.860 --> 00:02:05.940]  因為大家一起做就好開心
[00:02:05.940 --> 00:02:07.740]  一個人做就好孤單
[00:02:07.740 --> 00:02:09.780]  但更大令我們
[00:02:09.780 --> 00:02:11.580]  好投入是因為我們覺得
[00:02:11.580 --> 00:02:13.620]  這個學院是我們有份的
[00:02:13.620 --> 00:02:15.420]  我們在當中
[00:02:15.420 --> 00:02:17.460]  一齊來清潔
[00:02:17.460 --> 00:02:19.500]  是理所當然
[00:02:22.060 --> 00:02:23.340]  而且清潔完之後
[00:02:23.340 --> 00:02:24.880]  坐的椅子
[00:02:24.880 --> 00:02:26.420]  用的桌子
