
[00:00:00.000 --> 00:00:03.120]  先讓我們聽神的道理,然後我們同心地禱告
[00:00:03.120 --> 00:00:05.720]  讓我們先聽神的道理,先同心地禱告
[00:00:05.720 --> 00:00:10.120]  父神,多謝祢讓我們能夠再次打開說話
[00:00:10.120 --> 00:00:12.120]  去聽主祢的道理
[00:00:12.120 --> 00:00:15.900]  學習怎樣做一個合乎主祢心意的基督徒
[00:00:15.900 --> 00:00:21.120]  怎樣得到主,我們在生命上應該仗祢的地方
[00:00:21.120 --> 00:00:25.120]  從而能夠將人帶到神靈的面前
[00:00:25.120 --> 00:00:26.760]  主在這個過程
[00:00:26.760 --> 00:00:30.960]  多不少是需要在屬靈生命上得到助紂
[00:00:30.960 --> 00:00:34.260]  並且蒙祢的提醒才能夠做到
[00:00:34.260 --> 00:00:36.260]  所以求祢幫助我們
[00:00:36.260 --> 00:00:38.260]  讓我們在這段時間聽道
[00:00:38.260 --> 00:00:40.260]  也能夠聽盡心裏面
[00:00:40.260 --> 00:00:42.260]  領受主祢的教訓
[00:00:42.260 --> 00:00:45.260]  並且實行在我們生活當中
[00:00:45.260 --> 00:00:51.260]  再次感謝祢給我們這段時間能夠再次打開主祢的說話
[00:00:51.260 --> 00:00:53.760]  來得一同磨擦當中的教訓
[00:00:53.760 --> 00:00:58.760]  是不是今天我們知道我們要學習怎樣能夠
[00:00:58.760 --> 00:01:01.760]  活得合乎基督的體統
[00:01:01.760 --> 00:01:03.760]  所以求祢的幫助
[00:01:03.760 --> 00:01:07.760]  使我們能夠長長活在主祢的標準裏面
[00:01:07.760 --> 00:01:09.760]  我們禱告封主耶穌的名聲
[00:01:09.760 --> 00:01:11.760]  阿們
[00:01:11.760 --> 00:01:13.760]  在一開始之前
[00:01:13.760 --> 00:01:17.760]  我想問下大家有沒有一個類似以下的人生經歷
[00:01:17.760 --> 00:01:19.760]  在開始之前我想問大家有沒有
[00:01:19.760 --> 00:01:22.760]  在你的人生當中有沒有這樣的經歷
[00:01:22.760 --> 00:01:23.760]  想問下先
[00:01:23.760 --> 00:01:27.760]  我們這些弟兄姊妹家裏是有兄弟姊妹的
[00:01:27.760 --> 00:01:30.760]  所以在這裏誰家裏有兄弟姊妹
[00:01:30.760 --> 00:01:32.760]  有兄弟姊妹的
[00:01:32.760 --> 00:01:34.760]  我們大部分都有兄弟姊妹
[00:01:34.760 --> 00:01:36.760]  我不知道你有沒有留意到一件事
[00:01:36.760 --> 00:01:38.760]  我不知道你有沒有留意到一件事
[00:01:38.760 --> 00:01:41.760]  在你家裏裏面的兄弟姊妹
[00:01:41.760 --> 00:01:43.760]  你家裏的兄弟姊妹
[00:01:43.760 --> 00:01:47.760]  她對一些朋友跟她沒有血緣關係的
[00:01:47.760 --> 00:01:52.760]  關係是很謹慎的
[00:01:52.760 --> 00:01:57.760]  沒有血緣關係的朋友會很謹慎
[00:01:57.760 --> 00:01:59.760]  如果那個是你的好朋友
[00:01:59.760 --> 00:02:01.760]  他會有什麼要求
[00:02:01.760 --> 00:02:03.760]  他會說麻煩你幫幫我
[00:02:03.760 --> 00:02:04.760]  很客氣的
[00:02:04.760 --> 00:02:08.760]  如果大家跟你沒有血緣關係的時候
[00:02:08.760 --> 00:02:09.760]  你請他幫個忙
[00:02:09.760 --> 00:02:11.760]  你能不能幫我一個忙
[00:02:11.760 --> 00:02:12.760]  多謝你
[00:02:12.760 --> 00:02:14.760]  很細心地對待她
[00:02:14.760 --> 00:02:15.760]  很細心地對待她
[00:02:15.760 --> 00:02:20.760]  但是當對著家裏人的時候
