
[00:00:00.000 --> 00:00:04.000]  大家好,我是劉紹康牧師。
[00:00:04.000 --> 00:00:09.000]  現在是2019年開始的時候,
[00:00:09.000 --> 00:00:14.000]  我首先在這裏恭祝各位新年蒙福,
[00:00:14.000 --> 00:00:20.000]  神的恩典與祀福常與每一位同在。
[00:00:20.000 --> 00:00:23.000]  我是這個節目的主持人,
[00:00:23.000 --> 00:00:26.000]  我是劉紹康牧師。
[00:00:26.000 --> 00:00:29.000]  從我神學畢業的時候,
[00:00:29.000 --> 00:00:33.000]  我就在這間禮拜堂開始服侍。
[00:00:33.000 --> 00:00:36.000]  非常感謝天父的恩典,
[00:00:36.000 --> 00:00:39.000]  我已經侍奉了42年,
[00:00:39.000 --> 00:00:44.000]  完全是神的同在,神的佳麗,
[00:00:44.000 --> 00:00:48.000]  我一點也沒有可誇的地方。
[00:00:48.000 --> 00:00:50.000]  所以很高興,
[00:00:50.000 --> 00:00:53.000]  在這裏我準備每一個禮拜,
[00:00:53.000 --> 00:00:59.000]  我就會講一字道,跟大家一同來查考神經。
[00:00:59.000 --> 00:01:02.000]  在新的一年開始的時候,
[00:01:02.000 --> 00:01:05.000]  可能大家都有很多的勵志,
[00:01:05.000 --> 00:01:10.000]  這一年我要做什麼,我要完成什麼,
[00:01:10.000 --> 00:01:12.000]  我要把什麼事情做好,
[00:01:12.000 --> 00:01:16.000]  我希望我的孩子都快高長大,
[00:01:16.000 --> 00:01:21.000]  我希望我的事業更高的一層。
[00:01:21.000 --> 00:01:24.000]  每一個人都有他的希望,
[00:01:24.000 --> 00:01:26.000]  但是我從心底裏面,
[00:01:26.000 --> 00:01:31.000]  對各位有一個祝福,有一個期望,
[00:01:31.000 --> 00:01:36.000]  就是你成爲一位蒙福的人。
[00:01:36.000 --> 00:01:39.000]  我們中國人很喜歡說,
[00:01:39.000 --> 00:01:42.000]  我祝福你,你有福了。
[00:01:42.000 --> 00:01:44.000]  過年的時候,
[00:01:44.000 --> 00:01:49.000]  我們也把那個福字貼在我們的門口外面,
[00:01:49.000 --> 00:01:53.000]  而且這個福字是倒過來的,
[00:01:53.000 --> 00:01:59.000]  表示那個福是傾倒下來,是滿滿的。
[00:01:59.000 --> 00:02:01.000]  那代表什麼呢?
[00:02:01.000 --> 00:02:05.000]  原來福的源頭是從天上來的,
[00:02:05.000 --> 00:02:07.000]  是從上頭來的,
[00:02:07.000 --> 00:02:10.000]  不是我們自己能夠去找的。
[00:02:10.000 --> 00:02:13.000]  你有沒有福,今年碰到什麼,
[00:02:13.000 --> 00:02:16.000]  不是我們能夠做主的,對不對呀?
