
[00:00:00.000 --> 00:00:01.920]  我不知道大家有沒有這樣的感覺
[00:00:01.920 --> 00:00:04.640]  如果我們發覺我們是
[00:00:04.640 --> 00:00:06.600]  沒有水深火熱當中的時候
[00:00:06.600 --> 00:00:09.160]  當我們看着明天
[00:00:09.160 --> 00:00:12.520]  有時我們心裏的滋味
[00:00:12.520 --> 00:00:15.180]  是很難用我們的說話去形容的
[00:00:15.180 --> 00:00:19.020]  到底明天在誰的手中
[00:00:19.020 --> 00:00:21.720]  所以今天的題目是
[00:00:21.720 --> 00:00:24.140]  誰主明天
[00:00:24.140 --> 00:00:28.580]  因爲當我預備這個講道的時候
[00:00:28.900 --> 00:00:32.720]  有一首詩歌湧現在我的腦海當中
[00:00:32.720 --> 00:00:35.080]  是其中一首我年輕的時代
[00:00:35.080 --> 00:00:37.080]  很喜歡唱的一首詩歌
[00:00:37.080 --> 00:00:40.060]  因爲年輕人對將來有很多的同想
[00:00:40.060 --> 00:00:42.060]  但又不知道是怎樣的
[00:00:42.060 --> 00:00:45.140]  於是這首歌就成爲了我最愛的旋律
[00:00:45.140 --> 00:00:47.140]  現在在教會很少唱旋律了
[00:00:47.140 --> 00:00:49.140]  特別是我們的教會
[00:00:49.140 --> 00:00:51.140]  這首歌叫什麼名字呢
[00:00:51.140 --> 00:00:53.140]  就是誰掌管明天
[00:00:53.140 --> 00:00:55.140]  有人會唱嗎
[00:00:55.140 --> 00:00:57.140]  比較老的基督徒會唱吧
[00:00:57.140 --> 00:00:59.140]  不是說你年紀老
[00:00:59.140 --> 00:01:01.140]  就是你信得久,去教會多些
[00:01:01.140 --> 00:01:03.140]  可能你會懂得唱這首歌的詩歌
[00:01:03.140 --> 00:01:07.140]  這首歌是Ira Stanfield所寫的
[00:01:07.140 --> 00:01:09.140]  他是20世紀
[00:01:09.140 --> 00:01:11.140]  一個很著名的
[00:01:11.140 --> 00:01:14.140]  福音詩歌的作家
[00:01:14.140 --> 00:01:17.140]  他一共寫了600首詩歌
[00:01:17.140 --> 00:01:19.140]  這首歌是怎樣的呢
[00:01:19.140 --> 00:01:21.140]  你懂得唱當然我唱
[00:01:21.140 --> 00:01:23.140]  不懂得唱就聽我唱吧
[00:01:23.140 --> 00:01:27.140]  明天的道路
[00:01:27.140 --> 00:01:33.140]  每一天只爲主活
[00:01:33.140 --> 00:01:38.140]  我不借明天的陽光
[00:01:38.140 --> 00:01:44.140]  讓明天劃拔晴朗
[00:01:44.140 --> 00:01:49.140]  我不要爲將來憂慮
[00:01:49.140 --> 00:01:55.140]  人我信主的應許
[00:01:55.140 --> 00:02:01.140]  我今天要與主同行
[00:02:01.140 --> 00:02:07.140]  人他知千年老情
[00:02:07.140 --> 00:02:13.140]  有許多未來的事情
[00:02:13.140 --> 00:02:18.140]  我現在不能識透
[00:02:18.140 --> 00:02:24.140]  但我知道誰掌管明天
[00:02:24.140 --> 00:02:31.140]  我也知道誰牽我手
[00:02:31.140 --> 00:02:37.140]  我不知道明天將如何
[00:02:37.140 --> 00:02:42.140]  或遭遇貧富飢餓
[00:02:42.140 --> 00:02:48.140]  但那位看顧馬着者
[00:02:48.140 --> 00:02:54.140]  他必然也看顧我
[00:02:54.140 --> 00:03:00.140]  我救主來逃的兩半
[00:03:00.140 --> 00:03:06.140]  種族與各樣災害
[00:03:06.140 --> 00:03:12.140]  我救主別與我同在
[00:03:12.140 --> 00:03:18.140]  他保血把我借給
[00:03:18.140 --> 00:03:24.140]  有許多未來的事情
[00:03:24.140 --> 00:03:29.140]  我現在不能識透
[00:03:29.140 --> 00:03:35.140]  但我知道誰掌管明天
[00:03:35.140 --> 00:03:44.140]  我也知道誰牽我手
[00:03:44.140 --> 00:03:46.140]  Amen
[00:03:46.140 --> 00:03:51.140]  很久沒有唱這些歌了
[00:03:51.140 --> 00:03:55.140]  唱這些歌都不太自然
[00:03:55.140 --> 00:03:57.140]  我們很少爲明天憂慮
[00:03:57.140 --> 00:03:58.140]  在灣區生活的人
[00:03:58.140 --> 00:04:00.140]  有沒有試過爲明天憂慮呢
[00:04:00.140 --> 00:04:01.140]  我們不唱這首歌
[00:04:01.140 --> 00:04:02.140]  有很多原因
[00:04:02.140 --> 00:04:04.140]  其中我想起我自己
[00:04:04.140 --> 00:04:07.140]  可能明天有太多事情要做
[00:04:07.140 --> 00:04:08.140]  大家沒有這種感覺
[00:04:08.140 --> 00:04:09.140]  明天有太多事情要做
[00:04:09.140 --> 00:04:11.140]  怎會想到明天會如何呢
[00:04:11.140 --> 00:04:12.140]  明天就像今天一樣
[00:04:12.140 --> 00:04:15.140]  今天怎麼過明天就怎麼過
[00:04:15.140 --> 00:04:18.140]  明天很忙
[00:04:18.140 --> 00:04:20.140]  很多事情要處理
[00:04:20.140 --> 00:04:22.140]  很多人要關心
[00:04:22.140 --> 00:04:24.140]  很多時候
[00:04:24.140 --> 00:04:27.140]  當我們只想着忙這忙那
[00:04:27.140 --> 00:04:31.140]  忙東忙西
[00:04:31.140 --> 00:04:35.140]  很多時候對於我們周圍的環境
[00:04:35.140 --> 00:04:37.140]  對於危機的出現
[00:04:37.140 --> 00:04:40.140]  那種敏感度
[00:04:40.140 --> 00:04:43.140]  變得遲鈍
[00:04:43.140 --> 00:04:44.140]  甚至很多時候
[00:04:44.140 --> 00:04:48.140]  危險已經彰顯在我們的眼前
[00:04:48.140 --> 00:04:50.140]  但很多時候
[00:04:50.140 --> 00:04:53.140]  我們看不到,聽不到
[00:04:53.140 --> 00:04:55.140]  我們當初很多人都上班
[00:04:55.140 --> 00:04:56.140]  忙不忙啊
[00:04:56.140 --> 00:04:57.140]  當然忙了
[00:04:57.140 --> 00:04:59.140]  像一隻狗一樣
[00:04:59.140 --> 00:05:00.140]  很多事情做了
[00:05:00.140 --> 00:05:01.140]  很努力
[00:05:01.140 --> 00:05:04.140]  但你沒想過你公司會被人收購
[00:05:04.140 --> 00:05:06.140]  現在?就是這樣?
[00:05:06.140 --> 00:05:07.140]  你沒想過忽然之間
[00:05:07.140 --> 00:05:09.140]  你的項目就取消了
[00:05:09.140 --> 00:05:11.140]  不做了
[00:05:11.140 --> 00:05:13.140]  忽然之間
[00:05:13.140 --> 00:05:15.140]  你不知道下個星期
[00:05:15.140 --> 00:05:17.140]  還會不會公開呢
[00:05:17.140 --> 00:05:18.140]  很多時候
[00:05:18.140 --> 00:05:21.140]  我們就落入類似的處境
[00:05:21.140 --> 00:05:24.140]  學生快要畢業了
[00:05:24.140 --> 00:05:26.140]  還沒有工作請你呢
[00:05:26.140 --> 00:05:28.140]  那要不要申請政治訓練呢
[00:05:28.140 --> 00:05:30.140]  申請住先吧
[00:05:30.140 --> 00:05:32.140]  但過了
[00:05:32.140 --> 00:05:34.140]  回香港就留在這裏
[00:05:34.140 --> 00:05:35.140]  我在香港
[00:05:35.140 --> 00:05:36.140]  有個牧師朋友
[00:05:36.140 --> 00:05:38.140]  他有一天打電話給我師母
[00:05:38.140 --> 00:05:40.140]  是他師母打電話給我師母
[00:05:40.140 --> 00:05:41.140]  他說我老公
[00:05:41.140 --> 00:05:42.140]  這個牧師
[00:05:42.140 --> 00:05:46.140]  他的癌症指數超過了很多倍
[00:05:46.140 --> 00:05:48.140]  所以他請我們老朋友
[00:05:48.140 --> 00:05:50.140]  爲他的先生
