
[00:00:00.000 --> 00:00:06.000]  已忽所書是保羅監獄書信最後一卷書
[00:00:06.000 --> 00:00:11.000]  第六章也是已忽所書最後的一章
[00:00:11.000 --> 00:00:15.000]  如果不計保羅日後再寫教目書信
[00:00:15.000 --> 00:00:20.000]  即是提多書和提摩太前後書這三卷的話
[00:00:20.000 --> 00:00:23.000]  很可能今天我們讀的經文
[00:00:23.000 --> 00:00:27.000]  已經是保羅很後期要表達的信息
[00:00:27.000 --> 00:00:31.000]  不要想著保羅作為階下之囚
[00:00:31.000 --> 00:00:34.000]  即是監獄書信
[00:00:34.000 --> 00:00:41.000]  既然出不去就憧憬一套屬靈的軍裝
[00:00:41.000 --> 00:00:46.000]  又設想在天上有一個箭翼
[00:00:46.000 --> 00:00:51.000]  相反那個箭翼不是在天上
[00:00:51.000 --> 00:00:54.000]  那個箭翼是在地上
[00:00:54.000 --> 00:01:01.000]  而且他之前也勸過已忽所的弟兄姊妹
[00:01:01.000 --> 00:01:08.000]  要在地上靠主的大能大力去剛強起來
[00:01:08.000 --> 00:01:11.000]  所以不是天上的箭翼
[00:01:11.000 --> 00:01:15.000]  是弟兄姊妹在地上的箭翼
[00:01:15.000 --> 00:01:17.000]  當然今天的講道題目
[00:01:17.000 --> 00:01:20.000]  不忘拿起屬靈的軍裝
[00:01:20.000 --> 00:01:26.000]  亦意味著人要穿戴在地上的箭翼
[00:01:26.000 --> 00:01:29.000]  而我們定這樣的題目
[00:01:29.000 --> 00:01:32.000]  其實印象當然來自剛才讀過的經文
[00:01:32.000 --> 00:01:36.000]  在中間那一段第十四到第十七節
[00:01:36.000 --> 00:01:39.000]  第十四節到第十七節
[00:01:39.000 --> 00:01:45.000]  去說明或者保羅用了一些描述
[00:01:45.000 --> 00:01:49.000]  去描述究竟我們應該要怎樣剛強
[00:01:49.000 --> 00:01:52.000]  或者怎樣去站穩
[00:01:52.000 --> 00:01:56.000]  就有這些裝備去幫助我們
[00:01:56.000 --> 00:02:01.000]  不過這些裝備讀下去好像很理所當然
[00:02:01.000 --> 00:02:04.000]  但讀下去又不是每樣都很明白
[00:02:04.000 --> 00:02:05.000]  他究竟在做甚麼
[00:02:05.000 --> 00:02:07.000]  我們簡單看一次
[00:02:07.000 --> 00:02:11.000]  那裏有六樣裝備
[00:02:11.000 --> 00:02:17.000]  第一樣就是用真理當帶子束腰
[00:02:17.000 --> 00:02:20.000]  甚至元帝其實沒有那條帶子
[00:02:20.000 --> 00:02:22.000]  所謂以真理束腰
[00:02:22.000 --> 00:02:24.000]  稍後讀下去你都知道
[00:02:24.000 --> 00:02:28.000]  很多都只虛烏有沒有那件事
[00:02:28.000 --> 00:02:29.000]  其實沒有那條帶子
[00:02:29.000 --> 00:02:31.000]  以真理束腰
