
[00:00:00.000 --> 00:00:03.340]  有一個英國的傳道人這樣說
[00:00:03.340 --> 00:00:07.120]  有一天我在家裡打開聖經一看
[00:00:07.120 --> 00:00:10.640]  全部都是空白的紙
[00:00:10.640 --> 00:00:13.120]  什麼文字都沒有了
[00:00:13.120 --> 00:00:16.000]  我很奇怪 於是就去隔壁鄰舍看看他們
[00:00:16.000 --> 00:00:19.500]  他們的聖經全部都是空白的
[00:00:19.500 --> 00:00:21.920]  當時基督徒大亂
[00:00:21.920 --> 00:00:26.360]  因為世界所有的聖經全部都變成空白
[00:00:26.360 --> 00:00:32.180]  神將祂賜給人類最寶貴的祂的話語收回去
[00:00:32.180 --> 00:00:36.080]  周圍都是在找一些熟習聖經的人
[00:00:36.080 --> 00:00:40.380]  請他們將他們所記得的都寫出來
[00:00:40.380 --> 00:00:44.600]  但是怎麼湊都湊不夠熟
[00:00:44.600 --> 00:00:50.360]  信徒大都很後悔平時沒有仔細地去查讀聖經
[00:00:50.360 --> 00:00:52.680]  有的甚至在哭
[00:00:52.680 --> 00:00:55.800]  信徒他們就狠切地去求神
[00:00:55.800 --> 00:00:59.920]  仍然將祂的話語賜給人類
[00:00:59.920 --> 00:01:02.380]  在我心裡最難過的時候
[00:01:02.380 --> 00:01:06.240]  我忽然間驚醒原來是一個夢
[00:01:06.240 --> 00:01:10.580]  神光由玻璃窗射進來
[00:01:10.580 --> 00:01:13.620]  我看到聖經就放在桌子上
[00:01:13.620 --> 00:01:16.720]  馬上跳下去打開一看
[00:01:16.720 --> 00:01:19.520]  只看到「一字不缺」
[00:01:19.520 --> 00:01:21.720]  我就流淚感恩
[00:01:21.720 --> 00:01:27.640]  從來沒有試過這麼虔誠地去讀聖經
[00:01:27.640 --> 00:01:29.300]  早在蘇聯解體之前
[00:01:29.300 --> 00:01:32.840]  有些地方教會只能夠秘密地聚會
[00:01:32.840 --> 00:01:35.800]  也不能夠公開地傳頌聖經
[00:01:35.800 --> 00:01:38.740]  更加不可以私藏聖經
[00:01:38.740 --> 00:01:41.960]  有一天他們得到一卷老家福音
[00:01:41.960 --> 00:01:44.440]  興奮之餘怎麼處理呢?
[00:01:44.440 --> 00:01:48.300]  於是他們將整卷福音書撕開很多部份
[00:01:48.300 --> 00:01:52.100]  分給會眾 然後各自背誦
[00:01:52.100 --> 00:01:53.360]  在主日的時候
[00:01:53.360 --> 00:01:58.400]  為了避免蘇聯情報機關特工KGB的懷疑
[00:01:58.400 --> 00:02:01.840]  他們分開小組來到聚會的地方
[00:02:01.840 --> 00:02:05.400]  依次序地背出來
[00:02:05.400 --> 00:02:07.320]  突然間門被踢開
[00:02:07.320 --> 00:02:10.540]  兩個士兵拿著自動步槍走進來
[00:02:10.540 --> 00:02:12.040]  其中一個大聲地說
[00:02:12.040 --> 00:02:15.820]  「所有人舉高手 靠香腸
[00:02:15.820 --> 00:02:19.720]  如果你願意拒絕背棄基督的話
[00:02:19.720 --> 00:02:24.460]  現在可以走 我不會追究」
[00:02:24.460 --> 00:02:28.000]  於是兩三個馬上離開了
[00:02:28.000 --> 00:02:31.000]  剩下的是一片寂靜
[00:02:31.000 --> 00:02:32.100]  再等一會兒
[00:02:32.100 --> 00:02:36.560]  又兩三個低頭地離開了
[00:02:36.560 --> 00:02:39.800]  士兵向最後剩下來的一小撮會眾
[00:02:39.800 --> 00:02:41.680]  發出最後通牒
[00:02:41.680 --> 00:02:45.720]  「如果你們願意拒絕背棄基督的話
[00:02:45.720 --> 00:02:47.120]  現在可以走
[00:02:47.120 --> 00:02:50.580]  否則你們知道後果是怎樣的」
[00:02:50.580 --> 00:02:56.220]  還有一兩個在最後關頭閃了出去
[00:02:56.220 --> 00:02:58.020]  再沒有人走了
[00:02:58.020 --> 00:03:00.120]  有人仍然舉起手
[00:03:00.120 --> 00:03:03.560]  有一家人失宿在長角坳
[00:03:03.560 --> 00:03:07.500]  父母保護著年幼的子女
[00:03:07.500 --> 00:03:10.840]  有些靜靜地坐在地上默討
[00:03:10.840 --> 00:03:15.080]  正等著被處決
[00:03:15.080 --> 00:03:17.180]  被就地正法
[00:03:17.180 --> 00:03:18.520]  就算即使不死
[00:03:18.520 --> 00:03:20.780]  都要坐牢
[00:03:20.780 --> 00:03:23.780]  接著兩個士兵關上門
[00:03:23.780 --> 00:03:28.960]  望著所有靠著牆的會眾對他們說
[00:03:28.960 --> 00:03:32.220]  「你們仍然舉高雙手
[00:03:32.220 --> 00:03:35.600]  不過這次是為了主耶穌
[00:03:35.600 --> 00:03:39.560]  因為我們都是信徒」
[00:03:39.560 --> 00:03:40.560]  幾個星期之前
[00:03:40.560 --> 00:03:44.040]  我們又被派到一家家庭教會去捉拿信徒
[00:03:44.040 --> 00:03:47.440]  在那裡我們看到一些很堅定的信徒
[00:03:47.440 --> 00:03:50.480]  他們連死都不怕
[00:03:50.480 --> 00:03:51.820]  經驗告訴我們
[00:03:51.820 --> 00:03:55.480]  為耶穌連死都不怕的信徒
[00:03:55.480 --> 00:03:57.920]  才值得信任
[00:03:57.920 --> 00:04:05.520]  所以剛才我們放走了那些假信徒
[00:04:05.520 --> 00:04:07.060]  兄弟姐妹
[00:04:07.060 --> 00:04:08.400]  在這個情況
[00:04:08.400 --> 00:04:10.460]  如果是你 你會怎樣呢?
[00:04:10.460 --> 00:04:12.940]  你會是堅持的?
[00:04:12.940 --> 00:04:18.180]  還是背棄耶穌的那些?
