
[00:00:00.000 --> 00:00:02.960]  大胃傳的第22章
[00:00:02.960 --> 00:00:06.220]  我大胃傳一共有25章
[00:00:06.220 --> 00:00:08.220]  所以已經接近尾聲
[00:00:08.220 --> 00:00:11.580]  還有幾個星期我就會講完
[00:00:11.580 --> 00:00:16.540]  今天要講的是殺戮以下的19章和20章
[00:00:16.540 --> 00:00:18.540]  一共是兩章的經文
[00:00:18.540 --> 00:00:20.860]  你會說:牧師
[00:00:20.860 --> 00:00:24.640]  為什麼你將19章和20章放在一起?
[00:00:24.640 --> 00:00:26.640]  有什麼連帶的關係?
[00:00:26.640 --> 00:00:30.400]  其實這兩章的書我可以告訴你
[00:00:30.400 --> 00:00:34.320]  我們能夠見到有很多自私自利的人
[00:00:34.320 --> 00:00:37.120]  他們都是為了自己
[00:00:37.120 --> 00:00:40.640]  而不是求別人的益處
[00:00:40.640 --> 00:00:44.560]  但是也有一個人是我們意想不到的
[00:00:44.560 --> 00:00:47.120]  是一個無關重要的人
[00:00:47.120 --> 00:00:49.440]  居然他不是自私自利
[00:00:49.440 --> 00:00:53.760]  居然他就是為了別人而活
[00:00:53.760 --> 00:00:58.160]  這是一個相反的寫照
[00:00:58.160 --> 00:01:01.680]  我們遲些就會見到這個人是誰
[00:01:01.680 --> 00:01:04.080]  所以我今天給他的題目就是
[00:01:04.080 --> 00:01:06.080]  自私制紛爭
[00:01:06.080 --> 00:01:08.320]  靠主蒙複雜
[00:01:08.320 --> 00:01:13.280]  這其實是《針研》的28章第25節
[00:01:13.280 --> 00:01:16.160]  等一下我們講這個故事的時候
[00:01:16.160 --> 00:01:18.880]  大家可以留意一下這些故事裏面
[00:01:18.880 --> 00:01:21.280]  有哪些人是自私自利
[00:01:21.280 --> 00:01:25.120]  而有哪些人是剛剛相反的呢?
[00:01:25.120 --> 00:01:29.600]  第19章很清楚的主題
[00:01:29.600 --> 00:01:31.600]  就是王的回來
[00:01:31.600 --> 00:01:33.280]  王的歸回
[00:01:33.280 --> 00:01:35.920]  我們知道大衛被他自己的兒子
[00:01:35.920 --> 00:01:37.920]  「鴨沙龍」追殺
[00:01:37.920 --> 00:01:40.560]  追到他落荒而逃
[00:01:40.560 --> 00:01:42.400]  現在「鴨沙龍」死了
[00:01:42.400 --> 00:01:45.920]  他應該可以回到耶路撒冷
[00:01:45.920 --> 00:01:49.680]  雖然當他被「鴨沙龍」追殺的時候
[00:01:49.680 --> 00:01:54.480]  他走到約旦河對面的馬哈廉這個地方
[00:01:54.480 --> 00:01:57.680]  但是他的心仍然想念耶路撒冷
[00:01:57.680 --> 00:02:00.560]  現在他可以回去了
[00:02:00.560 --> 00:02:05.520]  其實在大衛逃難的時候
[00:02:05.520 --> 00:02:09.280]  所有的支派包括猶大支派
[00:02:09.280 --> 00:02:10.640]  這個很重要
[00:02:10.640 --> 00:02:13.200]  大衛是屬於猶大支派
[00:02:13.200 --> 00:02:16.560]  連他自己的支派都背叛了他
[00:02:16.560 --> 00:02:19.600]  投靠他的兒子「鴨沙龍」
[00:02:19.600 --> 00:02:22.800]  現在他可以回到耶路撒冷
[00:02:22.800 --> 00:02:29.600]  但是以色列國經過這麼多年的內爭、內鬥、內戰
[00:02:29.600 --> 00:02:33.040]  現在以色列是五分六裂
[00:02:33.040 --> 00:02:35.920]  大衛很需要做的是什麼?
[00:02:35.920 --> 00:02:38.560]  團結整個國家
[00:02:38.560 --> 00:02:41.520]  所以今天撒姆爾夏第19章
[00:02:41.520 --> 00:02:44.720]  我們就說到大衛做了五件事
[00:02:44.720 --> 00:02:47.440]  來團結他的國家
[00:02:47.440 --> 00:02:51.600]  首先他要收拾自己的心情
[00:02:51.600 --> 00:02:54.720]  撒姆爾夏第19章1-8節
[00:02:54.720 --> 00:02:57.280]  為什麼他要收拾自己的心情?
[00:02:57.280 --> 00:03:01.040]  因為他最愛的兒子「鴨沙龍」死了
[00:03:01.040 --> 00:03:03.360]  他需要收拾心情
[00:03:03.360 --> 00:03:06.960]  第二點他要呼籲全國來合一
[00:03:06.960 --> 00:03:10.720]  撒姆爾夏第19章9-15節
[00:03:10.720 --> 00:03:15.040]  第三點他宣佈全國大赦
[00:03:15.040 --> 00:03:18.880]  撒姆爾夏第19章16-23節
