
[00:00:00.000 --> 00:00:04.500]  《路加福音》第二章第十節,我們一同來念,來
[00:00:04.500 --> 00:00:06.500]  那天使對他們說:
[00:00:06.500 --> 00:00:11.500]  「不要懼怕,我報給你們大喜的信息是關乎萬民。」
[00:00:11.500 --> 00:00:12.500]  再讀一遍,來
[00:00:12.500 --> 00:00:14.500]  那天使對他們說:
[00:00:14.500 --> 00:00:20.500]  「不要懼怕,我報給你們大喜的信息是關乎萬民。」
[00:00:20.500 --> 00:00:22.500]  我們就讀到這裡
[00:00:22.500 --> 00:00:24.000]  今天是聖誕主日
[00:00:24.000 --> 00:00:26.500]  首先讓我在這裡恭賀大家
[00:00:26.500 --> 00:00:29.000]  聖誕節非常非常非常快樂
[00:00:29.000 --> 00:00:31.000]  Amen
[00:00:31.000 --> 00:00:34.000]  特別是今年聖誕節
[00:00:34.000 --> 00:00:36.000]  是我們教會更是歡喜快樂
[00:00:36.000 --> 00:00:37.000]  Amen
[00:00:37.000 --> 00:00:41.000]  因為神真的賜給我們這麼美麗一個聖殿
[00:00:41.000 --> 00:00:44.000]  不但裡面美麗,外面也美麗
[00:00:44.000 --> 00:00:47.000]  不但白天美麗,夜景更美麗
[00:00:47.000 --> 00:00:51.000]  不但晴天美麗,下雨也很美麗,你知道嗎
[00:00:51.000 --> 00:00:55.000]  你們看雨天地上那個倒影
[00:00:55.000 --> 00:00:58.000]  哇,我們的照片傳得滿天飛
[00:00:58.000 --> 00:01:00.000]  真的是看見神所賜給我們
[00:01:00.000 --> 00:01:02.000]  真的遠超乎我們所求所想
[00:01:02.000 --> 00:01:03.000]  Amen
[00:01:03.000 --> 00:01:04.000]  跟著旁邊的人說
[00:01:04.000 --> 00:01:05.000]  神果然為我們成就大事
[00:01:05.000 --> 00:01:08.000]  跟他說
[00:01:08.000 --> 00:01:13.000]  聖誕節真的是一個充滿歡樂的節期
[00:01:13.000 --> 00:01:16.000]  光是你看第一個聖誕夜
[00:01:16.000 --> 00:01:20.000]  你看見那就是充滿歡樂的景象,不是嗎
[00:01:20.000 --> 00:01:22.000]  當瑪利亞得知到
[00:01:22.000 --> 00:01:25.000]  她要從聖靈感孕
[00:01:25.000 --> 00:01:27.000]  要生下孩子的時候
[00:01:27.000 --> 00:01:29.000]  你看見她心中就歡喜快樂
[00:01:29.000 --> 00:01:31.000]  她歌頌神
[00:01:31.000 --> 00:01:33.000]  我們看當她把這個消息
[00:01:33.000 --> 00:01:36.000]  傳給她的親戚伊莉莎伯的時候
[00:01:36.000 --> 00:01:38.000]  伊莉莎伯聽見也是歡喜快樂
[00:01:38.000 --> 00:01:43.000]  而且她負裡的胎兒也開始跳動起來
[00:01:43.000 --> 00:01:44.000]  路加福音第二章
[00:01:44.000 --> 00:01:47.000]  我們就看見聖誕夜的晚上
[00:01:47.000 --> 00:01:50.000]  我們就看見牧人歡喜快樂
[00:01:50.000 --> 00:01:52.000]  天使歌唱
[00:01:52.000 --> 00:01:56.000]  難怪在天使報信的時候
[00:01:56.000 --> 00:01:58.000]  我們看見天使怎麼宣告呢
[00:01:58.000 --> 00:02:02.000]  因為今天報告一個大喜的信息
[00:02:02.000 --> 00:02:05.000]  是關乎萬民的
[00:02:05.000 --> 00:02:08.000]  請問你誰是萬民啊
[00:02:08.000 --> 00:02:10.000]  就是我們,就是你我
[00:02:10.000 --> 00:02:12.000]  換句話說,聖誕節的信息
[00:02:12.000 --> 00:02:15.000]  不但是傳給牧羊人聽的
[00:02:15.000 --> 00:02:18.000]  聖誕節的信息更是給我們
[00:02:18.000 --> 00:02:20.000]  給你跟我
[00:02:20.000 --> 00:02:22.000]  而且不但是給你跟我
[00:02:22.000 --> 00:02:24.000]  而且是要在我們生命當中
[00:02:24.000 --> 00:02:26.000]  帶來極大的喜樂
[00:02:26.000 --> 00:02:28.000]  在英文聖經翻譯到
[00:02:28.000 --> 00:02:29.000]  The great joy
[00:02:29.000 --> 00:02:31.000]  是個極大的喜樂
[00:02:31.000 --> 00:02:34.000]  這個信息要帶來極大的喜樂
[00:02:34.000 --> 00:02:36.000]  在我們生命當中
[00:02:36.000 --> 00:02:38.000]  那你說為什麼聖誕節
[00:02:38.000 --> 00:02:40.000]  能夠帶給我們生命
[00:02:40.000 --> 00:02:42.000]  這樣極大的喜樂呢
[00:02:42.000 --> 00:02:45.000]  我們要從三方面來思想這件事情
[00:02:45.000 --> 00:02:46.000]  第一個
[00:02:46.000 --> 00:02:49.000]  因為這是一個恢復信心的時刻
[00:02:49.000 --> 00:02:53.000]  跟你們說這是恢復信心的時刻
[00:02:53.000 --> 00:02:56.000]  聖誕節是一個重新
[00:02:56.000 --> 00:03:00.000]  來恢復我們對神的信心的一個時候
[00:03:00.000 --> 00:03:01.000]  因為多少時候
[00:03:01.000 --> 00:03:03.000]  當我們面對人生的道路當中
[00:03:03.000 --> 00:03:06.000]  各樣的危機跟挫折
[00:03:06.000 --> 00:03:09.000]  當我們走在人生的過程當中
[00:03:09.000 --> 00:03:12.000]  處在各樣的灰心跟失敗當中的時候
[00:03:12.000 --> 00:03:14.000]  我們很容易
[00:03:14.000 --> 00:03:18.000]  就落入一種對神的懷疑跟失望
[00:03:18.000 --> 00:03:21.000]  但聖誕節的信息
[00:03:21.000 --> 00:03:23.000]  再一次幫助我們能夠打開
[00:03:23.000 --> 00:03:25.000]  我們心靈的眼睛
